ALABAMA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
01,00100,017,03
01,00124,067,02
01,00460,073,06
01,00460,073,07
01,00484,133,04
01,00676,065,07
01,00820,117,06
01,00988,095,04
01,01132,123,03
01,01180,015,03
01,01228,107,07
01,01396,009,06
01,01660,009,06
01,01660,055,04
01,01708,039,02
01,01756,077,05
01,01852,015,03
01,02116,043,04
01,02116,095,04
01,02260,083,05
01,02320,073,06
01,02320,115,03
01,02428,045,02
01,02500,133,04
01,02836,069,02
01,02860,027,03
01,02908,115,03
01,02956,083,05
01,03004,053,01
01,03028,055,04
01,03076,081,03
01,03220,001,02
01,03364,069,02
01,03508,097,01
01,03556,039,02
01,03676,043,04
01,03724,005,02
01,03820,055,04
01,03940,109,02
01,04660,003,01
01,04684,097,01
01,04852,093,04
01,04900,099,01
01,04948,075,04
01,05140,059,04
01,05164,057,04
01,05188,119,07
01,05212,097,01
01,05692,085,07
01,05932,057,04
01,05980,073,06
01,05980,073,07
01,06460,001,02
01,07000,073,06
01,07000,073,07
01,07000,117,06
01,07120,061,02
01,07456,009,06
01,07588,051,02
01,07672,005,02
01,07912,055,04
01,07912,095,04
01,08104,063,07
01,08248,121,03
01,08680,131,07
01,09016,041,02
01,09064,117,06
01,09136,007,06
01,09208,053,01
01,09328,071,05
01,09400,073,07
01,09424,093,04
01,09457,055,04
01,09500,117,06
01,09736,073,06
01,09808,125,04
01,09808,125,07
01,09880,019,04
01,10240,109,02
01,10456,097,01
01,11032,023,07
01,11416,021,06
01,11416,117,06
01,11488,097,01
01,11488,129,01
01,11512,131,07
01,11680,123,03
01,12016,127,04
01,12040,073,06
01,12070,055,04
01,12112,025,07
01,12160,039,02
01,12304,107,07
01,12496,035,02
01,12544,131,07
01,12760,019,03
01,13264,073,06
01,13264,073,07
01,13648,019,03
01,13672,007,06
01,14008,129,01
01,14104,117,06
01,14152,033,04
01,14392,097,01
01,14464,121,03
01,14728,015,03
01,14968,097,01
01,15064,097,01
01,15136,021,06
01,15256,073,06
01,15256,073,07
01,15304,045,02
01,15376,005,02
01,15472,009,06
01,15640,005,02
01,16000,125,07
01,16080,055,04
01,16240,061,02
01,16264,025,07
01,16312,125,04
01,16600,019,03
01,16600,049,04
01,16684,043,04
01,16744,069,02
01,16768,117,06
01,16936,073,06
01,17176,051,02
01,17368,127,04
01,17824,069,02
01,17968,009,06
01,17968,073,06
01,18040,079,04
01,18088,069,02
01,18304,097,01
01,18856,049,04
01,18952,119,07
01,18976,043,04
01,19024,023,07
01,19024,129,01
01,19216,017,03
01,19336,123,03
01,19360,045,02
01,19648,003,01
01,19744,097,01
01,19816,123,03
01,19912,091,07
01,20008,051,02
01,20104,083,05
01,20104,103,05
01,20152,129,01
01,20272,027,03
01,20296,091,07
01,20392,075,04
01,20955,043,04
01,21136,127,04
01,21184,045,02
01,21184,067,02
01,21184,069,02
01,21280,133,04
01,21328,095,04
01,21448,041,02
01,21890,117,06
01,21952,071,05
01,22216,053,01
01,22504,043,04
01,22816,051,02
01,23032,073,07
01,23176,029,03
01,23224,055,04
01,23296,031,02
01,23320,003,01
01,23344,127,04
01,23488,083,05
01,23656,051,02
01,23872,119,07
01,23880,051,02
01,24184,031,02
01,24184,045,02
01,24256,119,07
01,24472,107,07
01,24568,005,02
01,24616,061,02
01,24664,063,07
01,24688,103,05
01,24808,035,02
01,24880,099,01
01,25120,073,07
01,25216,129,01
01,25240,003,01
01,25384,043,04
01,25648,103,05
01,25816,091,07
01,25840,057,04
01,25864,121,03
01,26152,011,02
01,26200,017,03
01,26824,053,01
01,26848,039,02
01,26896,077,05
01,26992,003,01
01,27088,073,06
01,27088,073,07
01,27376,063,07
01,27520,085,07
01,27616,049,04
01,27640,045,02
01,28024,087,03
01,28120,017,03
01,28312,099,01
01,28408,129,01
01,28432,029,03
01,28504,025,07
01,28552,073,06
01,28672,049,04
01,28696,055,04
01,28768,119,07
01,28816,055,04
01,28936,039,02
01,29032,009,06
01,29032,043,04
01,29056,073,06
01,29296,019,03
01,29392,119,07
01,29464,061,02
01,29560,013,02
01,29608,049,04
01,29704,023,07
01,29944,057,04
01,29944,093,04
01,29992,015,03
01,29992,055,04
01,30160,041,02
01,30448,123,03
01,30496,043,04
01,30640,037,06
01,30736,107,07
01,30760,069,02
01,30808,085,07
01,30880,109,02
01,31000,111,03
01,31024,097,01
01,31096,095,04
01,31348,073,06
01,31348,073,07
01,31384,073,06
01,31720,065,07
01,31912,013,02
01,32056,045,02
01,32080,025,01
01,32080,025,07
01,32224,093,04
01,32248,097,01
01,32272,003,01
01,32416,095,04
01,32440,089,05
01,32536,057,04
01,32536,093,04
01,32560,093,04
01,32584,123,03
01,32656,067,02
01,32704,093,04
01,32704,133,04
01,32848,093,04
01,32896,049,04
01,32968,043,04
01,33256,117,06
01,33424,061,02
01,33448,103,05
01,33472,089,05
01,33544,079,04
