ARIZONA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
04,00730,013,04
04,00870,019,03
04,00940,019,03
04,01090,021,01
04,01170,012,04
04,01560,019,03
04,01570,019,03
04,01620,019,03
04,01920,001,01
04,01990,023,03
04,02270,019,03
04,02410,015,04
04,02430,013,08
04,02830,013,05
04,02830,021,04
04,03320,019,03
04,03380,019,03
04,03530,021,01
04,03915,015,04
04,04020,013,03
04,04440,025,04
04,04710,027,03
04,04720,013,03
04,04880,019,03
04,04930,027,04
04,05140,025,04
04,05450,007,04
04,05490,015,04
04,05495,007,04
04,05770,003,02
04,05970,023,03
04,06260,003,02
04,06470,005,01
04,06610,025,04
04,06820,021,01
04,07025,012,04
04,07310,012,04
04,07380,003,02
04,07590,012,04
04,07915,009,01
04,07940,013,03
04,07940,013,04
04,08020,027,04
04,08220,015,04
04,08535,001,01
04,08710,009,01
04,08920,009,01
04,08990,021,01
04,09340,005,01
04,09580,021,01
04,09690,025,01
04,09690,025,04
04,09900,015,04
04,10040,007,01
04,10180,013,06
04,10320,007,01
04,10460,021,01
04,10530,021,01
04,10670,019,02
04,11160,019,01
04,11230,019,02
04,11300,013,06
04,11370,007,01
04,11500,015,04
04,11580,009,01
04,11720,007,01
04,12000,013,05
04,12000,013,09
04,12150,019,03
04,12560,019,03
04,12630,017,01
04,12770,001,01
04,12840,025,04
04,12910,015,04
04,13140,007,04
04,13190,021,03
04,13400,017,01
04,13470,012,04
04,13540,012,04
04,13820,013,08
04,13850,015,04
04,13890,025,04
04,13960,007,01
04,14030,017,01
04,14380,011,01
04,14870,015,04
04,15080,019,03
04,15150,001,01
04,15220,025,04
04,15500,021,01
04,15500,021,04
04,15600,007,01
04,15765,025,04
04,15850,001,01
04,15920,025,04
04,16030,019,02
04,16360,001,01
04,16410,025,04
04,16830,019,03
04,17460,015,04
04,17500,015,04
04,17810,007,01
04,18160,027,04
04,18448,007,04
04,18490,001,01
04,18580,001,01
04,18740,015,04
04,19145,025,04
04,19280,017,01
04,19630,015,04
04,19740,005,01
04,19790,027,03
04,20050,003,02
04,20330,003,02
04,20540,019,03
04,20560,007,01
04,20570,027,03
04,20680,021,01
04,20750,011,01
04,20960,001,01
04,21310,017,01
04,21410,007,01
04,21545,007,04
04,21800,012,04
04,21900,007,01
04,21980,019,02
04,22080,003,02
04,22150,023,03
04,22220,013,08
04,22360,021,01
04,22400,027,04
04,23512,017,01
04,23620,005,01
04,23760,021,04
04,23955,007,04
04,23960,019,02
04,24250,017,01
04,24460,001,01
04,24895,015,04
04,24950,009,01
04,25030,027,04
04,25045,005,01
04,25300,013,06
04,25650,011,01
04,25720,005,01
04,25735,007,04
04,26070,027,03
04,26210,001,01
04,26780,007,04
04,27050,013,03
04,27260,013,01
04,27400,013,05
04,27540,007,04
04,27820,013,03
04,27820,013,06
04,27820,013,07
04,27820,013,08
04,28030,007,01
04,28120,021,04
04,28190,015,04
04,28195,015,04
04,28380,013,03
04,28380,013,08
04,28465,021,01
04,28981,005,01
04,28985,015,01
04,29430,017,01
04,29710,019,02
04,29850,001,01
04,30270,013,07
04,30270,013,09
04,30550,019,03
04,30830,015,04
04,30840,007,04
04,30850,019,03
04,31182,017,01
04,32020,007,01
04,32020,021,01
04,32310,017,01
04,33280,017,01
04,33440,017,01
04,33945,017,01
04,33980,001,01
04,34120,003,02
04,34700,007,04
04,34980,007,01
04,35310,017,01
04,36010,007,04
04,36150,017,01
04,36290,025,04
04,36430,017,01
04,36475,005,01
04,36500,015,01
04,36640,005,01
04,36780,013,03
04,36920,015,04
04,36990,017,01
04,37130,017,01
04,37200,021,01
04,37620,015,04
04,37935,023,03
04,38250,001,01
04,38530,021,03
04,38600,007,04
04,38655,013,01
04,38940,019,03
04,39100,017,01
04,39370,015,04
04,39720,025,01
04,39790,017,01
04,40160,012,04
04,40400,015,04
04,40415,005,01
04,40630,005,01
04,41085,017,01
04,41330,013,08
04,41470,015,04
04,41540,019,03
04,42460,021,01
04,42590,017,01
04,42660,001,01
04,42940,001,01
04,43150,015,04
04,43430,001,01
04,43430,017,01
04,43570,003,02
04,43920,019,03
04,43990,021,01
04,44200,001,01
04,44270,019,01
04,44270,021,01
04,44410,021,01
04,44450,013,01
04,44830,027,04
04,45180,025,04
04,45275,007,04
04,45285,015,04
04,46000,013,05
04,46000,013,06
04,46000,013,09
04,46005,007,04
04,46070,003,02
04,46087,015,04
04,46350,007,01
04,46840,003,02
04,47190,015,01
04,47330,005,01
04,47400,015,04
04,47495,015,04
04,47610,011,01
04,47740,013,04
04,47820,005,01
04,48170,005,01
04,48310,003,02
04,49010,001,01
04,49100,019,01
04,49270,015,04
04,49360,013,08
04,49640,023,03
04,49710,019,03
04,50000,017,01
04,50340,001,01
04,50480,001,01
04,50620,015,04
04,51142,017,01
04,51180,021,01
04,51465,027,03
04,51600,019,01
04,51775,007,04
04,51800,027,03
04,51810,005,01
04,52230,003,02
04,52930,013,06
04,52930,013,09
04,53070,012,04
04,53210,012,04
04,53350,005,01
04,53490,023,03
04,53560,025,04
04,53700,007,04
04,53770,015,01
04,53910,025,04
04,54050,013,04
04,54050,013,08
04,54050,025,04
04,54190,007,01
04,54190,009,01
04,55000,013,01
04,55000,013,03
04,55000,013,06
04,55000,013,07
04,55000,013,08
04,55000,013,09
04,55210,021,01
04,55300,019,01
04,55300,019,03
04,55560,009,01
04,55575,019,02
04,55630,007,01
04,55700,007,04
04,55840,017,01
04,55845,015,04
04,55880,017,01
04,55980,017,01
04,55983,015,04
04,56120,017,01
04,56400,003,02
04,56470,019,03
04,57170,012,04
04,57380,025,04
04,57450,025,04
04,58010,012,04
04,58150,013,05
04,58150,021,04
04,58290,021,04
04,58620,017,01
04,58870,027,03
04,59550,001,01
04,59760,001,01
04,59770,021,01
04,59900,019,01
04,60120,019,02
04,60180,023,03
04,60250,013,06
04,60770,007,04
04,60880,001,01
04,61300,007,01
04,61370,001,01
04,61440,001,01
04,61448,007,04
04,61690,007,04
04,61715,021,01
04,61720,021,01
04,61800,021,01
04,61940,021,01
04,62000,009,01
04,62140,019,02
04,62140,019,03
04,62280,003,02
04,62350,001,01
04,62362,013,01
04,62420,001,01
04,62700,012,04
04,62910,007,01
04,63050,001,01
04,63260,009,01
04,63470,027,03
04,63540,021,01
04,63610,019,03
04,63820,003,02
04,63960,021,01
04,64210,021,04
04,64310,019,03
04,64590,001,01
04,64650,015,04
04,65000,013,06
04,65000,013,09
04,65167,017,01
04,65280,017,01
04,65350,005,01
04,65350,025,01
04,65400,001,01
04,65420,025,04
04,65490,019,03
04,65780,017,01
04,66190,017,01
04,66260,017,01
04,66470,017,01
04,66820,003,02
04,66845,003,02
04,67295,007,01
04,67800,017,01
04,67920,015,04
04,68010,009,01
04,68080,027,03
04,68220,023,03
04,68670,019,03
04,68850,019,03
04,68990,001,01
04,69060,025,04
04,69130,021,01
04,69480,007,04
04,69585,001,01
04,69872,021,01
04,70040,007,04
04,70175,019,02
