ARKANSAS CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
05,00250,105,02
05,00580,119,02
05,00580,125,02
05,00700,075,01
05,00940,085,01
05,00970,033,03
05,00970,033,04
05,01030,001,01
05,01060,009,03
05,01060,015,03
05,01150,069,04
05,01210,047,04
05,01270,067,01
05,01360,019,04
05,01457,035,01
05,01540,109,04
05,01870,019,04
05,01990,041,01
05,02380,081,04
05,02470,049,01
05,02470,135,01
05,02590,115,03
05,02680,077,01
05,02740,147,01
05,02860,085,01
05,03010,125,02
05,03040,007,03
05,03280,145,02
05,03430,011,04
05,03640,131,03
05,03940,093,01
05,04030,063,01
05,04090,125,02
05,04180,031,01
05,04420,103,04
05,04540,015,03
05,04600,145,02
05,04720,067,01
05,04840,007,03
05,04900,009,03
05,04960,149,04
05,05260,133,04
05,05290,125,02
05,05320,007,03
05,05440,009,03
05,05560,015,03
05,05740,007,03
05,05920,105,02
05,05980,005,01
05,05980,129,01
05,06040,121,01
05,06340,093,01
05,06610,031,01
05,06700,075,01
05,06730,097,04
05,07030,057,04
05,07150,015,03
05,07210,083,04
05,07270,099,04
05,07330,093,01
05,07450,099,04
05,07540,131,03
05,07630,031,01
05,07720,083,04
05,08260,145,02
05,08290,073,04
05,08440,047,04
05,08665,005,01
05,08950,095,01
05,09100,031,01
05,09460,125,02
05,09550,073,04
05,09790,089,03
05,09880,093,01
05,10300,085,01
05,10360,019,04
05,10450,123,01
05,10480,099,04
05,10570,065,01
05,10600,139,04
05,10720,103,04
05,10780,119,02
05,10900,067,01
05,11410,031,01
05,11500,085,01
05,11830,039,04
05,11890,105,02
05,11920,031,01
05,12190,083,04
05,12280,063,01
05,12280,135,01
05,12340,007,03
05,12520,033,03
05,12790,029,02
05,12820,007,03
05,13120,131,03
05,13300,047,04
05,13420,007,03
05,13450,049,01
05,13450,135,01
05,13540,037,01
05,13570,033,04
05,13750,103,04
05,13990,095,01
05,14050,035,01
05,14140,071,04
05,14260,141,02
05,14500,071,04
05,14770,075,01
05,14860,119,02
05,14950,123,01
05,15100,023,01
05,15190,045,02
05,15310,149,04
05,15460,021,01
05,15490,005,01
05,15550,147,01
05,15700,113,04
05,15790,085,01
05,15940,035,01
05,16240,003,04
05,16930,063,01
05,17140,109,04
05,17290,045,02
05,17290,141,02
05,17320,149,04
05,17380,149,04
05,17410,021,01
05,17740,007,03
05,18010,055,01
05,18100,109,04
05,18160,093,01
05,18340,141,02
05,18370,047,04
05,18490,133,04
05,18520,017,01
05,18550,117,01
05,18640,117,01
05,18790,001,01
05,18850,009,03
05,18940,067,01
05,18970,061,04
05,19450,059,04
05,19600,115,03
05,19990,041,01
05,20200,033,04
05,20230,093,01
05,20320,035,01
05,20440,103,04
05,20470,125,02
05,20830,035,01
05,20920,031,01
05,20950,107,01
05,21070,139,04
05,21190,143,03
05,21430,007,03
05,21430,143,03
05,21580,027,04
05,21610,057,04
05,21610,099,04
05,21730,085,01
05,21820,045,02
05,22120,093,01
05,22180,017,01
05,22240,015,03
05,22360,135,01
05,22450,009,03
05,22660,023,01
05,22660,141,02
05,23140,095,01
05,23170,143,03
05,23290,143,03
05,23320,139,04
05,23680,137,01
05,23800,111,01
05,24010,089,03
05,24220,039,04
05,24250,081,04
05,24430,123,01
05,24550,131,03
05,24640,091,04
05,24670,003,04
05,24700,051,04
05,24760,105,02
05,25030,065,01
05,25060,117,01
05,25180,059,04
05,25360,057,04
05,25750,007,03
05,25780,091,04
05,25900,145,02
05,26050,005,01
05,26110,007,03
05,26290,007,03
05,26440,145,02
05,26710,119,02
05,26800,129,01
05,26980,001,01
05,27010,133,04
05,27040,035,01
05,27310,097,04
05,27310,109,04
05,27670,143,03
05,27700,093,01
05,27730,079,01
05,27790,079,01
05,27970,113,04
05,28360,007,03
05,28510,045,02
05,28600,015,03
05,28660,143,03
05,28720,021,01
05,28780,131,03
05,28810,023,01
05,28990,145,02
05,29020,067,01
05,29080,065,01
05,29140,019,04
05,29200,019,04
05,29230,045,02
05,29290,131,03
05,29320,071,04
05,29500,003,04
05,29650,013,04
05,29920,049,01
05,29920,135,01
05,30310,013,04
05,30400,111,01
05,30460,009,03
05,30490,131,04
05,30520,071,04
05,30640,125,02
05,30700,113,04
05,30790,149,04
05,30880,077,01
05,30940,117,01
05,31090,023,01
05,31150,115,03
05,31190,107,01
05,31390,119,02
05,31540,011,04
05,31900,037,01
05,32080,023,01
05,32140,145,02
05,32200,007,03
05,32257,135,01
05,32470,087,04
05,32535,007,03
05,32650,015,03
05,32710,045,02
05,32800,095,01
05,33190,057,04
05,33310,133,04
05,33370,049,01
05,33370,065,01
05,33370,135,01
05,33375,035,01
05,33400,051,04
05,33482,051,04
05,33482,125,02
05,33490,105,02
05,33580,075,01
05,33760,123,01
05,33820,085,01
05,33850,001,01
05,33850,069,01
05,33910,147,01
05,33940,131,04
05,33970,087,04
05,34090,139,04
05,34150,075,01
05,34720,067,01
05,34750,119,02
05,34900,101,04
05,35040,035,01
05,35040,123,01
05,35140,035,01
05,35170,043,04
05,35500,143,03
05,35650,093,01
05,35710,031,01
05,36040,145,02
05,36130,139,04
05,36310,093,01
05,36430,145,02
05,36550,085,01
05,36670,033,04
05,36880,025,04
05,37060,109,04
05,37240,021,01
05,37300,071,04
05,37660,055,01
05,37720,077,01
05,37780,031,01
05,37930,051,04
05,38050,005,01
05,38110,107,01
05,38170,017,01
05,38290,071,04
05,38540,119,02
05,38890,131,04
05,39010,093,01
05,39040,009,03
05,39310,053,04
05,39370,111,01
05,39460,129,01
05,39520,145,02
05,39640,073,04
05,39670,107,01
05,39970,143,03
05,40120,007,03
05,41000,119,02
05,41090,133,04
05,41270,115,03
05,41420,085,01
05,41450,051,04
05,41555,007,03
05,41630,103,04
05,41720,007,03
05,42170,093,01
05,42260,075,01
05,42350,119,02
05,42410,057,04
05,42500,147,01
05,42560,021,01
05,42770,041,01
05,43070,057,04
05,43100,027,04
05,43220,145,02
05,43280,123,01
05,43310,083,04
05,43370,063,01
05,43430,059,04
05,43460,027,04
05,43610,059,04
05,43670,049,01
05,43820,093,01
05,43880,127,04
05,43880,131,04
05,44120,077,01
05,44150,093,01
05,44180,035,01
05,44210,111,01
05,44240,055,01
05,44300,129,01
05,44420,107,01
05,44600,119,02
05,44750,045,02
05,44780,121,01
05,44810,007,03
05,45080,065,01
05,45170,113,04
05,45200,029,02
05,45500,131,03
05,45530,005,01
05,45560,059,04
05,46040,061,04
05,46100,075,01
05,46190,041,01
05,46400,031,01
05,46580,043,04
05,46670,003,04
05,46730,063,01
05,46910,077,01
05,46970,029,02
05,47030,083,04
05,47300,033,04
05,47390,005,01
05,47450,051,04
05,47540,137,01
05,47690,097,04
05,47900,065,01
05,48020,045,02
05,48200,033,04
05,48290,109,04
05,48560,061,04
05,48680,119,02
05,49010,063,01
05,49070,083,04
05,49220,025,04
05,49580,067,01
05,49820,021,01
05,50000,005,01
05,50030,097,04
05,50060,139,04
05,50240,003,04
05,50450,119,02
05,50810,015,03
05,51060,055,01
05,51080,057,04
05,51290,097,04
05,51350,081,04
05,51410,063,01
05,51500,121,01
05,51530,019,04
05,51560,149,04
05,52160,009,03
05,52430,029,02
05,52580,093,01
05,52880,065,01
05,52940,057,04
05,52970,047,04
05,53150,123,01
05,53240,145,02
05,53390,055,01
05,53480,083,04
05,53510,003,04
05,53600,037,01
05,53900,057,04
05,53990,147,01
05,54140,021,01
05,54200,007,03
05,54620,059,04
05,54650,105,02
05,54680,057,04
05,54710,105,02
05,55130,021,01
05,55280,129,03
05,55310,069,04
05,55580,065,01
05,55610,051,04
05,55970,149,04
05,56270,063,01
05,56480,029,02
05,56540,121,01
05,56600,021,01
05,56720,075,01
05,56750,003,04
05,56990,115,03
05,57050,075,01
05,57080,053,04
05,57125,007,03
05,57170,143,03
05,57230,053,04
05,57260,099,04
05,57890,089,03
05,57950,023,01
05,57950,045,02
05,58160,083,04
05,58250,075,01
05,58280,121,01
05,58400,099,04
05,58400,103,04
05,58490,021,01
05,58580,069,04
05,58880,041,01
05,59180,121,01
05,59480,025,04
05,60020,059,04
05,60110,051,04
05,60380,095,01
05,60410,007,03
05,60470,119,02
05,60590,077,01
05,60770,145,02
05,61040,099,04
05,61460,033,03
05,61640,145,02
05,61670,115,03
05,61730,025,04
05,61940,001,01
05,61970,021,01
05,62030,129,01
05,62060,087,04
05,62150,049,01
05,62210,125,02
05,62240,005,01
05,62900,085,01
05,62900,119,02
05,62960,083,04
05,63020,145,02
05,63110,075,01
05,63470,125,02
05,63710,053,04
05,63740,069,04
05,63800,119,02
05,63980,141,02
05,64280,135,01
05,64370,007,03
05,64730,139,04
05,64910,075,01
05,65480,009,03
05,65900,039,04
05,66080,007,03
05,66080,143,03
05,66200,007,03
05,66320,073,04
05,66440,079,01
05,66800,025,04
05,66860,103,04
05,67250,075,01
05,67370,139,04
05,67490,001,01
05,67520,083,04
05,67550,021,01
05,67730,063,01
05,67760,007,03
05,67790,069,04
05,67940,089,03
05,68060,035,01
05,68330,119,02
05,68360,067,01
05,68660,027,04
05,68810,091,04
05,69050,013,04
05,69230,041,01
05,69230,043,04
05,69350,013,04
05,69500,061,04
05,69740,143,03
05,69830,125,02
05,70010,111,01
05,70100,067,01
05,70220,053,04
05,70310,023,01
05,70340,067,01
05,70430,035,01
05,70540,045,02
05,70700,111,01
05,70760,117,01
05,71390,009,03
05,71480,033,03
05,71510,113,04
