CALIFORNIA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
06,00135,013,11
06,00156,077,09
06,00212,037,25
06,00296,071,08
06,00310,049,01
06,00394,037,33
06,00450,037,25
06,00464,065,42
06,00478,039,04
06,00535,099,10
06,00562,001,13
06,00618,013,11
06,00674,001,13
06,00716,045,02
06,00786,023,02
06,00884,037,27
06,00898,013,11
06,00947,059,48
06,00982,091,01
06,00996,095,03
06,01010,107,21
06,01094,063,01
06,01150,037,43
06,01164,107,21
06,01192,073,50
06,01228,003,04
06,01276,061,01
06,01290,037,27
06,01360,057,01
06,01416,041,02
06,01444,049,01
06,01458,085,17
06,01458,085,19
06,01514,005,04
06,01640,055,05
06,01651,087,20
06,02000,059,39
06,02000,059,45
06,02000,059,46
06,02028,045,02
06,02042,089,01
06,02112,009,04
06,02168,055,05
06,02210,067,03
06,02210,067,06
06,02252,013,09
06,02252,013,11
06,02294,065,36
06,02364,071,08
06,02378,087,20
06,02382,087,20
06,02420,011,03
06,02462,037,27
06,02476,023,02
06,02553,067,06
06,02553,067,07
06,02700,031,21
06,02770,009,04
06,02812,053,20
06,02812,069,20
06,02868,079,24
06,02896,037,38
06,02910,021,03
06,02924,029,21
06,02980,001,13
06,02980,001,15
06,03026,051,08
06,03064,079,24
06,03092,081,18
06,03162,047,16
06,03190,019,04
06,03204,061,01
06,03204,061,04
06,03205,017,04
06,03209,077,09
06,03274,037,47
06,03302,031,21
06,03316,009,04
06,03330,079,24
06,03344,037,32
06,03344,037,38
06,03386,037,32
06,03512,071,08
06,03526,029,21
06,03526,029,23
06,03666,037,32
06,03694,083,24
06,03708,047,16
06,03792,007,01
06,03820,065,36
06,04030,071,08
06,04198,039,04
06,04415,013,11
06,04470,013,05
06,04478,023,02
06,04576,115,03
06,04632,047,16
06,04716,003,04
06,04730,043,04
06,04734,029,23
06,04758,065,36
06,04772,063,01
06,04856,063,01
06,04870,037,40
06,04926,089,01
06,04938,111,30
06,04982,037,38
06,04982,037,40
06,04996,037,40
06,05108,081,14
06,05164,041,02
06,05262,023,02
06,05276,103,01
06,05290,095,05
06,05332,087,18
06,05346,051,08
06,06000,001,13
06,06028,065,36
06,06070,007,01
06,06150,015,02
06,06210,013,09
06,06308,037,33
06,06336,035,01
06,06406,071,08
