COLORADO CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
08,00320,035,04
08,00620,005,06
08,00760,071,04
08,00870,041,05
08,00925,121,04
08,01090,003,03
08,01145,003,03
08,01420,013,02
08,01530,093,05
08,01640,105,03
08,01740,013,02
08,01915,095,04
08,02355,021,03
08,02575,059,07
08,02905,007,03
08,03015,123,04
08,03235,073,04
08,03455,001,07
08,03455,059,07
08,03620,097,03
08,03730,059,02
08,03840,075,04
08,03950,123,04
08,04000,001,06
08,04000,005,06
08,04000,035,06
08,04110,037,02
08,04165,101,03
08,04620,013,02
08,04935,037,03
08,04935,097,03
08,05120,045,03
08,05265,067,03
08,06090,001,04
08,06090,005,04
08,06172,001,07
08,06255,069,02
08,06255,123,04
08,06530,063,04
08,06602,101,03
08,06970,041,05
08,07025,047,02
08,07190,023,03
08,07245,101,03
08,07410,117,02
08,07420,087,04
08,07571,109,03
08,07580,013,02
08,07795,101,03
08,07850,013,02
08,08070,005,01
08,08070,059,01
08,08290,061,04
08,08345,071,04
08,08400,117,02
08,08530,005,04
08,08675,001,06
08,08675,123,04
08,09115,043,05
08,09280,014,02
08,09555,087,04
08,10105,015,05
08,10600,063,04
08,10985,005,04
08,11260,041,05
08,11645,009,04
08,11810,043,05
08,11975,021,03
08,12045,045,03
08,12325,041,05
08,12387,035,04
08,12390,035,04
08,12415,035,04
08,12450,053,03
08,12460,045,03
08,12470,045,03
08,12635,029,03
08,12815,005,06
08,12855,105,03
08,12855,109,03
08,12910,019,02
08,12910,047,02
08,12945,045,03
08,13460,089,04
08,13590,005,06
08,13845,005,01
08,14175,017,04
08,14587,041,05
08,14765,079,03
08,15165,077,03
08,15302,013,02
08,15302,047,02
08,15302,059,02
08,15330,043,05
08,15440,043,05
08,15550,071,04
08,15605,077,03
08,15825,091,03
08,15935,101,03
08,16000,041,05
08,16110,005,06
08,16110,059,01
08,16385,005,06
08,16465,005,04
08,16495,001,06
08,16495,001,07
08,16715,021,03
08,17150,117,02
08,17375,083,03
08,17485,043,05
08,17760,081,03
08,17925,029,03
08,18310,051,03
08,18420,109,03
08,18530,119,05
08,18585,013,02
08,18640,075,04
08,18750,025,04
08,19080,123,04
08,19150,059,01
08,19150,059,02
08,19150,059,07
08,19355,077,03
08,19630,005,04
08,19795,105,03
08,19850,029,03
08,20000,031,01
08,20275,001,07
08,20440,117,02
08,20495,081,03
08,20605,119,05
08,20770,083,03
08,21155,037,03
08,21265,033,03
08,21330,005,06
08,21390,019,02
08,22035,067,03
08,22145,061,04
08,22200,037,03
08,22575,059,07
08,22860,123,04
08,23025,125,04
08,23135,059,07
08,23300,037,03
08,23520,039,04
08,23575,013,02
08,23630,013,02
08,23740,039,04
08,23795,037,03
08,24235,041,05
08,24290,071,04
08,24620,019,02
08,24785,005,01
08,24950,013,02
08,24950,123,04
08,25115,069,02
08,25280,123,04
08,25390,059,02
08,25550,059,07
08,25610,093,05
08,26270,001,07
08,26600,123,04
08,26765,063,04
08,26875,075,04
08,27040,043,05
08,27095,119,05
08,27175,019,02
08,27370,041,05
08,27425,069,02
08,27535,023,03
08,27700,123,04
08,27810,087,04
08,27865,041,05
08,27975,089,04
08,28105,005,06
08,28250,035,04
08,28305,049,02
08,28360,123,04
08,28690,117,02
08,28745,077,03
08,28800,077,03
08,28830,037,03
08,29185,123,04
08,29295,015,05
08,29625,059,02
08,29680,073,04
08,29735,019,02
08,29845,105,03
08,29955,123,04
08,30340,005,01
08,30350,013,02
08,30420,041,05
08,30780,045,03
08,30835,059,07
08,30890,119,05
08,30945,013,02
08,31550,099,04
08,31605,049,02
08,31660,077,03
08,31715,049,02
08,31935,035,04
08,32155,123,04
08,32650,041,05
08,32650,119,05
08,33035,005,06
08,33310,123,04
08,33420,093,05
08,33502,013,02
08,33640,051,03
08,33695,037,03
08,34520,099,04
08,34685,011,04
08,34740,061,04
08,34960,095,04
08,35070,107,03
08,35400,117,02
08,35860,013,02
08,36410,035,06
08,36610,087,04
08,36940,071,04
08,37215,099,04
08,37220,005,01
08,37270,095,04
08,37380,003,03
08,37545,029,03
08,37600,049,02
08,37655,043,05
08,37820,123,04
08,37875,073,04
08,38370,019,02
08,38425,125,04
08,38480,059,02
08,38535,067,03
08,38590,075,04
08,38810,059,02
08,38910,005,06
08,39160,087,04
08,39195,013,02
08,39250,071,04
08,39745,125,04
08,39800,015,05
08,39855,069,02
08,39855,123,04
08,39965,115,04
08,40185,123,04
08,40377,059,01
08,40377,059,02
08,40515,123,04
08,40550,117,02
08,40570,071,04
08,40790,039,04
08,40900,125,04
08,41010,017,04
08,41065,059,02
08,41560,049,02
08,41835,013,02
08,42000,125,04
08,42055,021,03
08,42110,089,04
08,42165,089,04
08,42330,053,03
08,42495,059,07
08,43000,059,07
08,43110,099,04
08,43220,069,02
08,43550,035,04
08,43605,123,04
08,43660,011,04
08,44100,055,03
08,44270,013,02
08,44320,065,03
08,44375,065,03
08,44595,083,03
08,44695,013,02
08,44980,073,04
08,45145,043,05
08,45255,005,06
08,45255,035,06
08,45255,059,01
08,45530,001,06
08,45530,123,04
08,45680,091,03
08,45695,087,04
08,45750,077,03
08,45955,035,04
08,45970,013,04
08,45970,123,04
08,46355,013,02
08,46410,035,04
08,46465,069,02
08,47015,071,04
08,47070,013,02
08,47345,037,03
08,48060,021,03
08,48115,083,03
08,48445,041,05
08,48500,089,04
08,48555,051,03
08,49325,081,03
08,49490,015,05
08,49600,123,04
08,49875,103,03
08,50012,035,04
08,50040,075,04
08,50380,119,05
08,50480,123,04
08,50920,037,02
08,51250,109,03
08,51635,105,03
08,51690,117,02
08,51745,085,03
08,51800,041,05
08,51975,087,04
08,52075,059,02
08,52210,013,02
08,52350,059,07
08,52550,113,03
08,52570,051,03
08,52820,045,03
08,53120,085,03
08,53175,013,02
08,53395,045,03
08,53780,013,02
08,53875,045,03
08,53945,097,03
08,54330,001,07
08,54330,123,04
08,54495,089,04
08,54750,001,07
08,54880,113,03
08,54935,085,03
08,55045,123,04
08,55155,107,03
08,55540,085,03
08,55705,025,04
08,55870,113,03
08,55925,087,04
08,55980,029,03
08,56035,077,03
08,56145,025,04
08,56365,121,04
08,56420,091,03
08,56475,115,04
08,56695,075,04
08,56860,007,03
08,56970,077,03
08,57025,041,05
08,57245,095,04
08,57300,029,03
08,57400,045,03
08,57445,013,02
08,57630,035,04
08,57850,049,02
08,58235,075,04
08,58400,043,05
08,58510,005,04
08,58592,035,04
08,58675,041,05
08,58758,107,03
08,58960,053,03
08,59005,123,04
08,59240,013,02
08,59830,051,03
08,60160,123,04
08,60600,015,05
08,60655,039,04
08,60765,091,03
08,61315,009,04
08,62000,101,03
08,62220,101,03
08,62660,041,05
08,62880,103,03
08,63045,123,04
08,63265,037,02
08,63320,069,02
08,63375,077,03
08,63650,097,03
08,63705,085,03
08,64090,033,03
08,64200,091,03
08,64255,045,03
08,64870,041,05
08,64970,043,05
08,65190,089,04
08,65685,047,02
08,65740,021,03
08,66197,035,04
08,66895,101,03
08,66995,087,04
08,67005,109,03
08,67040,013,02
08,67142,019,02
08,67280,015,05
08,67445,101,03
08,67500,023,03
08,67830,021,03
08,68105,023,03
08,68655,113,03
08,68847,041,05
08,68875,035,04
08,68930,115,04
08,68985,071,04
08,69040,063,04
08,69110,013,02
08,69150,123,04
08,69480,001,07
08,69645,005,01
08,69700,061,04
08,69810,001,07
08,70195,045,03
08,70250,027,03
08,70360,019,02
08,70525,117,02
08,70580,111,03
08,70635,039,04
08,71625,015,05
08,71755,097,03
08,71790,087,04
08,72320,067,03
08,72395,105,03
08,73330,009,04
08,73715,071,04
08,73825,107,03
08,73935,075,04
08,74080,035,04
08,74275,071,04
08,74375,001,04
08,74375,005,04
08,74430,041,05
08,74485,063,04
08,74815,025,04
08,74980,013,02
08,75585,013,02
08,75640,013,02
08,75640,059,02
08,75970,089,04
08,76190,049,02
08,76325,013,02
08,76795,113,03
08,77235,035,04
08,77290,001,06
08,77290,001,07
08,77290,123,04
08,77510,069,02
08,77757,001,06
08,78280,083,03
08,78335,061,04
08,78345,087,04
08,78610,071,04
08,79100,001,07
08,79105,065,03
08,79270,009,04
08,79785,019,02
08,80040,037,02
08,80095,071,04
08,80370,013,02
08,80755,125,04
08,80865,119,05
08,81030,009,04
08,81305,101,03
08,81690,063,04
08,82130,057,03
08,82350,055,03
08,82460,009,04
08,82735,013,02
08,82905,001,04
08,82905,005,04
08,83120,001,07
08,83175,087,04
08,83230,069,02
08,83450,027,03
08,83500,035,04
08,83835,001,07
08,83835,059,07
08,84000,071,04
08,84042,059,07
08,84440,059,07
08,84770,087,04
08,85045,099,04
08,85155,043,05
08,85485,069,02
08,85485,123,04
08,85705,049,02
08,85760,037,03
08,86090,119,05
08,86117,041,05
08,86200,097,03
08,86310,125,04
08,86475,107,03
08,86750,125,04
