CONNECTICUT CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
09,01150,009,03
09,02550,011,02
09,02690,005,05
09,04790,001,05
09,04945,005,05
09,06050,003,01
09,07345,009,03
09,08000,001,04
09,08420,003,01
09,08770,003,01
09,09120,015,02
09,10660,001,04
09,10870,005,05
09,11990,001,04
09,12370,003,05
09,14200,009,05
09,14370,007,02
09,15420,007,02
09,15840,011,02
09,16120,003,05
09,16960,011,02
09,17520,001,04
09,17835,013,02
09,18220,013,02
09,18430,001,05
09,18780,015,02
09,18920,001,04
09,19200,007,02
09,19480,009,03
09,20740,007,03
09,21160,015,02
09,22420,007,02
09,22700,003,01
09,22980,009,03
09,26370,007,02
09,27390,005,05
09,27810,007,02
09,30190,011,02
09,30540,001,04
09,31270,003,01
09,31520,001,04
09,33690,001,04
09,34180,011,02
09,34460,011,02
09,35020,009,03
09,37000,003,01
09,37770,003,02
09,37930,009,05
09,38050,007,02
09,39940,011,02
09,40150,003,01
09,41410,007,02
09,41830,005,05
09,43300,005,05
09,43790,011,02
09,44630,009,02
09,44690,003,01
09,45120,013,02
09,45595,011,02
09,46450,009,05
09,47290,007,01
09,47290,007,03
09,47515,009,03
09,49110,007,02
09,49180,015,02
09,49810,011,02
09,49880,009,03
09,50370,003,05
09,51420,005,01
09,52000,009,03
09,52210,003,01
09,52280,011,02
09,52560,005,05
09,52770,005,05
09,52910,001,05
09,53120,011,02
09,53260,011,02
09,53400,005,05
09,54660,003,01
09,54730,015,02
09,54940,009,03
09,55725,005,05
09,55990,001,04
09,56200,011,02
09,56690,005,05
09,56900,001,04
09,57180,011,02
09,57390,007,02
09,57670,009,03
09,58520,011,02
09,59140,011,02
09,59210,001,04
09,60090,015,02
09,61730,011,02
09,61870,007,01
09,62640,015,02
09,63270,015,02
09,63900,001,04
09,64530,001,04
09,65230,013,02
09,66455,003,01
09,67050,007,02
09,67890,005,05
09,68100,001,03
09,68100,001,04
09,68450,003,02
09,69010,003,05
09,69150,013,02
09,69990,013,02
09,71040,001,04
09,71250,015,02
09,71460,003,02
09,71530,015,02
09,72300,013,02
09,73000,001,04
09,73700,011,02
09,73980,013,02
09,74260,001,03
09,74655,003,02
09,75100,003,05
09,75200,003,02
09,75240,005,05
09,75660,005,05
09,75940,003,02
09,76500,005,01
09,76500,005,05
09,77270,001,04
09,78880,009,03
09,80000,009,03
09,80000,009,05
09,80210,011,02
09,80420,005,05
09,80630,015,02
09,80770,003,05
09,81750,007,02
09,82660,003,01
09,82800,009,03
09,83570,001,04
09,83990,003,05
09,84970,003,01
09,85810,015,02
09,86380,001,04
09,87140,003,01
09,87350,005,01
09,87980,005,05
09,88050,009,03
