FLORIDA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
12,00075,099,21
12,00375,001,03
12,00410,095,07
12,00410,095,08
12,00410,095,09
12,00625,063,02
12,00800,113,01
12,00950,117,07
12,01000,013,02
12,01050,069,06
12,01100,105,09
12,01100,105,17
12,01125,071,17
12,01353,075,02
12,01475,081,16
12,01625,037,02
12,01675,057,16
12,01700,095,10
12,01750,027,17
12,01775,001,03
12,01875,053,11
12,01875,101,12
12,02187,019,03
12,02250,069,11
12,02275,069,06
12,02400,031,04
12,02500,099,21
12,02550,105,09
12,02575,065,05
12,02660,113,01
12,02681,086,23
12,02750,055,17
12,02850,095,07
12,02850,095,09
12,02900,105,09
12,02925,113,01
12,03250,031,04
12,03275,086,23
12,03375,057,16
12,03480,103,13
12,03675,105,17
12,03725,063,02
12,03975,086,23
12,04070,095,10
12,04150,095,10
12,04162,101,12
12,04200,103,13
12,04250,053,11
12,04350,081,16
12,04650,101,12
12,04735,103,13
12,04925,115,16
12,04975,041,02
12,05025,019,03
12,05075,103,13
12,05100,103,13
12,05125,103,13
12,05150,103,13
12,05200,099,20
12,05300,095,10
12,05375,083,11
12,05462,033,01
12,05825,113,01
12,06100,035,06
12,06125,017,11
12,06350,087,26
12,06425,087,26
12,06600,086,24
12,06625,095,07
12,06625,095,08
12,06667,017,11
12,06670,117,07
12,06875,057,15
12,06875,057,16
12,06925,013,02
12,07300,099,22
12,07375,071,19
12,07450,059,02
12,07525,071,19
12,07687,011,20
12,07775,049,17
12,07875,099,21
12,07950,081,16
12,07975,081,16
12,08125,105,17
12,08150,057,15
12,08175,121,02
12,08300,033,01
12,08450,105,17
12,08575,099,21
12,08600,077,02
12,08650,011,22
12,08650,011,23
12,08700,075,02
12,08725,007,03
12,08762,053,11
12,08800,053,11
12,08925,113,01
12,09000,086,24
12,09315,043,17
12,09350,071,17
12,09350,071,19
12,09415,097,09
12,09550,035,06
12,09612,071,19
12,09625,119,11
12,09630,109,06
12,09655,099,18
12,09700,089,04
12,09725,005,02
12,09875,097,09
12,09900,063,02
12,10100,099,20
12,10250,009,08
12,10275,071,19
12,10425,071,19
12,10725,037,02
12,10825,057,14
12,10975,133,02
12,11050,117,07
12,11150,005,02
12,11225,075,02
12,11285,097,09
12,11325,119,11
12,11362,033,01
12,11597,071,17
12,11625,015,17
12,11650,015,17
12,11800,039,05
12,11912,057,12
12,11912,057,14
12,11925,075,02
12,11975,133,02
12,12150,021,25
12,12250,095,08
12,12275,117,07
12,12300,113,01
12,12325,091,01
12,12412,017,11
12,12425,057,14
12,12450,017,11
12,12675,095,10
12,12875,103,12
12,12875,103,13
12,12925,069,15
12,12950,015,17
12,13000,051,25
12,13050,099,20
12,13125,113,01
12,13150,009,08
12,13175,009,08
12,13225,009,08
12,13275,011,22
12,13400,119,11
12,13775,105,15
12,13965,101,12
12,14050,095,07
12,14050,095,10
12,14125,011,23
12,14250,086,27
12,14400,011,22
12,14412,086,27
12,14700,081,16
12,14850,063,02
12,14895,086,24
12,14895,086,25
12,15055,086,26
12,15300,129,02
12,15325,109,06
12,15375,107,03
12,15475,091,01
12,15515,105,09
12,15575,029,02
12,15725,105,15
12,15775,017,11
12,15800,101,12
12,15862,087,26
12,15968,086,27
12,16050,105,09
12,16062,071,19
12,16100,093,17
12,16125,101,12
12,16175,101,12
12,16335,011,23
12,16450,105,09
12,16475,011,23
12,16500,067,02
12,16525,127,06
12,16550,127,06
12,16675,127,06
12,16725,011,22
12,16800,131,01
12,16875,127,06
12,16937,127,06
12,16975,127,06
12,17100,099,21
12,17200,127,06
12,17300,115,16
12,17325,091,01
12,17450,113,01
12,17710,113,01
12,17725,095,10
12,17935,086,25
12,18075,057,15
12,18425,087,26
12,18550,105,09
12,18575,103,12
12,18675,083,02
12,18875,105,09
12,19025,075,02
12,19206,103,12
12,19212,057,14
12,19212,057,15
12,19275,113,01
12,19350,107,03
12,19400,037,02
12,19575,075,02
12,19650,095,10
12,19725,133,02
12,19825,127,06
12,19900,095,10
12,20050,091,01
12,20108,057,14
12,20275,101,12
12,20375,081,16
12,20650,086,24
12,20825,015,17
12,20825,115,17
12,20925,033,01
12,21150,071,19
12,21250,059,01
12,21350,069,06
12,21425,021,25
12,21750,095,07
12,21750,095,10
12,21850,041,02
12,21850,075,02
12,21945,103,13
12,22100,061,08
12,22175,089,04
12,22225,069,11
12,22250,117,07
12,22275,033,01
12,22325,113,01
12,22375,086,27
12,22387,057,16
12,22475,023,02
12,22550,035,06
12,22550,127,06
12,22560,109,06
12,22660,019,03
12,22775,017,11
12,22975,086,26
12,23050,061,08
12,23125,113,01
12,23375,117,07
12,23730,051,25
12,23850,049,17
12,23875,049,17
12,24000,011,20
12,24000,011,22
12,24000,011,23
12,24100,105,17
12,24125,071,19
12,24150,071,19
12,24175,071,17
12,24300,111,18
12,24337,111,18
12,24387,111,18
12,24475,091,01
12,24500,023,02
12,24562,086,25
12,24581,069,15
12,24581,095,10
12,24581,097,09
12,24581,105,09
12,24581,105,15
12,24710,011,20
12,24825,131,01
12,24900,105,09
12,24925,109,04
12,24975,069,11
12,25000,115,16
12,25025,105,17
12,25125,105,15
12,25175,001,03
12,25392,113,01
12,25475,053,11
12,25550,049,17
12,25655,071,19
12,25750,117,07
12,25900,057,14
12,25900,057,15
12,25900,057,16
12,25925,061,08
12,25987,086,24
12,26000,127,06
12,26050,099,20
12,26075,003,05
12,26100,086,27
12,26250,086,23
12,26300,021,25
12,26375,086,24
12,26475,095,07
12,26475,117,07
12,26550,099,21
12,26700,033,01
12,26775,021,19
12,26900,095,10
12,26925,033,01
12,26950,086,26
12,27000,063,02
12,27175,063,02
12,27256,009,08
12,27322,099,21
12,27360,103,12
12,27400,019,03
12,27550,039,05
12,27575,079,05
12,27600,063,02
12,27635,105,09
12,27650,039,05
12,27775,015,17
12,27800,069,15
12,28000,113,01
12,28050,115,16
12,28175,103,13
12,28275,099,21
12,28305,099,20
12,28400,105,09
12,28452,011,23
12,28575,007,03
12,28650,103,13
12,28800,015,17
12,28925,051,25
12,28937,071,19
12,29000,113,01
12,29100,109,06
12,29150,039,05
12,29200,099,20
12,29275,001,03
12,29320,117,07
12,29385,101,12
12,29425,017,11
12,29437,053,11
12,30000,086,25
12,30025,086,25
12,30200,099,22
12,30225,105,15
12,30225,105,17
12,30325,105,09
12,30494,053,11
12,30525,001,03
12,30700,105,09
12,30750,089,04
12,30800,053,11
12,30850,011,22
12,30858,011,22
12,30975,085,18
12,31025,095,10
12,31075,101,12
12,31275,113,01
12,31350,127,06
12,32000,011,23
12,32000,011,24
12,32150,081,16
12,32250,105,17
12,32275,086,26
12,32325,086,26
12,32375,017,11
12,32400,017,11
12,32610,095,10
12,32650,029,02
12,32675,077,02
12,32775,069,11
12,32825,101,12
12,32967,095,10
12,32993,111,18
12,33150,099,21
12,33250,021,25
12,33375,009,08
12,33425,086,23
12,33450,009,08
12,33585,111,18
12,33600,061,08
12,33625,103,13
12,33675,103,13
12,33700,085,18
12,33800,075,02
12,33900,107,03
12,33950,017,11
12,33958,017,11
12,33966,017,11
12,34000,105,09
12,34012,071,19
12,34132,087,26
12,34175,086,26
12,34185,021,25
12,34275,053,11
12,34400,086,24
12,35000,031,04
12,35000,031,05
12,35050,031,04
12,35200,063,02
12,35300,105,09
12,35350,101,12
12,35375,047,05
12,35425,113,01
12,35525,047,05
12,35550,085,18
12,35800,009,08
12,35850,099,18
12,35862,099,18
12,35875,099,18
12,35890,099,18
12,35900,099,18
12,35925,085,18
12,35950,105,15
12,36062,086,26
12,36100,086,27
12,36121,086,26
12,36175,103,13
12,36200,115,16
12,36220,099,21
12,36300,086,27
12,36325,087,26
12,36375,087,26
12,36462,057,12
12,36462,057,14
12,36475,019,03
12,36535,101,12
12,36550,087,26
12,36950,097,09
12,37225,051,25
12,37275,101,12
12,37300,001,03
12,37375,069,11
12,37500,005,02
12,37525,105,09
12,37542,099,20
12,37625,095,10
12,37648,095,10
12,37650,125,03
12,37775,023,02
12,37775,023,05
12,37800,099,21
12,37975,105,09
