GEORGIA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
13,00184,315,08
13,00408,067,11
13,00436,015,11
13,00576,075,08
13,00660,107,12
13,00660,167,10
13,00828,209,12
13,00996,309,12
13,01024,019,08
13,01052,095,02
13,01248,171,03
13,01472,179,01
13,01500,023,08
13,01500,175,12
13,01500,289,08
13,01500,319,08
13,01612,005,01
13,01696,121,06
13,01808,209,12
13,01948,011,09
13,01948,137,09
13,02060,069,12
13,02116,261,02
13,02256,261,02
13,02564,081,02
13,02592,233,14
13,02648,157,09
13,02844,065,01
13,02928,037,02
13,02928,099,02
13,03124,221,10
13,03236,287,08
13,03440,059,09
13,03440,059,10
13,04000,089,05
13,04000,089,06
13,04000,121,05
13,04000,121,11
13,04084,087,02
13,04140,013,10
13,04140,135,10
13,04204,245,12
13,04252,067,13
13,04252,097,13
13,04392,257,09
13,04448,163,10
13,04644,089,04
13,04840,205,02
13,04896,087,02
13,04980,011,09
13,04980,137,09
13,05036,057,11
13,05344,171,03
13,05680,163,10
13,05708,027,08
13,05708,275,08
13,06016,001,12
13,06688,109,12
13,06884,089,04
13,06884,089,05
13,07248,135,07
13,07304,071,08
13,07612,013,10
13,07640,297,10
13,08200,219,10
13,08284,229,01
13,08480,291,09
13,08536,099,02
13,08844,051,01
13,08928,111,09
13,08956,061,02
13,09040,033,12
13,09040,245,12
13,09068,059,10
13,09068,219,10
13,09272,063,13
13,09460,275,08
13,09488,211,10
13,09544,045,03
13,09656,147,09
13,09712,105,09
13,09852,201,02
13,10076,013,10
13,10076,135,07
13,10076,135,10
13,10076,139,09
13,10076,157,09
13,10104,223,14
13,10104,233,14
13,10132,045,03
13,10132,143,14
13,10608,087,02
13,10860,273,02
13,11000,031,12
13,11056,113,03
13,11504,069,12
13,11560,127,01
13,11616,143,14
13,11672,211,10
13,11728,197,02
13,11784,135,07
13,11784,139,09
13,12120,269,02
13,12232,093,02
13,12260,153,08
13,12260,225,02
13,12344,175,12
13,12400,131,02
13,12456,129,14
13,12484,131,02
13,12512,301,10
13,12624,205,02
13,12834,089,04
13,12834,089,05
13,12932,119,09
13,12932,147,09
13,12960,107,12
13,12988,057,11
13,13184,013,10
13,13212,195,09
13,13352,119,09
13,13492,045,03
13,13688,015,11
13,14108,115,14
13,14192,075,08
13,14472,099,02
13,14500,233,14
13,14920,153,08
13,15026,149,03
13,15172,089,06
13,15508,213,14
13,15552,121,13
13,15585,295,14
13,15648,091,08
13,15844,123,09
13,15900,091,08
13,15984,295,14
13,16460,137,09
13,16544,089,04
13,16600,109,12
13,16656,241,09
13,16796,139,09
13,16824,311,09
13,16908,087,02
13,17272,267,12
13,17328,023,08
13,17496,313,14
13,17552,195,09
13,17580,243,02
13,17776,063,05
13,17776,121,05
13,17776,121,13
13,17832,267,12
13,18000,201,02
13,19000,215,02
13,19000,215,03
13,19084,195,09
13,19112,157,09
13,19168,231,03
13,19280,063,05
13,19336,247,04
13,19392,275,08
13,19616,081,02
13,19728,137,09
13,19830,127,01
13,20064,217,04
13,20064,217,10
13,20288,221,10
13,20316,265,10
13,20550,237,10
13,20848,207,08
13,20932,117,07
13,21017,053,02
13,21072,243,02
13,21184,135,10
13,21240,187,09
13,21268,109,12
13,21324,223,14
13,21380,313,14
13,21436,099,02
13,21632,195,09
13,21688,289,08
13,21688,319,08
13,21716,191,01
13,21744,185,08
13,21800,303,10
13,21912,273,02
13,21940,085,09
13,22024,189,10
13,22052,089,04
13,22052,089,05
13,22080,299,01
13,22108,303,10
13,22304,137,09
13,22388,161,12
13,22472,261,02
13,22724,105,09
13,22752,175,12
13,22976,241,09
13,23200,127,01
13,23284,071,08
13,23368,253,02
13,23480,093,02
13,23536,089,06
13,23872,069,12
13,23900,097,13
13,24264,089,05
13,24376,175,12
13,24488,175,12
13,24600,135,07
13,24768,089,06
13,24796,065,01
13,24876,051,01
13,24964,147,09
13,25300,175,12
13,25356,123,09
13,25440,255,03
13,25552,091,08
13,25692,077,03
13,25720,121,05
13,25720,121,13
13,26084,237,10
13,26224,125,10
13,26448,037,02
13,26616,105,09
13,26980,249,02
13,27008,071,08
13,27092,123,09
13,27344,015,11
13,27512,023,08
13,27512,091,08
13,27596,019,08
13,27708,149,03
13,27736,111,09
13,27932,213,14
13,27988,015,11
13,28044,073,10
13,28044,073,12
13,28296,255,03
13,28380,121,13
13,28492,129,14
13,28520,067,11
13,28520,067,13
13,28632,295,14
13,28744,065,01
13,28968,113,03
13,28968,113,13
13,29528,017,08
13,29528,155,08
13,30088,179,01
13,30312,035,10
13,30340,139,09
13,30424,049,01
13,30536,063,05
13,30732,207,08
13,30816,061,02
13,30956,047,14
13,30956,295,14
13,31068,179,01
13,31096,225,02
13,31292,149,03
13,31320,119,09
13,31684,071,08
13,31908,139,09
13,32048,051,01
13,32188,107,12
13,32384,199,03
13,32412,263,02
13,32482,051,01
13,32528,239,02
13,32748,125,10
13,32860,011,09
13,32860,139,09
13,32916,033,12
13,33336,267,12
13,33392,309,12
13,33896,297,10
13,33980,319,08
13,34260,001,12
13,34428,077,03
13,34512,169,08
13,34596,135,07
13,34876,133,10
13,35016,199,03
13,35240,089,05
13,35324,255,03
13,35716,073,12
13,35800,179,01
13,35814,119,09
13,35884,103,12
13,36024,109,12
13,36052,185,08
13,36220,145,03
13,36276,151,03
13,36276,151,13
13,36416,293,03
13,36472,121,05
13,36528,077,03
13,36528,199,03
13,36668,009,10
13,36696,073,10
13,36696,073,12
13,36920,303,10
13,37144,147,09
13,37396,235,08
13,37564,161,12
13,37788,311,09
13,37816,271,08
13,37816,309,12
13,37910,051,01
13,38040,245,12
13,38105,151,03
13,38105,255,03
13,38124,281,09
13,38348,209,12
13,38866,231,03
13,38920,251,12
13,38964,179,01
13,39076,223,14
13,39216,025,01
13,39244,285,03
13,39524,057,11
13,39692,049,01
13,39720,011,09
13,39748,065,01
13,40056,157,09
13,40196,269,02
13,40532,195,09
13,40812,193,02
13,40840,195,09
13,41036,047,14
13,41344,253,02
13,41347,063,13
13,41400,319,08
13,41484,051,01
13,41540,319,08
13,41596,035,10
13,41708,271,08
13,41792,099,02
13,41932,227,09
13,41932,227,14
13,41988,157,09
13,42100,289,08
13,42156,035,10
13,42184,297,10
13,42268,305,01
13,42425,121,06
13,42604,063,13
13,42800,263,02
13,43192,067,11
13,43360,033,12
13,43580,039,01
13,43640,039,01
13,43668,015,11
13,43892,167,10
13,44060,079,02
13,44312,295,14
13,44340,285,03
13,44508,063,05
13,44592,173,08
13,44704,185,08
13,44900,047,14
13,44900,295,14
13,44956,247,04
13,45460,119,09
13,45460,147,09
13,45488,135,07
13,45600,037,02
13,45768,177,02
13,45936,075,08
13,46020,261,02
13,46188,221,10
13,46356,135,04
13,46356,135,07
13,46384,093,02
13,46524,293,03
13,46552,181,10
13,46580,115,14
13,46832,097,13
13,46860,089,04
13,47140,151,03
13,47196,135,04
13,47196,135,07
13,47196,297,10
13,47252,199,03
13,47336,295,14
13,47560,163,10
13,47616,063,13
13,47784,183,01
13,47896,011,09
13,47896,139,09
13,47952,271,08
13,47980,259,02
13,48008,199,03
13,48092,055,14
13,48232,279,12
13,48288,067,13
13,48428,111,09
13,48624,151,03
13,48624,151,10
13,48848,319,08
13,49000,021,02
13,49000,021,08
13,49000,169,08
13,49084,271,08
13,49196,211,10
13,49504,267,12
13,49532,199,03
13,49532,263,02
13,49616,217,10
13,49756,067,06
13,49756,067,11
13,49924,193,02
13,50008,119,09
13,50008,257,09
13,50036,073,12
13,50176,163,10
13,50260,221,10
13,50484,011,09
13,50484,157,09
13,50596,231,03
13,50680,205,02
13,50680,275,08
13,50820,267,12
13,50848,055,14
13,51072,043,12
13,51240,033,12
13,51352,179,01
13,51408,091,08
13,51408,271,08
13,51492,009,10
13,51520,165,12
13,51604,171,03
13,51670,121,06
13,51744,111,09
13,51968,125,10
13,52108,231,03
13,52192,297,10
13,52304,193,02
13,52332,051,01
13,52416,159,10
13,52500,175,12
13,52556,185,01
13,52668,077,03
13,52696,037,02
13,52724,111,09
13,53004,063,05
13,53004,063,13
13,53032,027,08
13,53060,071,08
13,53116,241,09
13,53172,057,11
13,53172,121,06
13,53186,135,04
13,53284,137,09
13,53508,209,12
13,53620,045,03
13,54124,025,01
13,54264,019,08
13,54572,057,11
13,54572,227,09
13,54656,217,10
13,54992,251,12
13,55020,077,03
13,55244,007,02
13,55440,069,12
13,55468,157,09
13,55776,135,07
13,55860,071,08
13,55944,107,12
13,56000,089,05
13,56000,089,06
13,56112,089,04
13,56112,089,05
13,56168,089,04
13,56168,089,05
13,56308,219,10
13,56560,301,10
13,56644,107,12
13,57232,107,12
13,57260,139,09
13,57372,275,08
13,57428,155,08
13,57456,303,10
13,57540,305,01
13,57568,229,01
13,57736,193,02
13,58100,251,12
13,58184,071,08
13,58184,277,08
13,58296,255,03
13,58744,217,04
13,58884,077,03
13,58884,121,13
13,59080,089,04
13,59080,089,05
13,59416,273,02
13,59500,229,01
13,59556,027,08
13,59556,275,08
13,59584,021,02
13,59584,021,08
13,59724,113,03
13,59808,003,08
13,59976,205,02
13,60004,029,01
13,60032,157,09
13,60312,165,12
13,60340,153,08
13,60340,225,02
13,60508,277,08
13,60984,093,02
13,61040,089,04
13,61124,145,03
13,61124,199,03
13,61320,315,08
13,61544,315,08
13,61628,261,02
13,61684,129,14
13,62104,051,01
13,62216,031,12
13,62244,217,04
13,62328,051,01
13,62496,321,08
13,62524,067,13
13,63000,043,12
13,63084,095,02
13,63224,027,08
13,63560,129,14
13,63588,137,09
13,63728,019,08
13,63756,317,10
13,63840,287,08
13,63952,089,04
13,64288,147,09
13,64372,031,12
13,64512,267,12
13,64596,185,08
13,64680,175,12
13,64736,129,14
13,64792,135,07
13,64792,139,09
13,64876,269,02
13,64932,091,08
13,64960,179,01
13,65016,259,02
13,65044,029,01
13,65156,303,10
13,65296,103,01
13,65324,047,14
13,65464,063,05
13,65464,063,13
13,65604,071,08
13,65856,079,02
13,65968,153,08
13,66024,315,08
13,66220,005,01
13,66276,233,14
13,66444,251,12
13,66668,115,14
13,66696,045,03
13,67256,295,14
13,67284,121,06
13,67452,119,09
13,67452,147,09
13,67452,195,09
13,67676,013,10
13,67760,211,10
13,67984,039,01
13,68040,127,01
13,68096,205,02
13,68129,293,03
13,68208,303,10
13,68516,121,06
13,68516,121,11
13,68600,279,12
13,68740,033,12
13,68796,273,02
13,68805,161,12
13,68880,311,09
13,69000,051,01
13,69336,271,08
13,69336,309,12
13,69392,089,04
13,69448,305,01
13,69672,077,03
13,69728,315,08
13,69784,159,10
13,69868,115,14
13,69896,265,10
13,69980,077,03
13,70120,243,02
13,70428,145,03
13,70932,133,10
13,71184,051,01
13,71282,241,09
13,71464,177,02
13,71492,067,11
13,71492,067,13
13,71604,135,04
13,71604,135,07
13,71660,217,10
13,71660,297,10
13,71772,283,12
13,72556,075,08
13,72584,141,10
13,72780,103,12
13,73004,163,10
13,73200,101,01
13,73256,031,12
13,73312,013,10
13,73620,107,12
13,73704,151,03
13,73704,151,13
13,73816,089,04
13,74180,135,07
13,74348,107,12
13,74376,055,14
13,74432,321,08
13,74572,255,03
13,74628,299,01
13,74768,293,03
13,74852,001,12
13,74936,135,07
13,74964,107,12
13,75104,287,08
13,75160,251,12
13,75188,321,08
13,75239,051,01
13,75244,263,02
13,75272,227,14
13,75300,143,14
13,75328,137,09
13,75328,241,09
13,75412,157,09
13,75496,209,12
13,75580,281,09
13,75664,015,11
13,75664,233,14
13,75832,045,03
13,75832,143,14
13,75888,303,10
13,76112,293,03
13,76168,293,03
13,76224,275,08
13,76280,189,10
13,76364,051,01
13,76476,277,08
13,76504,241,09
13,76532,317,10
13,76756,257,09
13,76952,319,08
13,77372,083,14
13,77540,055,14
13,77652,089,04
13,77652,089,06
13,77736,313,14
13,77764,077,03
13,77988,107,12
13,78036,051,01
13,78044,113,03
13,78044,113,13
13,78100,277,08
13,78156,093,02
13,78324,121,13
13,78380,133,10
13,78464,277,08
13,78744,209,12
13,78800,185,08
13,78996,313,14
13,79164,051,01
13,79388,209,12
13,79388,279,12
13,79416,033,12
13,79444,093,02
13,79528,045,03
13,79528,097,13
13,79612,067,11
13,79808,143,14
13,79864,163,10
13,79948,057,11
13,80228,297,10
13,80256,179,01
13,80480,199,03
13,80508,153,08
13,80508,225,02
13,80592,301,10
13,80676,321,08
13,80704,317,10
13,80788,219,10
13,80844,145,03
13,80956,229,01
13,80956,299,01
13,80984,033,12
13,81128,307,02
13,82132,145,03
13,82132,285,03
13,82412,131,02
13,82468,015,11
13,82636,051,01
13,82692,133,10
13,82720,045,03
13,82972,003,08
13,83084,231,03
13,83168,051,01
13,83420,013,10
13,83728,059,09
13,83868,039,01
13,83896,199,03
13,83952,263,02
13,84176,057,11
13,84260,133,10
13,84288,113,03
13,84456,163,10
13,84512,167,10
13,84708,293,03
13,84832,311,09
13,84960,281,09
13,85128,231,03
