HAWAII CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
15,00400,003,02
15,00550,003,01
15,01085,001,02
15,02200,007,02
15,03850,001,02
15,05900,001,02
15,06290,003,01
15,06290,003,02
15,06325,001,02
15,07000,007,02
15,07450,003,01
15,07470,003,01
15,07485,003,01
15,07542,001,02
15,07675,001,02
15,08950,007,02
15,09260,009,02
15,09700,001,02
15,10000,003,01
15,10750,003,02
15,10900,009,02
15,11350,009,02
15,11500,007,02
15,11650,007,02
15,11800,007,02
15,12400,003,02
15,12450,001,02
15,12500,001,02
15,12530,001,02
15,12600,001,02
15,13600,001,02
15,13900,003,02
15,14200,003,01
15,14650,001,02
15,15700,001,02
15,16000,001,02
15,16160,001,02
15,16450,001,02
15,17450,001,02
15,19100,003,01
15,19550,003,02
15,20000,009,02
15,21200,003,02
15,21230,001,02
15,22250,003,02
15,22700,009,02
15,23000,001,02
15,23150,003,02
15,24850,003,01
15,24950,007,02
15,25400,001,02
15,26750,007,02
15,28250,003,02
15,28400,003,02
15,28850,007,02
15,29000,001,02
15,29725,009,02
15,30300,003,01
15,30300,003,02
15,30650,007,02
15,31100,009,02
15,32700,003,02
15,32900,001,02
15,33950,001,02
15,35600,007,02
15,36050,009,02
15,36500,009,02
15,36650,007,02
15,39200,007,02
15,39400,003,01
15,39500,009,02
15,41000,001,02
15,41600,009,02
15,42800,001,02
15,42950,009,02
15,43250,003,02
15,43700,009,02
15,44075,009,02
15,44150,001,02
15,44450,007,02
15,44562,001,02
15,45200,007,02
15,46400,009,02
15,47050,009,02
15,47300,003,02
15,47450,003,02
15,47560,003,02
15,47600,003,02
15,48050,009,02
15,48350,009,02
15,49425,009,02
15,50150,009,02
15,50750,003,02
15,51000,003,01
15,51050,003,01
15,52550,003,02
15,53300,001,02
15,53600,001,02
15,53900,003,02
15,53975,001,02
15,54100,009,02
15,56685,003,01
15,57350,009,02
15,57650,009,02
15,57800,007,02
15,58775,001,02
15,59300,001,02
15,59750,001,02
15,59900,001,02
15,60200,009,02
15,60350,007,02
15,61550,001,02
15,61700,001,02
15,62600,003,01
15,63650,001,02
15,64550,007,02
15,65075,007,02
15,65150,001,02
15,65750,007,02
15,65900,009,02
15,66500,003,02
15,66800,003,02
15,68815,003,02
15,69050,003,02
15,70700,009,02
15,71550,003,01
15,72350,001,02
15,72650,003,02
15,74000,003,02
15,74450,003,02
15,75510,009,02
15,75800,003,02
15,75950,009,02
15,76250,003,01
15,76600,001,02
15,76925,009,02
15,77000,007,02
15,77225,007,02
15,77450,009,02
15,77750,003,01
15,78050,003,02
15,78200,003,02
15,78500,001,02
15,78800,007,02
15,78950,001,02
15,79250,007,02
15,79550,001,02
15,79700,003,01
15,79860,003,01
15,80000,003,01
15,80470,003,01
15,80600,003,02
15,80900,003,02
