IDAHO CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
16,00100,011,02
16,00280,067,02
16,01000,031,02
16,01900,077,02
16,01990,019,02
16,02935,077,02
16,03160,023,02
16,03340,005,02
16,03610,043,02
16,03700,055,01
16,03970,011,02
16,04420,029,02
16,04600,015,01
16,05230,011,02
16,06220,013,02
16,06670,007,02
16,07840,011,02
16,08290,017,01
16,08470,047,02
16,08560,007,02
16,08830,001,01
16,08830,001,02
16,09370,021,01
16,09730,057,01
16,10810,083,02
16,11260,031,02
16,11260,067,02
16,11710,023,02
16,12250,027,01
16,12520,087,01
16,12790,013,02
16,13150,085,01
16,13240,083,02
16,13780,037,02
16,14680,005,02
16,14950,017,01
16,15490,037,02
16,16120,041,02
16,16750,055,01
16,17830,055,01
16,18640,049,01
16,18820,003,01
16,19270,061,01
16,19720,015,01
16,19900,069,01
16,20350,055,01
16,20710,041,02
16,20890,057,01
16,20980,031,02
16,21520,009,01
16,21790,063,02
16,22330,085,01
16,22510,017,01
16,22600,005,02
16,22690,081,02
16,22780,043,02
16,22960,033,02
16,23410,001,01
16,23410,001,02
16,23680,017,01
16,24310,053,02
16,24940,049,01
16,25120,035,01
16,25570,045,01
16,26290,025,02
16,27460,049,01
16,27550,055,01
16,27730,083,02
16,27910,011,02
16,28360,005,02
16,28360,011,02
16,28810,041,02
16,28990,075,01
16,29620,001,01
16,29620,001,02
16,29710,015,01
16,30160,057,01
16,30340,007,02
16,31690,039,02
16,32140,047,02
16,32500,029,02
16,32770,073,01
16,32950,049,01
16,33490,027,01
16,34030,011,02
16,34300,047,02
16,34390,013,02
16,34570,051,02
16,34930,083,02
16,35200,055,01
16,35830,055,01
16,36370,055,01
16,36460,055,01
16,36730,053,02
16,37360,067,02
16,37500,001,02
16,38080,083,02
16,38170,073,01
16,38440,017,01
16,38620,015,01
16,39070,055,01
16,39610,015,01
16,39700,019,02
16,40330,005,02
16,40420,019,02
16,40510,019,02
16,40600,043,02
16,41320,053,02
16,42130,057,01
16,42400,049,01
16,42400,061,01
16,42580,079,01
16,42760,057,01
16,43030,013,02
16,43570,083,02
16,44110,049,01
16,44200,017,01
16,44290,001,01
16,45370,069,01
16,45820,005,02
16,45910,059,02
16,46540,069,01
16,46720,051,02
16,47080,019,02
16,47890,037,02
16,48250,015,01
16,48790,085,01
16,48880,005,02
16,49240,037,02
16,50140,071,02
16,50230,031,02
16,50950,073,01
16,51850,027,01
16,52030,051,02
16,52120,001,01
16,52660,027,01
16,52750,087,01
16,53110,067,02
16,53920,007,02
16,54100,023,02
16,54370,011,02
16,54550,057,01
16,54730,039,02
16,54820,039,02
16,55270,021,01
16,55450,051,02
16,55630,079,01
16,55720,073,01
16,55900,083,02
16,56260,027,01
16,56800,043,02
16,56890,003,01
16,56980,075,01
16,57250,061,01
16,58060,027,01
16,58330,031,02
16,58600,017,01
16,58870,057,01
16,59320,035,01
16,59590,079,01
16,60040,041,02
16,60580,007,02
16,60760,043,02
16,60890,009,01
16,60940,027,01
16,61210,067,02
16,61300,075,01
16,61840,069,01
16,62740,035,01
16,63100,079,01
16,63550,015,01
16,63910,009,01
16,64090,005,02
16,64090,077,02
16,64450,017,01
16,64810,055,01
16,64900,057,01
16,65260,041,02
16,65530,017,01
16,65620,057,01
16,66340,055,01
16,67150,061,01
16,67420,065,02
16,67600,063,02
16,67780,051,02
16,67870,049,01
16,67960,019,02
16,67960,051,02
16,68230,011,02
16,68500,051,02
16,68545,015,01
16,68860,011,02
16,68950,055,01
16,69130,077,02
16,70660,067,02
16,71020,043,02
16,71110,007,02
16,71470,009,01
16,71650,059,02
16,72100,017,01
16,73450,011,02
16,73900,063,02
16,75070,079,01
16,75160,085,01
16,75195,029,02
16,75970,033,02
16,76060,055,01
16,76780,037,02
16,76870,001,01
16,76870,027,01
16,77050,055,01
16,77500,049,01
16,78040,065,02
16,78850,013,02
16,79120,019,02
16,79300,069,01
16,80200,009,01
16,80380,043,02
16,80470,081,02
16,82360,057,01
16,82810,083,02
16,83260,005,02
16,83350,019,02
16,84250,081,02
16,84790,079,01
16,85240,079,01
16,85420,043,02
16,86050,035,01
16,86140,087,01
16,86320,047,02
16,87040,041,02
16,87310,049,01
16,87670,027,01
16,87850,061,01
16,88480,055,01
16,88660,085,01
