ILLINOIS CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
17,00113,095,17
17,00178,109,18
17,00230,189,15
17,00243,043,05
17,00243,043,08
17,00295,141,16
17,00516,195,17
17,00555,027,15
17,00568,047,15
17,00646,131,17
17,00672,131,17
17,00672,187,17
17,00685,089,06
17,00685,111,06
17,00685,111,14
17,00737,119,15
17,00815,185,15
17,00867,139,15
17,00880,019,15
17,00880,183,15
17,00919,121,15
17,00958,163,12
17,00971,073,17
17,00997,171,18
17,01010,031,01
17,01010,031,03
17,01049,049,15
17,01114,119,12
17,01140,095,17
17,01205,181,12
17,01242,183,15
17,01270,103,16
17,01361,113,18
17,01426,161,17
17,01491,073,17
17,01543,181,12
17,01556,033,15
17,01569,011,16
17,01569,073,17
17,01595,097,14
17,01647,085,17
17,01673,085,17
17,01881,041,15
17,01946,017,18
17,01972,115,13
17,02102,011,16
17,02154,031,08
17,02154,031,09
17,02154,097,06
17,02154,097,10
17,02206,179,18
17,02258,091,02
17,02342,113,18
17,02414,041,15
17,02414,139,15
17,02479,075,16
17,02505,017,18
17,02531,189,15
17,02557,029,15
17,02583,103,16
17,02609,021,13
17,02635,057,17
17,02674,129,18
17,02726,073,17
17,02752,107,18
17,02882,041,15
17,02882,147,13
17,02921,167,18
17,02986,067,18
17,03012,043,11
17,03012,043,14
17,03012,089,11
17,03012,089,14
17,03012,093,11
17,03012,197,14
17,03103,077,12
17,03181,027,15
17,03207,057,17
17,03207,187,17
17,03454,157,12
17,03571,057,17
17,03610,097,10
17,03675,109,18
17,03844,031,06
17,03844,097,06
17,03883,031,06
17,03883,031,08
17,03883,089,06
17,03883,089,08
17,03883,097,06
17,03883,111,06
17,03948,149,18
17,04000,027,15
17,04013,031,06
17,04013,031,08
17,04013,043,06
17,04013,043,08
17,04013,089,06
17,04039,143,17
17,04039,143,18
17,04052,067,18
17,04078,043,14
17,04078,089,14
17,04117,013,13
17,04156,125,18
17,04247,149,18
17,04273,203,18
17,04303,097,10
17,04303,097,14
17,04351,017,18
17,04403,107,18
17,04507,075,16
17,04533,027,15
17,04572,031,03
17,04585,197,02
17,04598,049,15
17,04689,183,15
17,04715,087,15
17,04793,065,15
17,04806,081,12
17,04845,163,12
17,04871,143,17
17,04871,143,18
17,04897,113,18
17,04936,185,15
17,04975,031,04
17,04975,031,07
17,05092,007,16
17,05144,147,13
17,05209,117,13
17,05248,031,05
17,05248,043,05
17,05248,043,08
17,05261,203,18
17,05274,067,18
17,05300,055,12
17,05404,031,04
17,05404,031,07
17,05443,167,18
17,05573,031,03
17,05573,031,04
17,05573,031,07
17,05599,119,12
17,05599,119,13
17,05612,139,15
17,05898,071,17
17,05976,089,14
17,06028,051,15
17,06171,073,17
17,06184,183,15
17,06470,109,18
17,06587,043,08
17,06613,113,13
17,06613,113,18
17,06704,031,01
17,06756,115,13
17,06899,171,18
17,06964,081,12
17,07133,043,11
17,07133,197,11
17,07133,197,14
17,07211,019,13
17,07224,047,15
17,07237,091,02
17,07263,081,12
17,07315,115,13
17,07419,093,11
17,07419,093,14
17,07471,091,02
17,07510,067,18
17,07640,063,16
17,07640,197,16
17,07692,175,16
17,07744,091,02
17,07770,197,16
17,07913,027,15
17,08186,101,15
17,08225,031,03
17,08264,083,13
17,08264,117,13
17,08303,143,18
17,08420,019,15
