INDIANA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
18,00140,127,01
18,00640,011,04
18,00748,049,02
18,00784,107,04
18,00802,035,06
18,00802,135,06
18,00820,113,03
18,00910,095,05
18,00964,027,08
18,01270,025,08
18,01288,033,03
18,01342,007,04
18,01360,103,02
18,01396,157,04
18,01450,063,04
18,01468,095,05
18,01612,069,03
18,01666,151,03
18,01954,057,05
18,02044,099,02
18,02116,139,06
18,02458,033,03
18,02458,151,03
18,02602,057,05
18,02620,045,04
18,02674,033,03
18,02782,029,06
18,02800,143,06
18,02872,113,03
18,02890,093,09
18,02908,063,04
18,03142,133,04
18,03394,081,09
18,03610,149,02
18,03664,047,06
18,03664,137,06
18,03718,157,04
18,04114,093,09
18,04204,097,07
18,04888,001,03
18,04978,109,09
18,05158,127,01
18,05176,083,08
18,05374,037,08
18,05662,165,08
18,05716,055,08
18,05788,121,08
18,05860,105,09
18,05896,065,06
18,06220,179,03
18,06616,173,08
18,06634,019,09
18,06652,177,06
18,06706,007,04
18,06760,099,02
18,07174,021,08
18,07318,099,02
18,07624,029,06
18,07750,039,02
18,07966,111,04
18,08038,109,09
18,08092,077,06
18,08146,181,04
18,08182,047,06
18,08416,063,04
18,08470,071,09
18,08578,083,08
18,08704,075,03
18,08812,157,04
18,08992,181,04
18,09136,103,02
18,09226,085,02
18,09244,015,04
18,09316,181,04
18,09352,101,08
18,09370,127,01
18,09532,033,03
18,09622,079,06
18,09712,065,06
18,09874,177,06
18,09910,015,04
18,10000,175,09
18,10036,077,06
18,10090,027,08
18,10108,123,08
18,10198,021,08
18,10270,153,08
18,10342,057,05
18,10612,139,06
18,10954,165,08
18,11044,047,06
18,11062,089,01
18,11746,021,08
18,11836,177,06
18,11944,181,04
18,12034,173,08
18,12124,019,09
18,12376,035,06
18,12376,095,05
18,12412,127,01
18,12574,147,08
18,12610,183,03
18,12628,057,05
18,12880,031,06
18,12898,157,04
18,12934,019,09
18,13276,021,08
18,13312,085,02
18,13366,063,04
18,13438,151,03
18,13492,097,05
18,13492,097,07
18,13582,005,06
18,13780,165,08
18,13852,133,04
