IOWA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
19,00190,069,04
19,00190,083,04
19,00235,181,03
19,00370,001,03
19,00370,077,03
19,00505,049,03
19,00595,175,03
19,00640,179,02
19,00730,183,02
19,00775,149,04
19,00865,021,04
19,00910,135,02
19,00955,127,01
19,01000,113,01
19,01045,083,04
19,01090,069,04
19,01135,109,04
19,01180,153,03
19,01270,185,02
19,01315,023,04
19,01495,021,04
19,01540,037,04
19,01585,167,04
19,01630,153,03
19,01675,119,04
19,01720,095,01
19,01855,169,04
19,01990,105,01
19,02035,071,03
19,02080,045,02
19,02125,097,01
19,02260,029,03
19,02305,153,03
19,02350,193,04
19,02395,023,04
19,02485,027,04
19,02530,141,04
19,02620,023,04
19,02755,047,04
19,02800,175,03
19,02845,065,01
19,02935,063,04
19,03025,059,04
19,03115,093,04
19,03160,061,01
19,03295,143,04
19,03340,047,04
19,03385,139,02
19,03430,173,03
19,03475,011,01
19,03520,029,03
19,03610,161,04
19,03655,009,04
19,03745,035,04
19,03835,019,01
19,03970,155,03
19,04105,147,04
19,04195,187,04
19,04240,077,03
19,04330,097,01
19,04375,061,01
19,04420,109,04
19,04510,061,01
19,04555,123,02
19,04555,157,01
19,04645,187,04
19,04735,071,03
19,04780,037,04
19,04825,101,02
19,04870,093,04
19,04915,099,02
19,04960,077,03
19,05050,123,02
19,05095,159,03
19,05140,075,04
19,05185,015,04
19,05200,057,02
19,05365,173,03
19,05590,011,01
19,05635,097,01
19,05680,197,04
19,05770,031,02
19,05870,155,03
19,05905,159,03
19,06040,015,04
19,06085,061,01
19,06175,113,01
19,06355,163,02
19,06490,121,03
19,06490,181,03
19,06625,177,02
19,06760,079,04
19,06805,011,01
19,06850,179,02
19,06895,145,03
19,06940,133,04
19,06985,173,03
19,07030,051,02
19,07075,139,02
19,07075,163,02
19,07210,091,04
19,07255,195,01
19,07345,177,02
19,07390,153,03
19,07480,015,04
19,07660,049,03
19,07750,015,04
19,07840,167,04
19,07930,145,03
19,08020,069,04
19,08065,091,04
19,08155,019,01
19,08200,009,04
19,08290,027,04
19,08425,001,03
19,08470,183,02
19,08560,023,04
19,08605,081,04
19,08650,193,04
19,08695,157,01
19,08875,149,04
19,09100,083,04
19,09145,047,04
19,09235,163,02
19,09280,189,04
19,09415,033,04
19,09550,057,02
19,09640,191,01
19,09685,109,04
19,09730,125,02
19,09820,045,02
19,09910,085,04
19,09955,187,04
19,10045,191,01
19,10090,141,04
19,10135,045,02
19,10225,169,04
19,10450,177,02
19,10585,003,03
19,10765,153,03
19,10765,181,03
19,11035,131,01
19,11080,027,04
19,11170,155,03
19,11215,155,03
19,11305,061,01
19,11305,105,01
19,11395,001,03
19,11395,077,03
19,11485,191,01
19,11530,133,04
19,11755,013,01
19,12000,113,01
19,12225,105,01
19,12270,113,01
19,12315,007,02
19,12495,113,01
19,12630,061,01
19,12675,069,04
19,12720,117,02
19,12765,067,04
19,12855,045,02
19,12900,047,04
19,12945,167,04
19,12990,171,01
19,13080,035,04
19,13125,089,01
19,13215,179,02
19,13350,073,04
19,13395,007,02
19,13485,187,04
19,13530,031,02
19,13575,145,03
19,13620,197,04
19,13755,023,04
19,13845,043,01
19,13980,159,03
19,13980,173,03
19,14025,033,04
19,14115,035,04
19,14160,127,01
19,14250,065,01
19,14385,193,04
19,14430,045,02
19,14475,185,02
19,14520,049,03
19,14520,153,03
19,14655,171,01
19,14835,187,04
19,14880,137,03
19,14925,113,01
19,14970,145,03
19,15015,055,01
19,15060,099,02
19,15105,145,03
19,15195,169,04
19,15240,169,04
19,15375,115,02
19,15420,115,02
19,15465,067,04
19,15645,139,02
19,15825,075,04
19,15870,095,01
19,15960,173,03
19,16050,027,04
19,16050,077,03
19,16140,087,02
19,16140,101,02
19,16140,183,02
19,16230,103,02
19,16320,165,04
19,16500,003,03
19,16545,193,04
19,16590,081,04
19,16635,185,02
19,16725,115,02
19,16815,069,04
19,16860,155,03
19,16950,149,04
19,17130,183,02
19,17175,155,03
19,17220,089,01
19,17265,175,03
19,17490,175,03
19,17670,081,04
19,17760,029,03
19,17850,181,03
19,17895,147,04
19,17940,193,04
19,17985,147,04
19,18075,091,04
19,18255,049,03
19,18345,073,04
19,18390,193,04
19,18435,057,02
19,19000,163,02
19,19090,053,02
19,19135,049,03
19,19180,187,04
19,19360,053,02
19,19405,191,01
19,19450,027,04
19,19495,157,01
19,19585,165,04
