KANSAS CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
20,00100,155,01
20,00125,041,01
20,00225,143,01
20,00325,111,01
20,00475,157,01
20,00550,147,01
20,00825,009,01
20,00950,159,01
20,01050,165,01
20,01275,111,01
20,01350,197,01
20,01425,137,01
20,01550,099,02
20,01575,197,01
20,01600,141,01
20,01625,205,02
20,01675,111,01
20,01775,173,04
20,01800,015,04
20,01800,173,04
20,01975,077,04
20,02175,037,02
20,02250,191,04
20,02300,035,04
20,02325,155,01
20,02375,037,02
20,02600,123,01
20,02675,025,01
20,02850,169,01
20,02900,005,02
20,03025,183,01
20,03050,035,04
20,03100,077,04
20,03150,153,01
20,03250,177,02
20,03300,015,04
20,03425,029,01
20,03600,117,02
20,03675,131,02
20,03900,045,02
20,04225,105,01
20,04250,201,01
20,04350,099,02
20,04400,103,02
20,04450,001,02
20,04625,021,02
20,04775,135,01
20,04900,117,02
20,05337,173,04
20,05500,191,04
20,05600,157,01
20,05775,123,01
20,05825,047,04
20,05925,149,01
20,05975,043,02
20,06000,205,02
20,06075,143,01
20,06125,173,04
20,06175,015,04
20,06275,131,02
20,06500,105,01
20,06825,023,01
20,06950,165,01
20,07600,107,02
20,07650,117,02
20,07775,077,04
20,07825,065,01
20,07975,091,03
20,07975,103,02
20,07975,209,03
20,08425,193,01
20,08475,011,02
20,08575,169,01
20,08675,135,01
20,09000,057,01
20,09050,121,03
20,09150,205,02
20,09200,155,01
20,09225,167,01
20,09250,035,04
20,09275,145,01
20,09350,139,02
20,09400,031,02
20,09450,115,01
20,09525,089,01
20,09575,079,04
20,09675,111,01
20,09700,159,01
20,09800,151,04
20,09900,191,04
20,10125,035,04
20,10375,125,02
20,10475,113,01
20,10600,139,02
20,10675,041,01
20,10925,015,04
20,11025,051,01
20,11175,123,01
20,11325,183,01
20,11425,017,01
20,11450,019,04
20,12425,131,02
20,12500,133,02
20,12550,041,01
20,12650,159,01
20,12675,019,04
20,12775,173,04
20,12825,037,02
20,12925,125,02
20,12950,099,02
20,13100,037,02
20,13275,069,01
20,13375,085,02
20,13425,009,01
20,13625,027,01
20,13675,039,01
20,13675,137,01
20,13925,173,04
20,14200,027,01
20,14200,201,01
20,14275,073,04
20,14475,029,01
20,14525,151,04
20,14600,125,02
20,14650,193,01
20,14700,033,04
20,14900,195,01
20,14950,003,02
20,15075,021,02
20,15100,173,04
20,15200,029,01
20,15325,191,04
20,15400,075,01
20,15475,069,01
20,15725,131,02
20,15900,017,01
20,15925,127,01
20,16025,157,01
20,16150,205,02
20,16625,157,01
