KENTUCKY CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
21,00298,141,01
21,00694,053,01
21,00802,037,04
21,00946,071,05
21,01000,219,01
21,01504,111,03
21,01648,109,05
21,02044,039,01
21,02188,121,05
21,02368,019,04
21,02638,141,01
21,02656,111,03
21,02674,023,04
21,02764,071,05
21,03376,111,03
21,03412,007,01
21,03556,111,03
21,03574,121,05
21,03628,179,02
21,03664,039,01
21,03718,007,01
21,04546,129,05
21,04654,183,01
21,04816,223,04
21,04978,149,01
21,05014,177,01
21,05068,111,03
21,05374,089,04
21,05392,111,03
21,05428,015,04
21,05446,037,04
21,05464,111,03
21,05662,095,05
21,05824,157,01
21,05842,151,06
21,05968,097,04
21,06220,071,05
21,07012,133,05
21,07264,127,05
21,07390,007,01
21,07516,179,02
21,07858,111,03
21,08488,099,02
21,08614,189,05
21,08722,179,02
21,08902,227,02
21,09100,155,01
21,09226,163,02
21,09379,225,01
21,09406,177,01
21,09532,111,03
21,09838,203,05
21,09847,111,03
21,09856,117,04
21,09964,029,02
21,10000,023,04
21,10162,111,03
21,10198,111,03
21,10324,061,02
21,10612,193,05
21,10648,185,04
21,10774,123,02
21,11044,167,02
21,11098,057,01
21,11170,015,04
21,11188,139,01
21,11278,199,05
21,11530,191,04
21,11692,221,01
21,11854,149,01
21,11872,037,04
21,12016,157,01
21,12052,173,06
21,12066,111,03
21,12142,103,04
21,12160,217,01
21,12358,237,06
21,12538,085,02
21,12610,019,05
21,12898,181,06
21,13024,041,04
21,13060,139,01
21,13420,019,04
21,13492,009,02
21,13582,095,05
21,13600,075,01
21,13636,093,02
21,13870,183,01
21,13978,177,01
21,14068,221,01
21,14266,179,02
21,15148,085,02
21,15166,037,04
21,15202,233,01
21,15238,197,06
21,15742,105,01
21,15904,027,02
21,16110,195,05
21,16354,095,05
21,16372,037,04
21,16395,111,03
21,16750,001,01
21,16768,105,01
21,16894,135,04
21,17362,121,05
21,17362,235,05
21,17434,081,04
21,17434,209,06
