LOUISIANA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,Parish,CongressionalDistrict
22,00100,113,03
22,00240,103,01
22,00415,121,02
22,00415,121,06
22,00835,063,06
22,00975,079,05
22,01780,089,02
22,01815,101,03
22,01885,105,05
22,01920,115,04
22,02165,117,05
22,02550,087,01
22,02655,013,04
22,03110,097,03
22,03110,099,03
22,03145,069,04
22,03320,027,04
22,03390,127,05
22,03810,051,02
22,03985,033,02
22,03985,033,06
22,04020,101,03
22,04055,079,05
22,04230,021,05
22,04300,051,01
22,04580,001,03
22,04580,039,04
22,04615,041,05
22,04685,067,05
22,05000,033,02
22,05000,033,06
22,05105,073,05
22,05175,057,01
22,05175,057,06
22,05175,109,01
22,05175,109,06
22,05210,109,01
22,05210,109,06
22,05260,057,06
22,05315,089,02
22,05350,047,02
22,05378,007,06
22,05525,101,03
22,05945,017,04
22,06120,075,01
22,06260,007,02
22,06750,085,04
22,06925,015,04
22,07030,111,04
22,07100,101,03
22,07205,013,04
22,07730,017,04
22,08150,117,05
22,08535,067,05
22,08710,075,01
22,08745,009,05
22,08920,015,04
22,09095,109,01
22,09130,089,02
22,09165,079,05
22,09235,001,03
22,09340,099,03
22,09480,051,02
22,10075,055,03
22,10075,099,03
22,10145,033,06
22,10225,073,05
22,10600,121,02
22,10600,121,06
22,10705,013,04
22,10950,009,05
22,10985,075,01
22,11580,099,03
22,11825,073,05
22,11930,127,05
22,12000,023,03
22,12280,069,04
22,12420,097,03
22,12665,055,03
22,12840,019,03
22,13260,013,04
22,13330,099,03
22,13575,099,03
22,13855,009,05
22,13960,033,06
22,14100,057,06
22,14135,087,01
22,14310,101,03
22,14450,039,04
22,14485,049,05
22,14520,109,01
22,14660,079,05
22,15150,057,06
22,15290,061,05
22,15465,001,03
22,15605,073,05
22,15745,069,04
22,15780,021,05
22,15850,029,05
22,15990,037,05
22,16375,043,05
22,16655,067,05
22,16830,021,05
22,17180,093,02
22,17215,085,04
22,17880,009,05
22,17915,119,04
22,18055,081,04
22,18125,103,01
22,18295,043,05
22,18335,047,06
22,18650,001,03
22,18790,119,04
22,18930,057,01
22,20155,045,03
22,20155,113,03
22,20190,083,05
22,20330,065,05
22,20435,063,06
22,20575,019,03
22,20610,011,04
22,20610,115,04
22,20680,057,06
22,20680,089,02
22,20820,089,02
22,20820,089,06
22,20890,079,05
22,21135,119,04
22,21170,127,05
22,21240,005,02
22,21450,061,05
22,21450,111,04
22,21590,119,04
22,21765,043,05
22,21800,061,05
22,21835,119,04
22,21940,109,01
22,22255,001,03
22,22255,055,03
22,22465,049,05
22,22610,015,04
22,22722,103,01
22,22815,095,02
22,22850,081,04
22,23025,001,03
22,23235,003,04
22,23567,051,01
22,23620,053,03
22,23725,075,01
22,24145,123,05
22,24180,113,03
22,24215,049,05
22,24250,121,06
22,24390,051,01
22,24390,051,02
22,24460,001,03
22,24565,001,03
22,24565,097,04
22,24775,009,05
22,25160,111,04
22,25335,053,03
22,25440,029,05
22,25545,009,05
22,25615,085,04
22,25860,085,04
22,26140,103,01
22,26280,077,06
22,26350,123,05
22,26420,079,05
22,26665,085,04
22,26746,115,04
22,26757,115,04
22,27155,101,03
22,27190,117,05
22,27435,063,06
22,27540,031,04
22,28065,057,01
22,28275,033,06
22,28345,095,02
22,28660,043,05
22,28835,013,04
22,28940,041,05
22,29010,017,04
22,29045,019,03
22,29150,101,03
22,29220,079,05
22,29395,031,04
22,29640,057,01
22,29745,069,04
22,29850,005,02
22,29850,005,06
22,30515,061,05
22,30550,093,02
22,30690,031,04
22,30760,097,04
22,30830,051,01
22,30900,093,02
22,31180,109,06
22,31250,021,05
22,31565,091,05
22,31565,091,06
22,31705,017,04
22,31915,051,02
22,32020,047,06
22,32055,113,03
22,32405,023,03
22,32510,089,02
22,32650,081,04
22,32755,105,01
22,32930,051,01
22,33210,025,05
22,33245,051,02
22,33420,015,04
22,33490,019,03
22,33525,027,04
22,33735,119,04
22,33875,099,03
22,34015,009,05
22,34085,093,02
22,35100,049,05
22,35870,027,04
22,36045,115,04
22,36150,017,04
22,36255,109,01
22,36885,017,04
22,37025,105,05
22,37270,033,06
22,37410,001,03
22,37445,019,03
22,37830,037,05
22,37935,013,04
22,38075,045,03
22,38092,051,01
22,38145,051,01
22,38145,051,02
22,38285,059,05
22,38355,053,03
22,38670,049,05
22,38775,025,05
22,38845,127,05
