MAINE CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
23,01360,025,02
23,01675,003,02
23,02060,001,02
23,02100,011,01
23,02795,019,02
23,02830,009,02
23,03355,023,01
23,03950,027,02
23,04685,031,01
23,04860,031,01
23,04965,025,02
23,05350,003,02
23,05665,009,02
23,06085,015,01
23,06330,023,01
23,06925,019,02
23,07135,005,01
23,08395,005,01
23,08500,005,01
23,08780,009,02
23,09585,029,02
23,09690,013,01
23,10320,031,01
23,10565,003,02
23,11090,005,01
23,11230,009,02
23,12770,007,02
23,13435,011,02
23,14800,005,01
23,15500,005,01
23,16200,015,01
23,17495,019,02
23,17705,017,02
23,18230,021,02
23,19385,003,02
23,21065,019,02
23,21730,029,02
23,23200,009,02
23,24285,025,02
23,24480,005,01
23,24530,005,01
23,24635,011,01
23,24740,007,02
23,25580,003,02
23,25720,003,02
23,26490,005,01
23,26875,017,02
23,27085,011,02
23,28205,005,01
23,28835,005,01
23,29500,021,02
23,30060,021,02
23,30550,011,01
23,30760,019,02
23,31705,025,02
23,33945,003,02
23,34225,019,02
23,36500,031,01
23,36710,031,01
23,37235,031,01
23,37375,031,01
23,37795,031,01
23,38740,001,02
23,39265,003,02
23,39440,019,02
23,40105,001,02
23,40350,005,01
23,40470,005,01
23,40735,001,02
23,41575,029,02
23,41925,029,02
23,42485,003,02
23,42625,025,02
23,43220,003,02
23,43675,003,02
23,44620,001,02
23,45250,017,02
23,45635,019,02
23,45845,019,02
23,45985,021,02
23,48050,005,01
23,48610,015,01
23,49100,019,02
23,49800,025,02
23,50290,031,01
23,53685,005,01
23,53965,017,02
23,54525,011,02
23,55120,031,01
23,55225,019,02
23,55575,019,02
23,56240,017,02
23,58970,025,02
23,60545,005,01
23,60825,003,02
23,61735,011,02
23,62610,023,01
23,63590,013,01
23,64255,017,02
23,64675,031,01
23,65725,031,01
23,66110,005,01
23,66600,027,02
23,68875,025,02
23,70660,031,01
23,71780,017,02
23,71990,005,01
23,72200,031,01
23,72830,009,02
23,72900,005,01
23,73285,031,01
23,73635,005,01
23,73985,005,01
23,76330,013,01
23,76925,023,01
23,78220,027,02
23,78535,003,02
23,79515,015,01
23,80250,003,02
23,80740,011,01
23,82105,005,01
23,83330,031,01
23,85815,007,02
23,86480,011,01
23,86620,009,02
23,86725,027,02
23,86935,011,01
23,87040,015,01
23,87250,029,02
23,87810,005,01
23,88160,031,01
