MARYLAND CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
24,00125,025,01
24,00125,025,02
24,00175,025,02
24,00225,023,06
24,00250,033,05
24,00350,021,06
24,00400,033,04
24,00400,033,05
24,00712,019,01
24,00800,045,01
24,01450,033,04
24,01450,033,05
24,01600,003,03
24,01635,003,03
24,01635,003,04
24,01750,043,06
24,01925,033,05
24,01975,005,03
24,01975,005,07
24,02025,003,04
24,02275,003,04
24,02762,031,03
24,02825,031,03
24,02825,031,06
24,02825,031,08
24,03500,033,05
24,03514,043,06
24,03575,043,06
24,03800,021,06
24,03800,021,08
24,04000,510,02
24,04000,510,03
24,04000,510,07
24,04050,005,02
24,04250,035,01
24,04475,031,06
24,04525,001,06
24,04625,001,06
24,04650,021,08
24,05250,043,06
24,05525,001,06
24,05550,025,01
24,05825,025,01
24,05950,025,01
24,05950,025,02
24,06400,033,04
24,06400,033,05
24,06550,017,05
24,06615,017,05
24,06800,047,01
24,06925,033,05
24,07125,031,08
24,07200,029,01
24,07285,001,06
24,07375,043,06
24,07400,043,06
24,07625,047,01
24,07675,045,01
24,07850,033,04
24,08050,023,06
24,08625,043,06
24,08775,033,04
24,08775,033,05
24,08800,005,02
24,08850,001,06
24,08862,001,06
24,09100,021,08
24,09325,033,05
24,09400,043,06
24,09500,033,04
24,10150,033,04
24,10150,033,05
24,10225,031,03
24,10475,003,02
24,10500,031,08
24,10575,019,01
24,10650,009,05
24,10800,043,06
24,10900,021,06
24,10925,017,05
24,10950,017,05
24,11050,021,06
24,11400,021,08
24,11750,031,03
24,11900,029,01
24,12075,031,08
24,12150,037,05
24,12300,009,05
24,12350,031,03
24,12350,033,04
24,12400,019,01
24,12600,033,04
24,12600,033,05
24,12912,003,03
24,12912,003,04
24,13000,033,04
24,13225,001,06
24,13325,005,01
24,13325,005,02
24,13325,005,03
24,14125,005,07
24,14225,043,06
24,14300,043,06
24,14325,015,01
24,14800,033,05
24,14950,035,01
24,15075,039,01
24,15400,015,01
24,15475,037,05
24,15500,043,06
24,15925,009,05
24,15950,015,01
24,16050,009,05
24,16125,035,01
24,16225,029,01
24,16550,033,04
24,16620,031,08
24,16625,031,08
24,16720,031,08
24,16730,031,08
24,16775,031,08
24,16787,031,08
24,16800,043,06
24,16875,033,04
24,17000,011,01
24,17050,019,01
24,17100,035,01
24,17350,031,06
24,17475,001,06
24,17600,043,06
24,17900,033,05
24,18150,031,03
24,18150,031,08
24,18200,017,05
24,18250,005,01
24,18250,005,02
24,18250,005,07
24,18475,031,03
24,18475,031,08
24,18750,033,05
24,18850,033,04
24,19125,027,03
24,19125,027,07
24,19825,033,04
24,19900,041,01
24,19975,001,06
24,20050,033,04
24,20500,023,06
24,20525,001,06
24,20775,039,01
24,20875,003,04
24,20875,003,05
24,20925,033,05
24,21075,003,04
24,21325,001,06
24,21475,031,06
24,21475,031,08
24,21550,039,01
24,21675,001,06
24,21750,043,06
24,21800,025,01
24,21825,031,06
24,21925,001,06
24,22050,003,05
24,22100,039,01
24,22275,023,06
24,22600,045,01
24,22725,011,01
24,22775,031,06
24,22825,001,06
24,23025,033,04
24,23500,043,06
24,23700,009,05
24,23975,005,02
24,24062,009,05
24,24200,033,05
24,24250,043,06
24,24450,019,01
24,24475,041,01
24,24650,033,04
24,24650,033,05
24,24825,001,06
24,24850,039,01
24,24925,029,01
24,24950,005,02
24,25000,043,06
24,25050,003,04
24,25050,003,05
24,25150,025,01
24,25150,025,02
24,25425,033,04
24,25575,013,08
24,25600,019,01
24,25750,027,02
