MASSACHUSETTS CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
25,00135,023,08
25,00530,005,09
25,00590,003,01
25,00840,013,01
25,01260,009,06
25,01360,015,02
25,01430,009,03
25,01430,009,06
25,01640,017,05
25,02515,027,02
25,02690,005,04
25,03040,017,03
25,03355,027,02
25,03690,001,09
25,03705,027,02
25,04790,015,02
25,04965,021,04
25,05105,017,05
25,05595,009,06
25,06050,013,01
25,06170,005,09
25,07000,025,07
25,07000,025,08
25,07140,001,09
25,07385,009,06
25,07740,021,08
25,07945,001,09
25,08050,023,08
25,09000,023,08
25,09070,027,01
25,09210,021,04
25,09875,017,06
25,10015,001,09
25,11000,017,05
25,11000,017,07
25,12960,001,09
25,13205,025,07
25,13310,003,01
25,13450,013,01
25,13660,013,01
25,14430,027,03
25,14570,017,05
25,15340,027,05
25,16285,009,06
25,16530,021,08
25,16635,011,02
25,16740,001,09
25,16810,001,09
25,16840,017,03
25,16840,027,03
25,17370,021,04
25,17860,023,09
25,18595,027,01
25,18840,001,09
25,18875,027,02
25,18980,001,09
25,19370,015,01
25,19400,001,09
25,20310,017,03
25,20380,001,09
25,21815,009,06
25,21990,017,07
25,23000,005,04
25,23000,005,09
25,23070,001,09
25,23840,027,01
25,23875,027,03
25,24190,001,09
25,24855,021,04
25,24960,017,05
25,25172,021,04
25,25485,027,03
25,26150,009,06
25,26500,015,01
25,26780,003,01
25,27100,011,02
25,27147,023,09
25,27445,017,03
25,28460,023,09
25,29055,001,09
25,29090,001,09
25,29230,015,02
25,29405,009,03
25,30175,023,08
25,30420,021,08
25,30630,013,01
25,30840,013,01
25,30980,027,04
25,31050,017,04
25,31295,003,01
25,31575,017,03
25,31680,023,08
25,31750,015,01
25,32275,009,06
25,33185,023,09
25,34550,009,03
25,34620,003,01
25,34935,003,01
25,35075,027,02
25,35250,017,05
25,36020,017,03
25,36335,013,01
25,37000,017,03
25,37385,027,03
25,37490,009,06
25,37595,009,06
25,37735,019,09
25,37875,017,05
25,38230,005,04
25,38435,009,06
25,38575,023,09
25,38715,017,03
25,38820,023,09
25,38960,023,09
25,39152,001,09
25,39485,023,09
25,39660,017,03
25,39730,021,04
25,39835,017,05
25,40115,017,05
25,40710,009,03
25,40885,023,09
25,41200,027,04
25,41410,011,02
25,41532,021,04
25,41725,021,07
25,41725,021,08
25,41960,001,09
25,42180,013,01
25,42670,001,09
25,43615,009,06
25,43755,019,09
25,44140,021,04
25,45000,005,09
25,45245,009,06
25,45500,001,09
25,45560,017,04
25,46225,003,01
25,46295,015,02
25,46330,015,02
25,46785,027,02
25,47100,027,02
25,47590,001,09
25,47730,001,09
25,47800,011,02
25,48220,023,04
25,48710,023,09
25,48780,023,09
25,49165,023,08
25,49200,005,04
25,49700,001,09
25,49710,005,09
25,50005,005,04
25,50285,021,08
25,50862,023,09
25,50880,005,04
25,51160,023,09
25,51230,011,02
25,51405,001,09
25,51790,027,02
25,52144,013,01
25,52144,013,02
25,52490,009,06
25,52770,017,03
25,53085,027,02
25,53680,017,06
25,53960,003,01
25,54275,023,09
25,54450,001,09
25,55070,001,09
25,55090,001,09
25,55535,001,09
25,55745,021,08
25,55990,021,07
25,56095,005,04
25,56095,005,08
25,56165,017,06
25,56585,025,05
25,57845,009,06
25,58370,009,06
25,58615,013,01
25,58790,027,02
25,58965,001,09
25,59105,009,06
25,59210,009,06
25,59700,001,09
25,60050,009,06
25,60295,023,08
25,60505,001,09
25,60627,001,09
25,60820,021,04
25,61205,011,01
25,61555,017,03
25,61940,019,09
25,62300,005,09
25,62465,005,04
25,62535,017,07
25,62675,015,02
25,62780,027,03
25,63345,027,01
25,63620,011,02
25,63655,001,09
25,63690,023,09
25,63840,023,09
25,64460,027,03
25,66035,001,09
25,66070,027,02
25,67000,013,01
25,67700,017,05
25,68120,027,01
25,68680,009,06
25,69170,005,04
25,69205,001,09
25,69585,023,09
25,70115,009,06
25,70325,017,03
25,70815,011,02
25,71445,027,02
25,71970,007,09
25,72250,017,06
25,72460,021,08
25,72600,017,05
25,72845,015,02
25,73020,023,09
25,73055,027,01
25,73440,017,05
25,73930,027,02
25,74210,021,04
25,75050,027,02
25,75365,027,02
25,75505,001,09
25,75680,017,03
25,75820,001,09
25,75960,001,09
25,76030,013,01
25,77890,013,01
25,78410,023,09
25,78795,001,09
25,78850,023,09
25,78972,021,08
25,79390,023,09
25,79495,027,02
25,79705,013,01
25,79950,003,01
25,80195,017,06
25,80370,027,02
25,80370,027,03
25,80545,017,05
25,81005,025,05
25,81035,017,05
25,81245,001,09
25,82000,027,02
25,82595,001,09
