MICHIGAN CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
26,00380,091,07
26,00440,091,07
26,00480,029,01
26,00620,083,01
26,00700,157,10
26,00860,047,01
26,00900,009,01
26,00980,025,03
26,01060,009,01
26,01180,147,10
26,01260,005,06
26,01300,059,07
26,01340,139,02
26,01380,163,12
26,01540,057,04
26,01660,087,10
26,01740,007,01
26,01800,071,01
26,01960,071,01
26,03000,161,12
26,03200,151,10
26,03300,101,01
26,03400,049,05
26,03520,099,10
26,03740,057,04
26,03880,025,03
26,03920,119,01
26,04020,087,10
26,04080,017,05
26,04105,125,11
26,04120,011,05
26,04160,077,06
26,04280,069,05
26,04740,063,10
26,04940,085,02
26,05080,155,04
26,05140,159,06
26,05320,013,01
26,05470,087,10
26,05500,021,06
26,05580,107,04
26,05660,161,12
26,05880,037,04
26,05920,025,03
26,06020,017,05
26,06120,063,10
26,06190,029,01
26,06190,047,01
26,06260,047,01
26,06360,073,04
26,06430,079,01
26,06460,101,01
26,06660,051,04
26,06820,049,05
26,06880,139,02
26,06900,067,03
26,06980,009,01
26,07020,163,12
26,07060,045,07
26,07220,019,01
26,07520,021,06
26,07540,021,06
26,07580,019,01
26,07660,125,09
26,07860,021,06
26,07960,053,01
26,08100,019,01
26,08160,125,09
26,08180,103,01
26,08300,107,04
26,08460,125,09
26,08540,145,04
26,08640,125,11
26,09000,091,07
26,09180,125,11
26,09220,159,06
26,09560,165,04
26,09820,029,01
26,09840,029,01
26,10160,057,04
26,10180,159,06
26,10300,101,01
26,10440,145,05
26,10580,021,06
26,10620,093,08
26,10760,091,07
26,10860,023,07
26,11000,075,07
26,11180,087,10
26,11180,151,10
26,11200,025,03
26,11380,047,01
26,11400,021,06
26,11480,165,04
26,11555,145,05
26,11800,025,03
26,11920,149,06
26,12000,145,04
26,12060,049,05
26,12260,155,04
26,12280,081,03
26,12290,165,04
26,12320,165,04
26,12480,081,03
26,12580,061,01
26,12760,059,07
26,12980,119,01
26,13010,107,04
26,13140,147,10
26,13220,115,07
26,13400,109,01
26,13420,157,10
26,13480,047,01
26,13600,117,04
26,13620,151,10
26,13760,063,10
26,13820,081,03
26,13820,121,02
26,13860,071,01
26,13880,157,10
26,13900,027,06
26,14020,089,01
26,14200,081,03
26,14260,075,07
26,14260,091,07
26,14320,099,09
26,14400,009,01
26,14460,149,06
26,14780,029,01
26,14820,045,07
26,14940,003,01
26,15000,031,01
26,15020,161,07
26,15140,145,04
26,15715,055,01
26,15920,035,04
26,15920,073,04
26,16140,067,03
26,16160,125,09
26,16160,125,11
26,16280,091,07
26,16420,087,10
26,16440,077,06
26,16480,091,07
26,16620,049,05
26,17020,023,07
26,17100,111,04
26,17320,021,06
26,17360,149,06
26,17460,087,10
26,17690,077,06
26,17700,081,03
26,17740,075,07
26,17840,149,06
26,17900,047,01
26,18020,139,02
26,18040,101,01
26,18080,061,01
26,18100,083,01
26,18300,155,04
26,18880,047,01
26,18920,151,10
26,19135,019,01
26,19140,071,01
26,19195,019,01
26,19420,105,02
26,19500,081,03
26,19560,109,01
26,19780,065,08
26,19880,049,05
26,21000,163,12
26,21020,163,12
26,21020,163,13
26,21040,159,06
26,21100,151,10
26,21180,091,07
26,21560,015,03
26,21780,033,01
26,22000,163,13
26,22000,163,14
26,22040,115,07
26,22120,037,04
26,22160,161,07
26,22380,045,07
26,22520,061,01
26,22740,005,06
26,22880,027,06
26,22900,015,03
26,23140,087,10
26,23380,115,07
26,23500,155,04
26,23560,037,04
26,23600,083,01
26,23740,083,01
26,23980,081,03
26,24020,029,01
26,24060,101,01
26,24120,037,04
26,24120,065,08
26,24290,099,09
26,24300,009,01
26,24420,069,05
26,24500,077,06
26,24540,045,07
26,24580,021,06
26,24740,163,13
26,24880,065,08
26,25000,117,04
26,25040,027,06
26,25180,019,01
26,25320,009,01
26,25360,063,10
26,25420,009,01
26,25780,037,04
26,25940,147,10
26,25980,089,01
26,26360,041,01
26,26420,017,05
26,26460,115,07
26,26640,133,04
26,27080,157,10
26,27160,021,06
26,27380,125,11
26,27440,125,14
26,27500,035,04
26,27740,005,06
26,27760,049,05
26,27760,093,08
26,27760,125,08
26,27880,125,09
26,27960,139,02
26,28000,055,01
26,28060,101,01
26,28360,115,07
26,28360,163,12
26,29000,049,05
26,29200,049,05
26,29580,081,03
26,29660,151,10
26,29920,157,10
26,29940,105,01
26,30040,037,04
26,30060,093,08
26,30200,145,04
26,30260,019,01
26,30340,125,09
26,30420,099,09
26,30540,145,04
26,30580,015,03
26,30600,105,01
26,30700,123,02
26,31000,121,02
26,31160,071,01
26,31180,157,10
26,31200,049,05
26,31260,077,06
26,31300,021,06
26,31380,041,01
26,31420,163,13
26,31720,137,01
26,32020,163,12
26,32300,041,01
26,32320,051,04
26,32360,089,01
26,32640,159,06
26,32980,049,05
26,33260,021,06
26,33280,049,05
26,33340,139,02
26,33420,037,04
26,33420,045,07
26,34000,081,03
26,34160,081,02
26,34360,123,02
26,34480,075,07
26,34620,055,01
26,34640,039,01
26,35100,117,03
26,35100,117,04
26,35300,089,01
26,35480,163,14
26,35520,163,14
26,35540,163,14
26,35580,163,14
26,35760,103,01
26,36280,163,14
26,36300,061,01
26,36380,075,07
26,36460,063,10
26,36560,047,01
26,36585,019,01
26,36590,165,04
26,36700,163,14
26,36720,165,04
26,36800,035,04
26,36860,001,01
26,36920,127,02
26,36960,159,06
26,37080,103,01
26,37100,065,08
26,37120,015,03
26,37420,125,09
26,37600,145,04
26,37620,155,04
26,37820,133,04
26,37860,123,02
26,37860,127,02
26,37960,015,03
26,38180,163,13
26,38380,007,01
26,38380,119,01
26,38460,059,07
26,38640,005,02
26,38640,005,06
26,38640,139,02
26,38700,125,08
26,38780,065,08
26,38920,025,03
26,39080,019,01
26,39180,005,06
26,39340,029,01
26,39360,061,01
26,39400,143,04
26,39500,117,04
26,39540,093,08
26,39634,001,01
26,39660,037,04
26,39660,067,03
26,39680,061,01
26,39720,091,07
26,39800,139,02
26,40000,125,09
26,40320,087,10
26,40480,031,01
26,40680,163,13
26,40800,055,01
26,40860,067,03
26,40960,043,01
26,40980,071,01
26,41040,029,01
26,41060,053,01
26,41220,103,01
26,41340,057,04
26,41420,075,07
26,41540,091,07
26,41680,139,02
26,41720,113,04
26,41920,059,07
26,42160,077,06
26,42240,101,01
26,42260,079,01
26,42460,125,14
26,42780,081,03
26,42820,081,02
26,43220,063,10
26,43300,043,01
26,43340,055,01
26,43380,157,10
26,43558,103,01
26,44200,155,04
26,44440,125,11
26,44460,019,01
26,44480,113,04
26,44520,049,05
26,44715,073,04
26,44760,089,01
26,44780,061,01
26,44820,021,06
26,44880,067,03
26,44940,125,08
26,45070,009,01
26,45190,037,04
26,45240,117,04
26,45340,121,02
26,45420,115,07
26,45540,013,01
26,46000,045,07
26,46000,065,08
26,46040,087,10
26,46320,125,14
26,46360,061,01
26,46440,159,06
26,46500,159,06
26,46800,089,01
26,46880,049,05
26,46880,155,04
26,46940,125,08
26,47100,133,04
26,47180,065,08
26,47230,025,03
26,47240,047,01
26,47260,119,01
26,47280,151,10
26,47560,001,01
26,47800,163,12
26,47820,049,05
26,47980,059,07
26,49000,163,11
26,49400,073,04
26,49450,001,01
26,49540,081,03
26,49640,105,02
26,49700,115,07
26,49720,129,04
26,49740,085,02
26,49900,067,03
26,49980,113,04
26,50000,117,04
26,50280,097,01
26,50320,031,01
26,50320,047,01
26,50560,125,09
26,50620,009,01
26,50660,161,07
26,50720,101,01
26,50755,079,01
26,50760,153,01
26,50830,091,07
26,50880,165,04
26,50920,089,01
26,50970,019,01
26,51200,037,04
26,51460,027,06
26,51540,053,01
26,51600,147,10
26,51660,133,04
26,51820,151,10
26,51900,103,01
26,51940,025,03
26,51980,005,06
26,52080,147,10
26,52180,065,08
26,52380,159,06
26,52440,115,07
26,52540,157,10
26,52760,107,04
26,52920,151,10
26,52940,163,13
26,52960,099,10
26,52960,147,10
26,52980,149,06
26,53020,109,01
26,53180,145,04
26,53320,165,04
26,53340,087,10
26,53500,021,06
26,53520,103,01
26,53580,075,07
26,53730,155,04
26,53760,015,03
26,53780,017,05
26,53780,111,04
26,53920,115,07
26,53920,161,07
26,53960,125,11
26,54120,141,01
26,54220,157,05
26,54560,151,10
26,54660,135,01
26,55020,115,07
26,55100,121,02
26,55220,059,07
26,55280,049,05
26,55500,091,07
26,55540,107,04
26,55560,155,04
26,55820,099,09
26,55960,049,05
26,56020,073,04
26,56080,067,03
26,56140,045,07
26,56200,003,01
26,56320,121,02
26,56360,121,02
26,56620,075,07
26,56680,015,03
26,56860,103,01
26,56960,019,01
26,57080,123,02
26,57100,099,10
26,57140,095,01
26,57220,021,06
26,57280,127,02
26,57380,099,10
26,57520,155,04
26,57660,021,06
26,57760,021,06
26,57760,027,06
26,57920,059,07
26,58080,087,10
26,58640,121,02
26,58740,089,01
26,58945,081,03
26,58980,125,11
26,58980,163,11
26,59140,121,02
26,59220,043,01
26,59320,029,01
26,59440,125,11
26,59740,101,01
26,59860,145,04
26,59920,125,14
26,60180,047,01
26,60340,065,08
26,60580,045,07
26,60640,089,01
26,60660,011,05
26,60680,141,01
26,60740,101,01
26,60840,091,07
26,60860,131,01
26,61020,125,14
26,61220,125,08
26,61320,069,05
26,61500,007,01
26,61600,049,05
26,61620,005,06
26,61760,049,05
26,61760,087,10
26,61860,037,04
26,61860,155,04
26,61920,063,10
26,61940,155,04
26,62020,125,08
26,62180,103,01
26,62340,077,06
26,62500,101,01
26,62740,075,07
26,62980,159,06
26,63020,021,06
26,63200,147,10
26,63260,151,10
26,63300,047,01
26,63540,127,02
26,63660,057,04
26,63700,155,04
26,63800,115,07
26,63820,047,01
26,63900,067,03
26,64020,117,04
26,64060,063,10
26,64100,019,01
26,64140,093,08
26,64160,017,05
26,64740,005,06
26,64900,125,09
26,65060,163,11
26,65420,047,01
26,65440,125,14
26,65560,077,06
26,65680,063,10
26,65800,063,10
26,65820,147,10
26,65860,067,03
26,65900,151,10
26,66000,141,01
26,66100,045,07
26,66140,109,01
26,66300,129,04
26,66343,141,01
26,66400,143,04
26,66640,023,07
26,66720,043,01
26,67140,079,01
26,67280,121,02
26,67500,059,07
26,67820,133,04
26,67900,145,05
26,67900,157,05
26,67980,103,01
26,68240,077,06
26,68380,099,10
26,68380,147,10
26,68760,163,13
26,68880,163,12
26,68990,145,05
26,69020,125,08
26,69035,125,08
26,69035,125,11
26,69080,081,03
26,69180,163,12
26,69260,141,01
26,69400,099,10
26,69420,163,13
26,69520,121,02
