MINNESOTA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
27,00172,107,07
27,00190,099,01
27,00262,105,01
27,00316,163,04
27,00460,001,08
27,00496,057,08
27,00622,145,07
27,00676,149,07
27,00694,047,01
27,00730,171,06
27,00838,047,01
27,00892,159,08
27,00928,041,07
27,01162,063,01
27,01234,169,01
27,01252,089,07
27,01324,013,01
27,01486,003,06
27,01558,077,07
27,01684,171,06
27,01720,003,06
27,01864,151,07
27,01900,037,02
27,01972,081,07
27,02026,123,04
27,02134,089,07
27,02152,143,07
27,02260,137,08
27,02422,051,07
27,02548,115,08
27,02692,067,07
27,02728,005,07
27,02872,137,08
27,02908,099,01
27,03052,101,07
27,03070,145,06
27,03106,137,08
27,03124,021,08
27,03160,135,07
27,03196,029,07
27,03214,027,07
27,03250,083,07
27,03376,061,08
27,03574,027,07
27,03628,017,08
27,03682,051,07
27,03718,011,07
27,03970,111,07
27,04024,077,07
27,04042,035,08
27,04114,163,04
27,04204,011,07
27,04348,087,07
27,04456,075,08
27,04492,133,01
27,04618,141,06
27,04672,087,07
27,04762,145,07
27,04798,049,02
27,04798,157,02
27,04834,139,02
27,04960,073,07
27,05014,119,07
27,05050,127,07
27,05068,007,07
27,05104,021,08
27,05212,151,07
27,05482,153,07
27,05554,003,06
27,05644,105,01
27,05680,071,08
27,05698,061,08
27,05744,017,08
27,05752,141,06
27,05896,033,01
27,06058,163,04
27,06076,129,07
27,06112,085,07
27,06148,137,08
27,06256,007,08
27,06382,003,06
27,06382,123,04
27,06490,067,07
27,06580,039,01
27,06580,147,01
27,06616,053,03
27,06688,043,01
27,06778,111,07
27,06814,095,08
27,07030,107,07
27,07048,061,08
27,07066,097,08
27,07138,073,07
27,07174,021,08
27,07282,059,08
27,07282,065,08
27,07300,035,08
27,07336,041,07
27,07462,167,07
27,07516,035,08
27,07660,105,01
27,07678,043,01
27,07948,053,05
27,07966,053,03
27,07984,115,08
27,08038,125,07
27,08056,137,08
27,08092,121,07
27,08092,145,07
27,08110,153,07
27,08164,099,01
27,08200,155,07
27,08218,055,01
27,08254,085,07
27,08290,115,08
27,08416,097,08
27,08452,171,06
27,08488,129,07
27,08524,137,08
27,08794,037,02
27,08902,153,07
27,08992,165,01
27,09154,109,01
27,09226,055,01
27,09280,005,07
27,09316,061,08
27,09370,059,08
27,09496,167,07
27,09604,173,07
27,09730,049,02
27,09802,045,01
27,09964,041,07
27,10018,017,08
27,10144,019,06
27,10252,021,08
27,10468,093,07
27,10576,025,08
27,10648,003,06
27,10792,091,01
27,10846,053,03
27,10900,101,07
27,10918,019,03
27,10918,053,03
27,10972,019,03
27,11008,045,01
27,11008,109,01
27,11296,021,08
27,11350,025,08
27,11386,137,08
27,11440,149,07
27,11494,003,06
27,11548,023,07
27,11566,039,01
27,11602,153,07
27,11656,173,07
27,11674,047,01
27,11746,029,07
27,11764,141,06
27,11800,145,06
27,11800,171,06
27,11836,127,07
27,11872,079,01
27,11962,119,07
27,11980,011,07
27,12088,111,07
