MISSISSIPPI CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
28,00100,071,01
28,00180,095,01
28,00300,019,01
28,00680,021,02
28,00820,115,01
28,00940,011,02
28,01260,095,01
28,01500,125,02
28,01820,151,02
28,02060,073,04
28,02100,087,01
28,02140,009,01
28,02700,081,01
28,02700,117,01
28,03580,065,03
28,03620,107,02
28,03980,045,04
28,04060,061,03
28,04500,111,04
28,04540,029,02
28,04705,149,02
28,05100,141,01
28,05140,053,02
28,05220,011,02
28,05380,163,02
28,05820,011,02
28,06060,013,01
28,06180,059,04
28,06220,047,04
28,07060,139,01
28,07100,145,01
28,07330,069,03
28,07330,099,03
28,07340,085,03
28,07540,049,02
28,07780,117,01
28,08180,011,02
28,08300,121,03
28,08460,127,03
28,08655,033,01
28,08820,085,03
28,08980,103,03
28,09180,013,01
28,09380,153,04
28,09460,037,03
28,09820,141,01
28,10060,093,01
28,10140,049,02
28,10460,087,01
28,10580,013,01
28,11100,089,02
28,11100,089,03
28,11580,015,02
28,11780,079,02
28,11820,125,02
28,12740,005,03
28,12740,157,03
28,12900,135,02
28,13580,101,03
28,13700,153,04
28,13820,027,02
28,14140,121,03
28,14260,011,02
28,14420,049,02
28,14540,001,03
28,14580,027,02
28,14740,161,02
28,14900,137,01
28,15140,031,03
28,15180,075,03
28,15340,091,04
28,15380,087,01
28,15420,087,01
28,15500,107,02
28,15540,101,03
28,15700,003,01
28,15980,107,02
28,16420,087,01
28,16460,107,02
28,16460,119,02
28,16620,005,03
28,16620,157,03
28,16940,107,02
28,16940,119,02
28,16980,051,02
28,17060,029,02
28,17700,119,02
28,18180,101,03
28,18340,069,03
28,18420,047,04
28,18940,013,01
28,19100,045,04
28,19180,047,04
28,19340,127,03
28,19420,133,02
28,20020,133,02
28,20260,097,02
28,20340,139,01
28,20380,011,02
28,20500,051,02
28,21340,115,01
28,21420,163,02
28,21580,049,02
28,21940,043,02
28,22020,067,04
28,22580,023,03
28,22900,059,04
28,23220,007,02
28,23420,155,01
28,24180,119,02
28,24220,139,01
28,24420,003,01
28,24460,027,02
28,24500,063,02
28,24940,089,02
28,24940,089,03
28,24980,121,03
28,25100,121,03
28,25340,123,03
28,25740,091,04
28,26020,019,01
28,26060,027,02
28,26300,057,01
28,26780,095,01
28,26860,059,04
