MISSOURI CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
29,00244,013,04
29,00262,207,08
29,00280,189,02
29,00298,021,06
29,00424,097,07
29,00496,097,07
29,00514,075,06
29,00568,167,07
29,00604,045,06
29,00712,227,06
29,00748,031,08
29,00802,107,05
29,00910,061,06
29,00928,157,08
29,00964,149,08
29,01018,003,06
29,01054,063,06
29,01072,013,04
29,01090,013,04
29,01198,119,07
29,01252,163,06
29,01270,093,08
29,01288,133,08
29,01522,185,04
29,01576,199,06
29,01630,069,08
29,01648,093,08
29,01702,037,04
29,01720,057,04
29,01828,125,03
29,01828,151,03
29,01864,147,06
29,01954,089,04
29,01972,099,02
29,02034,009,07
29,02044,195,05
29,02098,097,07
29,02152,163,06
29,02188,077,07
29,02242,019,04
29,02260,163,06
29,02422,121,06
29,02512,183,03
29,02530,107,05
29,02548,109,07
29,02638,027,03
29,02674,067,08
29,02746,097,07
29,02800,047,05
29,02962,131,03
29,03034,207,08
29,03052,153,08
29,03124,037,04
29,03160,189,02
29,03322,103,06
29,03340,147,06
29,03376,141,04
29,03394,099,03
29,03556,107,05
29,03592,077,07
29,04114,189,01
29,04132,207,08
29,04150,125,03
29,04150,151,03
29,04222,189,01
29,04240,189,01
29,04330,139,03
29,04348,189,01
29,04366,189,01
29,04384,037,04
29,04525,059,04
29,04525,105,04
29,04798,201,08
29,04834,007,04
29,04888,071,03
29,04906,189,01
29,04960,207,08
29,04996,133,08
29,05068,081,06
29,05104,205,06
29,05248,189,01
29,05266,121,06
29,05320,157,08
29,05464,087,06
29,05495,087,06
29,05608,139,03
29,05626,043,07
29,05734,203,08
29,05824,047,05
29,05878,187,08
29,05950,107,05
29,05950,195,05
29,06004,189,01
29,06148,053,04
29,06238,083,04
29,06247,005,06
29,06256,073,03
29,06256,151,03
29,06346,201,08
29,06382,207,08
29,06454,186,08
29,06526,209,07
29,06652,095,05
29,06652,095,06
29,06742,081,06
29,06832,033,06
29,06922,003,06
29,06976,167,07
29,07102,187,08
29,07318,053,04
29,07426,033,06
29,07534,055,08
29,07660,163,06
29,07876,155,08
29,07948,091,08
29,07966,209,07
29,07966,213,07
29,07989,209,07
29,08002,001,06
29,08038,025,06
29,08128,025,06
29,08164,189,01
29,08236,189,01
29,08236,189,02
29,08272,157,08
29,08398,189,01
29,08398,189,02
29,08470,079,06
29,08614,217,04
29,08650,115,06
29,08776,097,07
29,08884,115,06
29,08884,211,06
29,08902,083,04
29,08974,131,03
29,09046,041,06
29,09388,115,06
29,09424,095,06
29,09514,059,04
29,09642,213,07
29,09658,053,04
29,09694,065,08
29,09694,179,08
29,09802,011,04
29,09838,147,06
29,10054,013,04
29,10144,009,07
29,10240,099,03
29,10288,215,08
29,10342,081,06
29,10360,175,04
29,10432,221,08
29,10450,083,04
29,10468,135,04
29,10486,121,06
29,10612,189,01
29,10738,177,05
29,10792,165,06
29,10810,029,03
29,10828,049,06
29,10828,063,06
29,10864,069,08
29,11026,143,08
29,11134,111,06
29,11242,031,08
29,11242,201,08
29,11350,069,08
29,11368,097,07
29,11566,033,06
29,11638,097,07
29,11656,097,07
29,11692,155,08
29,11728,097,07
29,11890,009,07
29,11908,189,01
29,12052,143,08
29,12079,113,03
29,12358,099,03
29,12376,099,08
29,12592,173,06
29,12664,051,03
29,12682,101,04
29,12718,179,08
29,12898,007,04
29,12898,019,04
29,12988,201,08
29,13006,113,03
29,13015,009,07
29,13060,151,03
29,13078,189,02
29,13330,189,01
29,13366,133,08
29,13474,123,08
29,13582,109,07
29,13600,189,02
29,13654,101,04
29,13690,117,06
29,13852,117,06
29,13978,205,06
29,14068,019,04
29,14068,175,04
29,14140,135,04
29,14158,063,06
29,14176,189,02
29,14194,163,06
29,14212,069,08
29,14554,047,05
29,14554,047,06
29,14572,189,01
29,14572,189,02
29,14662,147,06
29,14770,037,04
29,14788,043,07
29,14806,145,07
29,14896,175,04
29,14914,015,04
29,14914,029,04
29,14986,083,04
29,15130,147,06
29,15220,123,08
29,15274,061,06
29,15436,015,04
29,15562,185,04
29,15670,019,04
29,15760,201,08
29,15886,147,06
29,15922,147,06
29,16030,189,02
29,16102,107,05
29,16115,209,07
29,16192,105,04
29,16228,189,01
29,16336,155,08
29,16408,107,05
29,16462,087,06
29,16588,003,06
29,16678,183,02
29,16678,183,03
29,16802,003,06
29,16822,189,01
29,16876,189,02
29,16984,025,06
29,17056,087,06
29,17074,209,07
29,17164,037,04
29,17218,189,02
29,17272,189,01
29,17272,189,02
29,17344,169,04
29,17524,085,04
29,17632,099,03
29,17632,099,08
29,17650,189,02
29,17660,177,05
29,17668,055,08
29,17902,163,06
29,17992,057,04
29,18118,041,06
29,18190,139,03
29,18253,183,02
29,18253,183,03
29,18316,075,06
29,18496,117,06
29,18658,021,06
29,18658,165,06
29,18730,083,04
29,18802,217,04
29,18910,183,03
29,18946,021,06
29,19018,189,01
29,19072,031,08
29,19090,145,07
29,19162,227,06
29,19198,093,08
29,19216,187,08
29,19252,099,08
29,19270,189,02
29,19378,033,06
29,19396,207,08
29,19432,145,07
29,19486,201,08
29,19504,225,04
29,19630,169,04
29,19684,187,08
29,19792,181,08
29,19828,161,08
29,19918,107,05
29,19990,197,06
29,20134,013,04
29,20134,037,04
29,20296,207,08
29,20314,097,07
29,20512,097,07
29,20566,031,08
29,20656,009,07
29,20674,081,06
29,20980,037,04
29,21034,021,06
29,21052,133,08
29,21214,161,08
29,21250,165,06
29,21322,103,06
29,21340,079,06
29,21376,189,01
29,21484,131,03
29,21502,039,04
29,21844,179,08
29,21898,189,02
29,21916,035,08
29,21988,121,06
29,22006,177,05
29,22024,147,06
29,22114,113,03
29,22250,009,07
29,22276,203,08
29,22312,107,05
29,22312,195,05
29,22474,163,06
29,22600,207,08
29,22672,121,06
29,22834,189,02
29,22951,105,04
29,22996,057,04
29,23032,111,06
29,23050,121,06
29,23077,047,06
29,23077,177,05
29,23086,047,06
29,23086,177,05
29,23122,009,07
29,23248,023,08
29,23248,181,08
29,23266,005,06
29,23338,077,07
29,23428,167,07
29,23518,145,07
29,23662,007,06
29,23698,165,06
29,23752,187,08
29,23842,089,04
29,23950,189,02
29,23986,189,01
29,24058,165,06
29,24094,099,03
29,24094,099,08
29,24120,097,07
29,24184,003,06
29,24328,023,08
29,24562,177,05
29,24580,167,07
29,24688,183,03
29,24706,189,01
29,24760,137,06
29,24778,189,01
29,24886,113,03
29,25012,225,07
29,25066,087,06
29,25120,183,03
29,25120,219,03
29,25192,213,07
29,25228,087,06
29,25264,169,04
29,25372,013,04
29,25411,113,03
29,25516,187,08
29,25552,163,06
29,25624,089,04
29,25768,123,08
29,25822,151,03
29,25894,037,04
29,25912,109,07
29,25948,035,08
29,25957,043,07
29,26092,157,08
29,26110,189,02
29,26182,027,03
29,26218,153,08
29,26254,209,07
29,26308,061,06
29,26362,079,06
29,26434,037,04
29,26578,073,03
29,26776,075,06
29,26866,071,03
29,26902,185,04
29,26920,001,06
29,26974,143,08
29,27028,195,05
29,27064,061,06
29,27064,081,06
29,27100,119,07
29,27190,047,05
29,27190,047,06
29,27208,041,06
29,27208,089,04
29,27226,189,01
29,27262,047,06
29,27280,017,08
29,27334,189,01
29,27334,189,02
29,27370,189,01
29,27514,197,06
29,27658,009,07
29,27676,011,04
29,27874,119,07
29,27900,167,07
29,27928,031,08
29,28000,137,06
29,28036,021,06
29,28036,049,06
29,28072,147,06
29,28090,095,05
29,28090,095,06
29,28108,145,07
29,28170,145,07
29,28180,035,08
29,28198,195,05
29,28324,095,05
29,28360,199,06
29,28594,227,06
29,28630,189,02
29,28828,141,04
29,28860,186,08
29,28864,207,08
29,28918,071,03
29,29116,211,06
29,29134,211,06
29,29152,189,01
29,29206,057,04
29,29324,189,02
29,29332,159,04
29,29422,001,06
29,29422,197,06
29,29476,223,08
29,29494,095,05
29,29692,147,06
29,29764,037,04
29,29908,033,06
29,29962,167,07
29,29998,019,04
29,30016,109,07
29,30034,025,06
29,30196,189,01
29,30214,127,06
29,30214,173,06
29,30322,177,05
29,30466,211,06
29,30484,019,04
29,30610,037,04
29,30718,019,04
29,30754,229,08
29,30772,083,04
29,30844,023,08
29,30862,217,04
29,31024,113,03
29,31132,155,08
29,31168,155,08
29,31186,155,08
29,31204,201,08
29,31276,189,01
29,31654,177,05
29,31708,099,03
29,31762,073,03
29,31780,085,04
29,31924,175,04
29,31960,107,05
29,31996,139,03
29,32068,043,07
29,32140,099,03
29,32248,099,08
29,32266,189,01
29,32410,109,07
29,32536,069,08
29,32572,101,04
29,32590,155,08
29,32626,137,06
29,32662,213,07
29,32752,047,06
29,32752,049,06
29,32770,027,03
29,32806,177,05
29,32824,155,08
29,33004,147,06
29,33040,099,03
29,33076,069,08
29,33238,215,08
29,33256,159,04
29,33292,165,06
29,33364,143,08
29,33652,159,04
29,33706,167,07
29,33724,013,04
29,33742,211,06
29,33760,205,06
29,33778,035,08
29,33850,189,02
29,33868,019,04
29,33886,175,04
29,33904,103,06
29,33922,209,07
29,34210,165,06
29,34228,131,03
29,34354,099,03
29,35000,047,05
29,35000,095,05
29,35000,095,06
29,35186,209,07
29,35240,219,03
29,35306,015,04
29,35306,159,04
29,35324,227,06
29,35396,221,08
29,35450,187,08
29,35468,093,08
29,35486,011,04
29,35648,031,08
29,36224,175,04
29,36314,061,06
29,36332,061,06
29,36368,135,04
29,36512,097,07
29,37000,027,03
29,37000,051,03
29,37178,189,01
29,37214,039,04
29,37574,139,03
29,37592,097,07
29,37592,145,07
29,37700,183,03
29,37736,123,08
29,37790,045,06
29,38000,037,04
29,38000,047,05
29,38000,047,06
29,38000,095,05
29,38000,165,06
29,38072,047,06
29,38216,201,08
29,38306,069,08
29,38468,041,06
29,38522,025,06
29,38612,209,07
29,38684,099,03
29,38774,075,06
29,38792,027,03
29,38846,025,06
29,38918,101,04
29,38972,189,01
29,39008,213,07
29,39026,001,06
29,39044,189,02
29,39080,213,07
29,39188,101,04
29,39278,103,06
29,39440,149,08
29,39503,099,03
29,39512,111,06
29,39566,115,06
29,39602,007,06
29,39638,083,04
29,39656,189,02
29,39764,111,06
29,39845,037,04
29,39952,107,05
29,39980,095,05
29,39980,095,06
29,39990,027,03
29,40034,029,03
29,40034,131,03
29,40043,183,02
29,40043,183,03
29,40088,189,02
29,40142,131,03
29,40196,095,05
29,40196,095,06
29,40214,099,03
29,40304,061,06
29,40322,165,06
29,40340,037,04
29,40376,011,04
29,40430,011,04
29,40448,201,08
29,40520,159,04
29,40592,119,07
29,40610,197,06
29,40682,121,06
29,40736,079,06
29,40790,097,07
29,40826,049,06
29,40880,101,04
29,40916,029,04
29,40916,141,04
29,40988,047,06
29,40988,177,05
29,41024,187,08
29,41078,187,08
29,41114,055,08
29,41132,145,07
29,41168,105,04
29,41348,037,04
29,41348,095,05
29,41348,095,06
