NEBRASKA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
31,00205,023,01
31,00240,067,03
31,00415,017,03
31,00555,011,03
31,00625,079,03
31,00730,169,03
31,00870,051,03
31,00905,013,03
31,00975,083,03
31,01150,025,01
31,01220,053,01
31,01290,019,03
31,01465,015,03
31,01500,041,03
31,01535,041,03
31,01780,065,03
31,01850,175,03
31,01920,121,03
31,01990,177,01
31,02095,041,03
31,02200,005,03
31,02305,155,01
31,02375,163,03
31,02480,027,03
31,02550,089,03
31,02620,137,03
31,02655,127,03
31,02690,081,03
31,02795,025,01
31,02830,099,03
31,02865,001,03
31,03005,039,01
31,03040,147,03
31,03075,067,03
31,03145,183,03
31,03180,145,03
31,03215,149,03
31,03250,119,01
31,03285,123,03
31,03355,107,03
31,03390,067,03
31,03495,065,03
31,03530,159,01
31,03600,159,01
31,03635,039,01
31,03775,027,03
31,03810,125,03
31,03950,153,01
31,03950,153,02
31,04020,023,01
31,04055,101,03
31,04160,169,03
31,04195,185,03
31,04230,057,03
31,04300,109,01
31,04405,055,02
31,04545,013,03
31,04615,137,03
31,04650,041,03
31,04895,049,03
31,05140,181,03
31,05350,177,01
31,05455,107,03
31,05490,061,03
31,05560,181,03
31,05630,067,03
31,05980,027,03
31,06015,055,02
31,06050,185,03
31,06085,111,03
31,06120,023,01
31,06260,009,03
31,06295,123,03
31,06400,015,03
31,06470,123,03
31,06505,127,03
31,06610,041,03
31,06680,031,03
31,06750,127,03
31,06785,101,03
31,06820,169,03
31,06855,023,01
31,06890,003,03
31,07065,133,03
31,07205,131,01
31,07310,103,03
31,07345,071,03
31,07415,105,03
31,07485,015,03
31,07555,169,03
31,07625,079,03
31,07660,041,03
31,07730,065,03
31,07870,061,03
31,07975,169,03
31,08010,179,03
31,08150,155,01
31,08185,025,01
31,08220,011,03
31,08360,107,03
31,08535,121,03
31,08570,155,01
31,08605,045,03
31,08640,153,02
31,08675,089,03
31,08745,029,03
31,08780,121,03
31,08885,049,03
31,09095,169,03
31,09165,121,03
31,09200,037,01
31,09270,067,03
31,09375,035,03
31,09445,003,03
31,09655,161,03
31,09760,031,03
31,09865,027,03
31,10005,155,01
31,10110,141,01
31,10180,041,03
31,10250,051,03
31,10390,097,03
31,10495,159,01
31,10600,141,01
31,10635,067,03
31,10740,093,03
31,10985,181,03
31,11020,047,03
31,11055,097,03
31,11090,021,01
31,11195,045,03
31,11230,107,03
31,11300,141,01
31,11370,151,03
31,11440,107,03
31,11475,031,03
31,11615,087,03
31,11825,063,03
31,11860,093,03
31,12000,043,03
31,12070,033,03
31,12105,145,03
31,12140,093,03
31,12245,169,03
31,12280,109,01
31,12315,023,01
31,12420,147,03
31,12455,095,03
31,12525,021,01
31,12770,109,01
31,12840,169,03
31,12945,035,03
31,13015,151,03
31,13085,095,03
31,13190,105,03
31,13225,051,03
31,13295,053,01
31,13365,079,03
31,13435,151,03
31,13505,131,01
31,13750,133,03
31,13855,131,01
31,13890,141,01
31,13960,009,03
31,14065,023,01
31,14100,025,01
31,14380,047,03
31,14450,035,03
31,14520,065,03
31,14555,093,03
31,14730,003,03
31,14975,097,03
31,15360,019,03
31,15430,025,01
31,15500,135,03
31,15570,073,03
31,15605,175,03
31,15710,043,03
31,15710,051,01
31,15710,051,03
31,15710,173,01
31,15815,089,03
31,15885,029,03
31,15920,095,03
31,16025,183,03
31,16165,063,03
31,16270,089,03
31,16340,059,03
31,16410,095,03
31,16445,035,03
31,16550,059,03
31,16655,147,03
31,16725,047,03
31,16760,093,03
31,16830,067,03
31,16935,109,01
31,17040,177,01
31,17110,027,03
31,17145,177,01
31,17320,139,03
31,17530,061,03
31,17670,053,01
31,17775,151,03
31,17810,125,03
31,17880,137,03
31,17950,113,03
31,18230,159,01
31,18300,023,01
31,18405,059,03
31,18475,125,03
31,18580,157,03
31,18615,019,03
31,18720,169,03
31,18825,081,03
31,19070,035,03
31,19160,019,03
31,19245,159,01
31,19350,161,03
31,19385,047,03
31,19455,059,03
31,19595,079,03
31,19910,135,03
31,20050,077,03
31,20190,025,01
31,20225,185,03
31,20260,153,02
31,20295,015,03
31,20365,181,03
31,20435,033,03
31,20470,139,03
31,20540,057,03
31,20610,109,01
31,20680,009,03
31,20680,171,03
31,20750,085,03
31,20785,081,03
31,20960,095,03
31,20995,129,03
31,21030,007,03
31,21240,165,03
31,21275,027,03
31,21345,035,03
31,21415,001,03
31,21660,085,03
31,21730,161,03
31,21765,163,03
31,21835,099,03
31,21905,169,03
31,22045,013,03
31,22080,185,03
31,22115,065,03
31,22150,157,03
31,22185,177,01
31,22290,111,03
31,22325,109,01
31,22430,061,03
31,22605,065,03
31,22640,137,03
31,22780,067,03
31,22815,001,03
31,22920,043,03
31,23025,053,01
31,23200,081,03
31,23235,179,03
31,23270,093,03
31,23340,037,01
31,23375,043,03
31,23410,169,03
31,23445,147,03
31,23480,141,01
