NEVADA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
32,00500,017,04
32,03700,015,02
32,04100,033,04
32,04900,015,02
32,05100,023,04
32,05125,017,04
32,05275,017,04
32,05700,003,03
32,06500,003,03
32,08100,003,04
32,08500,017,04
32,08600,003,03
32,08900,007,02
32,09700,510,02
32,10200,005,02
32,14090,031,02
32,16300,011,02
32,16700,031,02
32,17500,019,02
32,18500,013,02
32,19150,005,02
32,19800,017,04
32,20700,009,04
32,21520,005,02
32,22500,007,02
32,23500,033,04
32,23700,031,02
32,23770,003,03
32,23900,011,02
32,24100,001,02
32,24500,001,02
32,24900,019,02
32,25000,005,02
32,25490,013,02
32,25900,023,04
32,26300,005,02
32,26500,005,02
32,27100,005,02
32,27300,031,02
32,27900,005,02
32,28500,013,02
32,28860,031,02
32,28900,009,04
32,29500,003,03
32,30220,027,02
32,31300,021,04
32,31900,003,01
32,31900,003,03
32,32900,017,04
32,34100,027,02
32,34700,027,02
32,35100,031,02
32,35275,005,02
32,35300,003,04
32,36500,007,02
32,37190,005,02
32,38000,005,02
32,38100,015,02
32,39100,005,02
32,39300,007,02
32,40000,003,01
32,40000,003,03
32,40000,003,04
32,41000,003,03
32,41800,031,02
32,42350,005,02
32,43000,027,02
32,43400,033,04
32,44000,013,02
32,44200,033,04
32,46000,003,04
32,46800,021,04
32,47000,005,02
32,47840,003,04
32,47880,003,04
32,48000,031,02
32,48400,007,02
32,49310,003,04
32,49425,017,04
32,50400,003,04
32,50600,003,03
32,51200,031,02
32,51800,003,01
32,51800,003,04
32,52200,007,02
32,53000,013,02
32,53200,007,02
32,53600,007,02
32,53800,023,04
32,54200,017,04
32,54600,003,01
32,54600,003,03
32,55400,013,02
32,57400,017,04
32,58000,033,04
32,58820,017,04
32,60600,031,02
32,62170,005,02
32,63450,005,02
32,63800,033,04
32,64600,003,03
32,65400,021,04
32,65600,003,03
32,67000,009,04
32,67200,019,02
32,67600,005,02
32,68050,019,04
32,68350,031,02
32,68400,031,02
32,68550,007,02
32,68585,003,01
32,68585,003,03
32,68800,019,02
32,69200,005,02
32,70900,003,03
32,71400,003,01
32,71400,003,04
32,71600,031,02
32,71800,031,02
32,73600,023,04
32,74200,005,02
32,74400,005,02
32,77200,017,04
32,78200,013,02
32,79400,031,02
32,80000,029,02
32,81000,031,02
32,81245,021,04
32,82250,031,02
32,83000,007,02
32,83730,007,02
32,83800,003,01
32,83800,003,03
32,84600,003,01
32,84800,013,02
32,85400,019,04
32,86200,005,02
