NEW HAMPSHIRE CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
33,00980,001,01
33,01220,011,02
33,01620,011,02
33,01940,009,02
33,03620,003,01
33,04660,001,01
33,04820,011,02
33,05140,007,02
33,05380,009,02
33,06020,013,02
33,06900,013,02
33,07620,009,02
33,08900,009,02
33,10820,003,01
33,10900,003,01
33,11300,019,02
33,12900,019,02
33,13700,007,02
33,14200,013,02
33,14340,013,02
33,14580,003,01
33,17860,015,01
33,18820,017,01
33,19620,017,01
33,21780,011,01
33,24260,009,02
33,24580,015,01
33,25300,015,01
33,25940,017,01
33,27380,013,02
33,29780,011,01
33,30180,007,02
33,31860,011,02
33,32260,007,02
33,32980,015,01
33,33140,015,01
33,33620,011,02
33,33780,009,02
33,35460,013,02
33,36020,011,02
33,36580,005,02
33,37220,013,01
33,37860,011,02
33,38420,005,02
33,39300,005,02
33,40180,001,01
33,40340,007,02
33,41300,009,02
33,41780,009,02
33,41940,009,02
33,42500,009,02
33,43140,015,01
33,43300,013,02
33,45140,011,01
33,45380,005,02
33,46980,003,01
33,47060,001,01
33,47940,011,02
33,48580,017,01
33,48740,017,01
33,49600,009,02
33,50260,011,02
33,51300,015,01
33,51460,001,01
33,52020,013,02
33,52260,015,01
33,52500,019,02
33,53860,003,01
33,56420,005,02
33,57220,009,02
33,60500,011,02
33,61220,011,01
33,61860,013,02
33,62260,019,02
33,62580,009,02
33,62900,015,01
33,63940,015,01
33,65140,017,01
33,67460,003,01
33,68340,015,01
33,69940,017,01
33,71220,013,01
33,74780,003,01
33,75140,013,02
33,77100,001,01
33,77100,013,02
33,77300,005,02
33,77780,003,01
33,78340,005,02
33,78500,013,02
33,83620,007,02
33,83700,005,02
33,84340,007,02
33,85140,011,02
33,85460,005,02
33,86340,003,01
33,87140,009,02
