NEW JERSEY CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
34,00100,001,02
34,00640,041,05
34,00700,003,05
34,00730,025,06
34,00760,025,04
34,00790,025,04
34,00850,033,02
34,01030,041,07
34,01090,003,05
34,01300,041,05
34,01330,037,05
34,01480,019,07
34,01900,041,07
34,01960,025,06
34,01990,007,01
34,02080,001,02
34,02110,025,06
34,02200,007,01
34,02230,007,01
34,02320,009,02
34,02350,023,06
34,02440,025,04
34,02880,007,01
34,03040,029,03
34,03130,029,02
34,03250,007,01
34,03520,029,04
34,03580,017,08
34,03580,017,10
34,03940,029,02
34,04120,029,02
34,04180,029,03
34,04252,041,05
34,04400,015,01
34,04600,025,06
34,04630,035,07
34,04660,009,02
34,04750,007,01
34,04930,025,04
34,04990,041,05
34,05170,003,05
34,05440,007,01
34,05590,035,07
34,05740,005,03
34,06025,035,12
34,06040,007,01
34,06130,041,05
34,06190,035,07
34,06340,031,11
34,06370,019,07
34,06490,003,05
34,06610,027,11
34,06670,005,03
34,06790,035,12
34,06970,025,04
34,07000,035,07
34,07120,041,07
34,07300,037,05
34,07360,041,05
34,07600,011,02
34,07660,041,05
34,07750,025,04
34,07810,001,02
34,08020,041,07
34,08110,013,11
34,08140,041,05
34,08170,007,01
34,08455,005,03
34,08492,023,06
34,08492,023,12
34,08620,027,07
34,08680,001,02
34,08890,009,02
34,08920,005,03
34,09040,027,11
34,09100,041,05
34,09170,037,11
34,09250,013,11
34,09280,019,07
34,10000,007,01
34,10270,009,02
34,10300,009,02
34,10330,009,02
34,10480,003,09
34,10600,033,02
34,10750,023,06
34,11140,029,04
34,11155,029,04
34,11410,011,02
34,12100,027,11
34,12385,007,01
34,12550,007,01
34,12580,027,07
34,13360,015,02
34,13399,023,12
34,13420,007,01
34,13570,003,09
34,13630,025,06
34,13690,031,09
34,13720,019,07
34,13810,003,05
34,13990,035,12
34,14230,001,02
34,14260,007,01
34,14380,023,06
34,14590,041,05
34,14758,023,12
34,15160,001,02
34,15250,005,03
34,15520,023,12
34,15610,037,05
34,15820,003,09
34,15910,029,04
34,16630,023,12
34,16660,025,06
34,17200,041,05
34,17260,041,07
34,17530,003,05
34,17815,009,02
34,18070,027,07
34,18148,029,03
34,18151,029,03
34,18400,003,05
34,18490,023,12
34,19130,035,12
34,19150,025,04
34,19330,035,12
34,19360,017,08
34,19390,013,10
34,19490,035,12
34,19510,003,09
34,19840,025,04
34,19900,007,01
34,20020,003,09
34,20350,001,02
34,21000,039,08
34,21120,007,01
34,21240,033,02
34,21300,003,09
34,21420,001,02
34,21450,003,05
34,21480,003,09
34,21510,003,09
34,21570,025,04
34,21660,009,02
34,21840,013,11
34,21870,001,02
34,22440,025,04
34,22470,003,05
34,22530,011,02
34,22560,003,08
34,22740,025,04
34,22740,025,06
34,22860,039,12
34,22890,035,07
34,22950,025,04
34,23250,005,03
34,23310,035,07
34,23340,041,07
34,23700,019,07
34,23880,005,03
34,23910,027,11
34,23940,001,02
34,24030,023,06
34,24180,029,03
34,24300,005,03
34,24420,003,09
34,24930,037,05
34,24965,035,12
34,24990,003,05
34,25020,035,12
34,25200,025,04
34,25350,019,07
34,25770,003,09
34,25800,039,07
34,26070,007,01
34,26100,015,01
34,26340,015,01
34,26520,007,01
34,26550,019,07
34,26610,013,10
34,26640,003,05
34,26820,007,01
34,26902,007,01
34,27360,041,05
34,27840,035,07
34,27995,007,01
34,28250,041,07
34,28470,035,12
34,28620,021,04
34,28650,017,08
34,28680,003,05
34,28710,041,05
34,28770,007,01
34,28800,007,01
34,28920,041,05
34,29070,031,09
34,29220,037,05
34,29370,021,04
34,29430,001,02
34,29460,019,07
34,29520,033,02
34,29940,035,07
34,30060,041,07
34,30150,003,05
34,30210,017,08
34,30390,029,02
34,30420,003,09
34,30540,003,05
34,30570,031,09
34,30738,023,12
34,30840,023,12
34,31320,019,07
34,31405,037,05
34,31470,023,06
34,31500,025,06
34,31620,021,12
34,31920,003,05
34,32220,007,01
34,32250,017,08
34,32310,003,05
34,32415,029,03
34,32418,029,03
34,32424,029,03
34,32910,037,11
34,33030,041,05
34,33150,021,12
34,33690,041,07
34,34200,025,06
34,34470,023,06
34,34530,029,03
34,34890,023,12
34,36000,017,08
34,36000,017,10
34,36150,041,05
34,36300,005,03
34,36480,025,06
34,36510,017,08
34,36510,017,09
34,36660,023,12
34,36690,039,07
34,36720,027,07
34,36810,025,06
34,36930,023,12
34,36930,035,12
34,36960,007,01
34,37110,027,11
34,37560,025,04
34,37770,029,04
34,38040,037,11
34,38430,027,11
34,38580,029,04
34,38610,019,07
34,39120,011,02
34,39210,007,01
34,39360,023,06
34,39390,029,03
34,39420,007,01
34,39570,021,12
34,39630,019,07
34,39883,029,04
34,39885,005,03
34,39900,029,04
34,39910,029,04
34,39920,029,04
34,39990,025,06
34,40020,003,09
34,40290,027,11
34,40320,025,04
34,40350,039,10
34,40440,007,01
34,40530,001,02
34,40680,003,09
34,40770,025,04
34,41010,025,06
34,41100,003,05
34,41310,025,06
34,41370,001,02
34,41400,027,07
34,41495,041,07
34,42390,005,03
34,42510,027,11
34,42540,023,12
34,42630,007,01
34,42930,029,02
34,42930,029,03
34,43050,025,04
34,43380,029,03
34,43620,035,12
34,43890,001,02
34,43980,041,05
34,44100,005,03
