NEW MEXICO CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
35,00240,053,02
35,00310,039,03
35,00765,006,02
35,00940,061,02
35,01220,049,03
35,01640,053,02
35,01710,053,02
35,01780,035,02
35,02000,001,01
35,02000,001,02
35,02000,001,03
35,02070,039,03
35,02210,043,03
35,03400,007,03
35,03750,023,02
35,03820,013,02
35,03890,019,02
35,03970,006,02
35,04030,003,02
35,04450,003,02
35,04660,017,02
35,04870,051,02
35,05010,055,03
35,05150,055,03
35,05220,015,02
35,05430,015,02
35,05780,045,03
35,06270,017,02
35,06425,045,03
35,06480,061,02
35,06760,035,02
35,06830,013,02
35,06970,043,01
35,06970,043,03
35,07145,006,02
35,07670,031,02
35,07670,031,03
35,07810,045,03
35,07880,045,03
35,08185,006,02
35,08190,006,02
35,08440,035,02
35,08580,061,02
35,08860,039,03
35,09035,031,03
35,09630,017,02
35,10050,051,02
35,10470,049,03
35,10610,039,03
35,10750,009,03
35,10770,043,03
35,11310,039,03
35,11520,039,03
35,11800,027,02
35,12008,039,03
35,12010,059,03
35,12150,015,02
35,12430,001,01
35,12500,027,02
35,12786,061,02
35,12850,041,02
35,13200,001,01
35,13270,049,01
35,13270,049,03
35,13340,045,03
35,13450,001,01
35,13970,039,03
35,14040,013,02
35,14110,055,03
35,14180,039,03
35,14200,053,02
35,14250,013,02
35,14250,035,02
35,14670,061,02
35,14810,039,03
35,14880,001,01
35,14950,039,03
35,14950,049,03
35,15300,049,03
35,15370,031,03
35,15440,007,03
35,15560,029,02
35,15720,059,03
35,15860,017,02
35,16280,035,02
35,16420,009,03
35,16490,017,02
35,16560,043,03
35,16585,043,03
35,17050,029,02
35,17260,047,03
35,17610,039,03
35,17680,027,02
35,17960,043,01
35,17960,043,03
35,18240,055,03
35,18310,023,02
35,18660,039,03
35,18940,031,03
35,19010,003,02
35,19080,031,03
35,19080,045,03
35,19110,049,03
35,19150,043,03
35,19220,006,02
35,19500,049,03
35,19640,049,03
35,19645,049,03
35,19920,003,02
35,20270,029,02
35,20480,059,03
35,20620,005,02
35,20830,039,03
35,21110,013,02
35,21180,041,02
35,21390,039,03
35,21810,057,01
35,22020,007,03
35,22230,047,03
35,22380,001,01
35,22380,043,01
35,22380,049,01
35,22380,049,03
35,22390,001,01
35,22580,061,01
35,22580,061,02
35,22582,061,01
35,22582,061,02
35,22625,049,03
35,22650,039,03
35,22720,051,02
35,23000,041,02
35,23840,049,03
35,24120,039,03
35,24347,049,03
35,24540,006,02
35,24610,057,01
35,24960,039,03
35,25100,053,02
35,25135,003,02
35,25170,039,03
35,25170,049,03
35,25380,057,01
35,25450,025,02
35,25590,013,02
35,25800,045,03
35,25870,017,02
35,26010,006,02
35,26360,045,03
35,26570,041,02
35,26780,059,03
35,27340,011,02
35,27970,049,03
35,28460,031,03
35,28670,013,02
35,29160,017,02
35,29540,023,02
35,29790,003,02
35,29860,049,03
35,30000,049,03
35,30210,009,03
35,30490,006,02
35,30770,059,03
35,31190,017,02
35,31330,005,02
35,31540,017,02
35,31680,015,02
35,31820,013,02
35,32100,039,03
35,32148,061,02
35,32160,035,02
35,32380,051,02
35,32520,025,02
35,32940,035,02
35,33130,003,02
35,33290,015,02
35,33640,051,02
35,33710,037,03
35,33850,017,02
35,34430,057,01
35,34760,001,02
35,34900,049,03
35,34925,049,03
35,35040,025,02
35,35110,061,02
35,35250,043,03
35,35320,043,03
35,35595,029,02
35,36090,051,02
35,36230,045,03
35,36720,049,03
35,36880,043,03
35,37070,006,02
35,37407,029,02
35,37420,015,02
35,37490,043,03
35,37700,053,02
35,37840,005,02
35,37860,017,02
35,37862,017,02
35,37875,011,02
35,37910,045,03
35,38330,035,02
35,38470,039,03
35,38680,013,02
35,38820,039,03
35,38890,049,03
35,39030,045,03
35,39170,049,03
35,39380,013,02
35,39430,061,02
35,39450,053,02
35,39520,051,02
35,39940,047,03
35,40220,013,02
35,40360,039,03
35,40525,045,03
35,40570,053,02
35,41420,015,02
35,41620,019,02
35,41970,015,02
35,42040,037,03
35,42180,023,02
35,42320,028,03
35,42600,049,03
35,42740,061,02
35,43300,039,03
35,43370,061,02
35,43510,039,03
35,43930,001,01
35,44420,015,02
35,44490,025,02
35,44595,003,02
35,45190,053,02
35,45260,039,03
35,45330,003,02
35,45400,039,03
35,45690,006,02
35,46030,057,01
35,46100,049,03
35,46170,061,02
35,46310,053,02
35,46380,015,02
35,46730,057,01
35,46770,001,01
35,46770,057,01
35,47080,007,03
35,47150,035,02
35,47220,061,01
35,47220,061,02
35,47570,009,03
35,47920,035,02
35,48060,013,02
35,48200,006,02
35,48270,013,02
35,48425,003,02
35,48480,005,02
35,48620,006,02
35,48830,017,02
35,49515,061,02
35,49950,025,02
35,50020,006,02
35,50090,033,03
35,50160,057,01
35,50195,015,02
35,50300,021,03
35,50300,047,03
35,50370,057,01
35,50515,029,02
35,50720,025,02
35,50790,045,03
35,50860,031,03
35,50930,049,03
35,51035,045,03
35,51140,037,03
35,51280,045,03
35,51420,031,03
35,51490,045,03
35,51715,045,03
35,51770,045,03
35,51840,019,02
35,52190,027,02
35,52300,006,02
35,52500,025,02
35,52540,017,02
35,52560,045,03
35,52680,047,03
35,52750,001,01
35,53010,051,02
35,53150,039,03
35,53485,045,03
35,54430,013,02
35,54500,035,02
35,54710,006,02
35,54940,001,01
35,55270,001,01
35,55270,001,03
35,55340,006,02
35,55550,019,02
35,55595,049,03
35,55605,029,02
35,55620,047,03
35,55830,043,03
35,55900,055,03
35,56180,061,02
35,56810,055,03
35,56950,003,02
35,57190,006,02
35,57440,035,02
35,57510,017,02
35,57990,013,02
35,58070,043,01
35,58070,043,03
35,58210,023,02
35,58420,003,02
35,58630,049,03
35,58910,053,02
35,58980,043,03
35,59120,001,01
35,59260,041,02
35,59260,041,03
35,59750,039,03
35,59820,061,02
35,59860,047,03
35,59950,043,01
35,60000,031,03
35,60170,019,02
35,60205,029,02
35,60730,003,02
35,60870,055,03
35,61010,013,02
35,61220,031,02
35,61675,003,02
35,61710,055,03
35,62060,007,03
35,62200,055,03
35,62340,043,03
35,62620,003,02
35,62760,047,03
35,62900,013,02
35,63145,061,02
35,63168,049,03
35,63250,055,03
35,63460,001,01
35,63460,001,03
35,63460,043,01
35,63460,043,03
35,63660,003,02
35,64230,031,03
35,64370,023,02
35,64440,013,02
35,64900,017,02
35,64930,005,02
35,65000,047,03
35,65070,021,03
35,65210,027,02
35,65280,027,02
35,65560,035,02
35,65840,013,02
35,65910,053,02
35,66120,053,02
35,66330,001,01
35,66400,053,02
35,66540,055,03
35,66765,001,01
35,66890,001,01
35,66960,001,01
35,67450,043,03
35,67520,006,02
35,68010,049,03
35,68150,037,03
35,68430,039,03
35,68500,047,03
35,68920,017,02
35,69060,043,03
35,69270,006,02
35,69410,013,02
35,69620,045,03
35,69645,013,02
35,69825,049,01
35,69825,049,03
35,69875,006,02
35,70250,043,01
35,70250,043,03
35,70270,017,02
35,70390,039,03
35,70460,049,03
35,70500,049,03
35,70670,019,02
35,70700,013,02
35,70810,043,03
35,71015,013,02
35,71020,043,03
35,71145,061,02
35,71440,006,02
35,71510,006,02
35,71700,001,01
35,71790,047,03
35,72600,045,03
35,72770,045,03
35,73260,017,02
35,73440,006,02
35,73540,053,02
35,73680,047,03
35,73890,049,03
35,73925,006,02
35,74520,001,01
35,74520,001,02
35,74660,045,03
35,74800,007,03
35,75640,013,02
35,75710,029,02
35,76060,057,01
35,76130,055,03
35,76200,055,03
35,76410,055,03
35,76480,055,03
35,76620,025,02
35,76760,047,03
35,76830,047,03
35,77040,049,03
35,77100,049,03
35,77250,009,03
35,77530,031,03
35,77670,039,03
35,77880,001,01
35,77950,035,02
35,78440,031,03
35,78650,061,02
35,79070,043,03
35,79140,057,01
35,79680,017,02
35,79700,039,03
35,79840,051,02
35,79885,031,03
35,79910,037,03
35,79980,035,02
35,80470,035,02
35,80540,031,03
35,80820,017,02
35,81030,013,02
35,81177,045,03
35,81450,007,03
35,81520,055,03
35,81590,013,02
35,81800,061,02
35,82570,019,02
35,82640,053,02
35,82710,039,03
35,82800,029,02
35,83130,047,03
