NEW YORK CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
36,00155,111,19
36,00199,045,21
36,00232,045,21
36,00276,101,23
36,00342,017,22
36,00408,087,17
36,00441,029,27
36,01000,001,20
36,01011,059,03
36,01033,073,27
36,01088,029,27
36,01154,037,27
36,01187,045,21
36,01198,003,23
36,01286,009,23
36,01440,003,23
36,01440,101,23
36,01517,001,20
36,01550,075,22
36,01572,019,21
36,01594,103,01
36,01682,027,19
36,01737,057,19
36,02044,103,02
36,02066,057,20
36,02121,025,19
36,02143,003,23
36,02176,003,23
36,02198,029,27
36,02220,029,27
36,02286,045,21
36,02308,107,22
36,02374,103,01
36,02407,121,27
36,02506,119,16
36,02550,115,21
36,02583,101,23
36,02616,027,18
36,02649,119,17
36,02737,103,03
36,02902,039,19
36,02968,059,04
36,03001,037,27
36,03001,121,27
36,03078,011,24
36,03188,011,24
36,03254,019,21
36,03320,083,19
36,03331,101,23
36,03353,051,27
36,03408,103,02
36,04033,017,22
36,04055,103,01
36,04143,059,04
36,04154,059,04
36,04198,067,24
36,04253,091,21
36,04286,071,18
36,04396,087,17
36,04440,063,27
36,04528,065,22
36,04550,059,04
36,04715,037,27
36,04759,101,23
36,04803,059,03
36,04891,059,04
36,04913,103,02
36,04935,103,02
36,05034,059,03
36,05039,103,02
36,05100,027,18
36,05193,071,18
36,05309,119,18
36,05342,119,18
36,05562,003,23
36,05639,059,04
36,05661,059,04
36,05672,103,01
36,05683,045,21
36,05738,059,04
36,05771,103,01
36,05815,003,23
36,05848,013,23
36,06046,037,27
36,06387,059,03
36,06464,015,23
36,06574,029,27
36,06607,007,22
36,06644,007,22
36,06794,045,21
36,06849,029,27
36,06860,087,17
36,06904,121,27
36,06937,023,22
36,06945,069,27
36,06959,105,19
36,07025,025,19
36,07069,103,01
36,07157,103,02
36,07190,003,23
36,07245,113,21
36,07355,065,22
36,07960,089,21
36,08004,015,23
36,08026,103,02
36,08059,067,24
36,08059,075,22
36,08070,079,18
36,08092,079,18
36,08103,119,17
36,08136,103,01
36,08147,053,22
36,08147,067,24
36,08169,065,22
36,08257,055,25
36,08323,103,02
36,08334,027,18
36,08422,035,21
36,08466,055,25
36,08488,013,23
36,08532,119,16
36,09000,103,01
36,10132,059,03
36,10231,045,21
36,10286,033,21
36,10341,119,17
36,11000,029,26
36,11000,029,27
36,11132,097,23
36,11154,033,21
36,11440,013,23
36,11550,051,27
36,11638,039,19
36,11671,045,21
36,11704,051,27
36,11748,105,19
36,11781,103,01
36,11825,115,21
36,11847,065,22
36,11902,067,24
36,11935,101,23
36,12111,057,19
36,12144,069,27
36,12177,003,23
36,12188,053,22
36,12210,107,23
36,12254,101,23
36,12331,089,21
36,12353,045,21
36,12419,059,04
36,12532,079,18
36,12584,035,21
36,12683,045,21
36,12749,013,23
36,12771,121,27
36,12870,083,20
36,12881,049,21
36,12958,011,24
36,13002,039,19
36,13024,009,23
36,13068,011,24
36,13079,109,23
36,13145,053,22
36,13233,059,04
36,13288,013,23
36,13376,103,01
36,13420,103,01
36,13442,103,03
36,13530,095,19
36,13552,103,02
36,13585,075,22
36,13618,059,03
36,13662,065,22
36,13739,019,21
36,13805,119,17
36,13981,033,21
36,14003,021,19
36,14036,045,21
36,14058,013,23
36,14102,019,21
36,15000,029,26
36,15121,007,22
36,15187,013,23
36,15242,077,19
36,15297,071,18
36,15363,113,21
36,15400,087,17
36,15561,053,22
36,15638,055,25
36,15814,029,27
36,15836,029,27
36,15902,065,22
