NORTH CAROLINA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
37,00160,125,08
37,00440,059,13
37,00500,091,01
37,00640,001,06
37,00680,167,08
37,01000,137,03
37,01140,001,06
37,01380,039,11
37,01400,085,02
37,01400,183,02
37,01420,007,09
37,01520,183,02
37,01520,183,04
37,01560,167,08
37,01640,137,03
37,01720,081,13
37,01720,151,06
37,01760,101,02
37,02080,151,06
37,02140,021,10
37,02140,021,11
37,02240,093,08
37,02320,015,01
37,02460,141,07
37,02480,031,03
37,02500,031,03
37,02580,015,01
37,02620,013,03
37,02700,163,07
37,02760,021,11
37,02780,055,03
37,02840,147,03
37,02960,167,08
37,03020,127,02
37,03100,121,11
37,03150,019,07
37,03220,089,11
37,03500,011,05
37,03640,089,11
37,03665,155,09
37,03840,013,03
37,03960,137,03
37,04015,129,07
37,04040,013,03
37,04180,117,01
37,04260,031,03
37,04510,011,05
37,04510,189,05
37,04640,013,03
37,04680,147,03
37,04840,071,10
37,04950,019,07
37,04955,147,01
37,04960,045,10
37,05020,037,06
37,05040,085,02
37,05040,101,07
37,05049,021,11
37,05135,059,13
37,05220,071,10
37,05340,067,05
37,05460,147,01
37,05530,003,05
37,05660,061,07
37,05880,021,11
37,06000,123,08
37,06080,195,02
37,06140,021,10
37,06240,017,09
37,06500,027,11
37,06500,189,05
37,06510,129,07
37,06660,047,07
37,06740,031,03
37,06760,019,07
37,06800,045,10
37,06820,019,07
37,06860,047,07
37,06980,163,07
37,07080,189,05
37,07140,197,05
37,07220,161,10
37,07400,093,08
37,07720,175,11
37,07765,049,03
37,07860,049,03
37,08040,031,03
37,08080,085,02
37,08080,105,06
37,08110,191,07
37,08140,035,10
37,08420,047,07
37,08480,173,11
37,08760,085,02
37,08860,069,02
37,08880,085,02
37,08960,141,07
37,09060,001,06
37,09060,081,06
37,09140,199,11
37,09360,077,01
37,09380,017,09
37,09400,055,03
37,09530,027,11
37,09540,019,07
37,09760,061,07
37,09780,029,03
37,09800,125,08
37,10120,123,08
37,10240,087,11
37,10260,031,03
37,10460,161,10
37,10500,129,07
37,10550,019,07
37,10620,135,04
37,10680,125,08
37,10740,037,06
37,10740,183,02
37,10740,183,04
37,10760,045,10
37,10800,099,11
37,10860,127,02
37,10880,129,07
37,10960,019,07
37,10980,035,10
37,11340,031,03
37,11352,027,11
37,11560,069,02
37,11620,047,07
37,11640,047,07
37,11800,063,01
37,11800,063,04
37,11800,135,04
37,12000,119,09
37,12000,119,12
37,12140,099,11
37,12140,173,11
37,12340,071,10
37,12460,161,10
37,12480,159,08
37,12580,013,03
37,12720,035,10
37,12780,017,07
37,12780,017,09
37,12860,101,02
37,12860,183,02
37,12960,067,05
37,13000,159,13
37,13100,161,10
37,13240,163,07
37,13280,087,11
37,13360,085,02
37,13460,091,01
37,13500,053,03
37,13560,015,01
37,13940,177,03
37,13980,149,10
37,14060,091,01
37,14100,025,08
37,14200,065,01
37,14280,023,11
37,14340,035,10
37,14400,131,01
37,14460,059,13
37,14600,153,09
37,14700,119,12
37,15020,049,03
