OHIO CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
39,00142,015,02
39,00198,065,05
39,00380,119,06
39,00436,061,01
39,00450,141,15
39,00464,067,06
39,00464,081,06
39,01000,153,11
39,01000,153,13
39,01000,153,16
39,01042,009,15
39,01154,089,12
39,01210,065,05
39,01420,099,06
39,01420,151,13
39,01588,171,05
39,01630,045,15
39,01672,061,02
39,01742,025,02
39,01784,009,15
39,01798,093,04
39,01938,081,06
39,02022,141,15
39,02050,007,14
39,02092,149,04
39,02120,037,08
39,02148,111,06
39,02204,125,05
39,02232,169,16
39,02266,083,07
39,02274,055,14
39,02316,063,05
39,02330,037,08
39,02344,051,05
39,02400,063,05
39,02428,061,02
39,02568,005,07
39,02582,041,12
39,02638,007,14
39,02680,129,15
39,02722,087,06
39,02736,009,15
39,02820,147,04
39,02848,133,13
39,03086,133,14
39,03142,007,14
39,03184,099,13
39,03352,093,07
39,03464,093,09
39,03562,005,07
39,03585,055,14
39,03604,141,02
39,03646,173,05
39,03716,143,04
39,03744,031,07
39,03744,075,07
39,03744,157,07
39,03758,045,15
39,03786,013,06
39,03828,153,13
39,03926,013,06
39,03940,157,07
39,04094,147,04
39,04150,025,02
39,04192,121,06
39,04402,043,09
39,04416,035,09
39,04458,151,07
39,04500,035,11
39,04542,111,06
39,04696,131,02
39,04720,057,10
39,04752,003,04
39,04840,017,08
39,04878,035,11
39,04920,035,11
39,05013,089,12
39,05074,013,06
39,05102,057,10
39,05116,091,04
39,05130,091,04
39,05158,121,06
39,05228,043,04
39,05228,077,04
39,05228,143,04
39,05284,139,12
39,05312,013,06
39,05396,137,05
39,05410,099,06
39,05424,167,06
39,05550,035,14
39,05662,063,05
39,05676,001,02
39,05690,035,09
39,05690,035,16
39,05718,081,06
39,05732,095,05
39,05816,075,07
39,05900,043,04
39,06068,025,02
39,06138,013,06
39,06194,147,04
39,06208,043,09
39,06222,167,06
39,06278,049,03
39,06670,049,03
39,06740,083,07
39,06810,171,05
39,06908,027,15
39,06908,165,01
39,07062,173,05
39,07188,047,10
39,07202,081,06
39,07286,147,04
39,07300,061,02
39,07377,061,01
39,07426,003,04
39,07426,063,05
39,07454,099,13
39,07583,155,13
39,07594,157,07
39,07790,153,14
39,07832,149,04
39,07888,141,02
39,07916,067,06
39,07930,057,10
39,07972,173,05
39,08084,037,08
39,08084,109,08
39,08112,173,05
39,08168,133,13
39,08336,035,11
39,08364,035,14
39,08378,061,01
39,08392,045,15
39,08504,151,07
39,08532,049,03
39,08560,013,06
39,08602,061,01
39,08812,081,06
39,08826,133,16
39,09064,035,11
39,09200,155,13
39,09246,035,09
39,09274,035,11
39,09288,035,09
39,09316,013,06
39,09358,113,10
39,09386,125,05
39,09596,089,12
39,09680,103,07
39,09680,103,16
39,09792,171,05
39,09834,009,15
39,09834,073,15
39,09890,045,15
39,09890,089,12
39,09974,011,04
39,10030,033,04
39,10128,059,06
39,10156,071,02
39,10254,169,16
39,10282,143,04
39,10296,037,08
39,10296,107,08
39,10352,087,06
39,10436,055,14
39,10632,139,12
39,10674,165,01
39,10716,059,06
39,10800,067,06
39,10884,003,04
39,10926,029,06
39,10940,121,06
39,10954,101,04
39,10996,059,06
39,11024,135,08
39,11066,099,13
39,11150,061,01
39,11304,151,16
39,11318,031,07
39,11332,045,15
39,11332,049,03
39,11332,049,15
39,11334,117,12
39,11360,099,06
39,12000,151,07
39,12000,151,16
39,12056,073,15
39,12084,117,12
39,12112,175,05
39,12168,113,10
39,12168,165,01
39,12252,045,15
39,12280,019,06
39,12462,109,08
39,12476,043,09
39,12504,037,08
39,12560,023,08
39,12700,125,05
39,12784,057,10
39,12854,077,07
39,12868,107,04
39,12868,107,05
39,13036,083,07
39,13169,053,06
39,13190,057,10
39,13190,113,10
39,13358,035,14
39,13484,155,13
39,13554,055,14
39,13694,033,04
39,13778,009,15
39,13834,001,02
39,13848,061,02
39,13904,087,06
39,13932,053,06
39,14086,115,15
39,14100,055,14
39,14114,117,12
39,14128,061,01
39,14156,107,08
39,14184,141,02
39,14184,141,15
39,14226,025,02
39,14254,103,07
39,14280,091,04
39,14288,097,15
39,14296,021,04
39,14324,155,13
39,15000,061,01
39,15000,061,02
39,15008,005,07
39,15070,129,15
39,15210,111,06
39,15336,141,15
39,15406,027,15
39,15434,145,06
39,15588,123,05
39,15644,113,10
39,16000,035,09
39,16000,035,11
39,16014,035,11
39,16028,061,01
39,16056,023,08
39,16056,057,10
39,16182,153,16
39,16266,137,05
39,16308,143,04
39,16378,087,06
39,16434,079,06
39,16521,061,02
39,16532,107,08
39,16700,017,08
39,16700,135,08
39,16784,077,04
39,17036,029,06
39,17036,099,06
39,18000,041,12
39,18000,045,15
39,18000,049,03
39,18000,049,12
39,18000,049,15
39,18014,137,05
39,18070,129,15
39,18244,061,02
39,18266,031,07
39,18308,169,16
39,18350,007,14
39,18504,137,05
39,18546,161,05
39,18588,009,06
39,18770,127,15
39,18812,155,13
39,18840,165,01
39,18868,031,07
39,19008,061,01
39,19050,109,08
39,19106,099,13
39,19330,033,04
39,19330,139,07
39,19344,103,16
39,19344,169,16
39,19400,011,04
39,19456,127,15
39,19554,053,06
39,19596,023,08
39,19615,043,09
39,19694,059,06
39,19736,095,09
39,19736,123,05
39,19750,173,05
39,19778,153,13
39,19778,153,14
39,19806,035,11
39,19820,173,05
39,19848,131,02
39,19974,169,16
39,20030,029,06
39,20030,099,06
39,20114,083,07
39,20198,049,15
39,20212,129,15
39,20268,017,08
39,20366,025,02
39,21000,113,10
39,21266,061,02
39,21294,067,06
39,21308,039,05
39,21378,091,04
39,21434,041,12
39,21518,061,01
39,21560,019,06
39,21602,003,04
39,21602,161,05
39,21610,061,01
39,21616,051,05
39,21714,157,06
39,21742,061,01
39,21784,129,15
39,21812,069,05
39,21868,167,06
39,21910,121,06
39,22008,061,02
39,22022,081,06
39,22260,065,05
39,22288,023,08
39,22456,157,07
39,22568,169,16
39,22610,119,06
39,22624,113,10
39,22660,061,01
39,22674,061,02
