OKLAHOMA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
40,00100,013,02
40,00200,123,04
40,00250,097,02
40,00450,067,04
40,00600,115,02
40,00700,081,03
40,00900,135,02
40,00950,013,02
40,01050,127,02
40,01150,121,02
40,01250,051,04
40,01350,003,03
40,01400,063,02
40,01400,123,04
40,01700,065,03
40,01800,151,03
40,01900,051,04
40,01950,093,03
40,02000,003,03
40,02050,015,03
40,02250,127,02
40,02300,015,03
40,02500,039,03
40,02550,109,05
40,02600,019,04
40,02650,079,02
40,02750,013,02
40,02800,045,03
40,02900,121,02
40,03000,125,05
40,03050,121,02
40,03300,005,02
40,03350,063,02
40,03500,113,03
40,03815,135,02
40,04075,097,02
40,04250,113,03
40,04450,113,03
40,04450,147,01
40,04700,107,02
40,04750,007,03
40,04950,069,02
40,05000,111,02
40,05070,135,02
40,05090,001,02
40,05400,013,02
40,05550,041,02
40,05650,149,03
40,05700,109,05
40,05800,125,05
40,05900,035,02
40,06100,103,03
40,06200,015,03
40,06350,047,03
40,06400,143,01
40,06400,145,01
40,06450,117,03
40,06500,135,02
40,06600,071,03
40,06650,065,03
40,06700,051,04
40,06700,087,04
40,06900,013,02
40,06950,035,02
40,07300,025,03
40,07350,013,02
40,07450,079,02
40,07500,107,02
40,07750,023,02
40,07950,133,05
40,08050,135,02
40,08150,101,02
40,08300,051,04
40,08400,101,02
40,08450,071,03
40,08550,137,04
40,08600,047,03
40,08650,135,02
40,08725,051,04
40,08750,015,03
40,08775,021,02
40,08900,037,03
40,09050,143,01
40,09050,145,01
40,09100,089,02
40,09150,029,02
40,09150,069,02
40,09400,125,05
40,09612,041,02
40,09650,135,02
40,09850,059,03
40,09887,041,02
40,09950,113,03
40,10050,003,03
40,10250,149,03
40,10400,131,02
40,10450,039,03
40,10460,041,02
40,10550,087,04
40,10600,123,04
40,10650,003,03
40,10700,031,04
40,10800,013,02
40,10950,013,02
40,11050,017,03
40,11100,063,02
40,11150,043,03
40,11300,079,02
40,11450,121,02
40,11550,005,02
40,11600,011,03
40,11650,149,03
40,11750,151,03
40,11900,115,02
40,11975,135,02
40,12000,003,03
40,12050,015,03
40,12100,081,03
40,12200,047,03
40,12300,009,03
40,12550,013,02
40,12650,073,03
40,12650,083,03
40,12750,107,02
40,12900,131,01
40,12900,131,02
40,12900,145,01
40,12915,041,02
40,12930,097,02
40,12960,083,03
40,13000,015,03
40,13100,029,02
40,13135,137,04
40,13500,081,03
40,13600,031,04
40,13600,141,04
40,13650,091,02
40,13700,131,02
40,13750,003,03
40,13775,001,02
40,13800,093,03
40,13850,001,02
40,13900,129,03
40,13950,051,04
40,14200,109,04
40,14200,109,05
40,14300,097,02
40,14350,001,02
40,14500,083,03
40,14700,131,02
40,14900,127,02
40,15050,107,02
40,15250,041,02
40,15300,093,03
40,15350,117,03
40,15400,039,03
40,15400,149,03
40,15625,041,02
40,15800,029,02
40,16050,013,02
40,16100,041,02
40,16200,087,04
40,16350,131,01
40,16350,131,02
40,16350,143,01
40,16400,149,03
40,16450,137,04
40,16500,115,02
40,17050,075,03
40,17100,147,01
40,17110,041,02
40,17300,149,03
40,17350,067,04
40,17550,101,02
40,17700,047,03
40,17800,145,01
40,17850,079,02
40,17950,083,03
40,18250,083,03
40,18450,133,05
40,18550,121,02
40,18850,119,03
40,18950,039,03
40,19000,015,03
40,19050,151,03
40,19150,125,05
40,19350,081,03
40,19400,141,04
40,19450,049,04
40,19450,099,04
40,19650,053,03
40,19665,041,02
40,19850,105,02
40,19900,109,05
40,20100,041,02
40,20300,037,03
40,20450,033,04
40,20500,111,02
40,20550,147,01
40,20650,087,04
40,20700,019,04
40,20850,149,03
40,20900,097,02
40,21020,041,02
40,21150,115,02
40,21200,099,04
40,21250,047,03
40,21350,073,03
40,21672,041,02
40,21676,041,02
40,21700,047,03
40,21750,037,03
40,21750,119,03
40,21755,021,02
40,21760,091,02
40,21900,137,04
40,22050,013,02
40,22200,063,02
40,22275,135,02
40,22350,089,02
40,22400,015,03
40,22500,125,05
40,22550,065,03
40,23200,109,05
40,23300,021,02
40,23350,065,03
40,23450,031,04
40,23500,009,03
40,23550,065,03
40,23575,001,02
40,23600,049,04
40,23700,017,03
40,23900,137,04
40,23950,047,03
40,24200,009,03
40,24300,049,04
40,24460,027,04
40,24650,091,02
40,24762,135,02
40,24850,113,03
40,24875,001,02
40,24900,115,02
40,24950,047,03
40,25000,131,01
40,25000,131,02
40,25000,145,01
40,25100,093,03
40,25250,081,03
40,25400,077,02
40,25400,079,02
40,25450,045,03
40,25650,031,04
40,25850,025,03
40,26250,123,04
40,26350,031,04
40,26415,041,02
40,26525,135,02
40,26750,113,03
40,26850,109,05
40,26900,007,03
40,27100,015,03
40,27150,079,02
40,27200,021,02
40,27200,101,02
40,27350,153,03
40,27400,023,02
40,27450,149,03
40,27500,049,04
40,27600,131,02
40,27650,123,04
40,27800,141,04
40,27850,151,03
40,27900,065,03
40,28250,045,03
40,28350,135,02
40,28500,047,03
40,28700,089,02
40,28800,007,03
40,28900,011,03
40,28900,017,03
40,28950,019,04
40,29100,031,04
40,29150,063,02
40,29300,021,02
40,29400,119,03
40,29600,143,01
40,29850,087,04
40,29900,003,03
