OREGON CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
41,00275,003,05
41,00350,059,02
41,00500,045,02
41,01000,003,05
41,01000,043,04
41,01650,067,01
41,01700,003,04
41,01800,003,04
41,01850,035,02
41,02000,071,01
41,02200,045,02
41,02250,065,02
41,02800,021,02
41,03050,029,02
41,03150,007,01
41,03200,059,02
41,03250,047,05
41,03300,047,05
41,03650,001,02
41,03800,011,04
41,03850,067,01
41,04000,005,05
41,04400,011,04
41,04800,057,05
41,04925,057,05
41,05200,057,05
41,05250,005,03
41,05250,005,05
41,05350,067,01
41,05700,003,04
41,05800,017,02
41,05950,067,01
41,06400,055,02
41,06650,017,02
41,06950,003,04
41,07200,049,02
41,07300,035,02
41,08600,045,02
41,08650,015,04
41,08750,047,05
41,09050,043,04
41,09535,067,01
41,09600,011,04
41,09800,025,02
41,10050,029,02
41,10100,047,05
41,10550,031,02
41,10750,005,05
41,10850,007,01
41,10950,023,02
41,11000,019,04
41,11050,057,05
41,11150,071,01
41,11600,027,02
41,11700,043,04
41,11850,033,04
41,11900,059,02
41,12050,067,01
41,12150,051,01
41,12150,067,01
41,12400,029,02
41,12800,065,02
41,13050,035,02
41,13750,009,01
41,14200,057,05
41,14400,039,04
41,14750,009,01
41,15000,021,02
41,15250,011,04
41,15350,011,04
41,15550,067,01
41,15800,003,04
41,15950,039,04
41,16250,061,02
41,16350,043,04
41,16450,025,02
41,16650,043,04
41,16950,039,04
41,17300,031,02
41,17700,053,05
41,17800,005,03
41,18150,019,04
41,18250,071,01
41,18300,023,02
41,18450,009,01
41,18850,041,05
41,19020,017,02
41,19100,047,05
41,19600,019,04
41,20100,047,05
41,20500,019,04
41,20900,065,02
41,21050,071,01
41,21150,039,04
41,21250,067,01
41,21450,017,02
41,21550,029,02
41,22200,059,02
41,22550,061,02
41,22800,019,04
41,23500,063,02
41,23550,053,05
41,23800,005,03
41,23850,039,04
41,24100,019,04
41,24250,051,03
41,24550,053,05
41,26050,039,04
41,26165,029,02
41,26200,067,01
41,26400,053,05
41,26400,071,01
41,26650,069,02
41,26750,047,05
41,27350,033,02
41,27825,067,01
41,27850,019,04
41,28000,057,05
41,28100,067,01
41,28100,071,01
41,28200,043,04
41,28200,047,05
41,28450,007,01
41,28650,047,05
41,29000,005,05
41,29100,011,04
41,29350,019,04
41,29750,019,04
41,29900,015,04
41,29950,029,02
41,30165,059,02
41,30250,005,03
41,30300,053,05
41,30300,071,01
41,30500,023,02
41,30550,033,02
41,30650,055,02
41,30750,019,04
41,31050,001,02
41,31050,023,02
41,31250,051,03
41,31600,001,02
41,31650,001,02
41,31750,043,04
41,32050,005,03
41,32050,005,05
41,32100,015,04
41,32400,045,02
41,32550,043,04
41,32850,047,05
41,33100,057,05
41,33250,059,02
41,33550,049,02
41,33700,059,02
41,34100,067,01
41,34250,025,02
41,34650,043,04
41,34900,027,02
41,35450,047,05
41,35700,001,02
41,35800,043,04
41,35800,047,05
41,35850,057,05
41,36050,061,02
41,36150,053,05
41,36400,049,02
41,36500,049,02
41,36750,061,02
41,37000,029,02
41,37200,007,01
41,37250,047,05
41,37400,005,05
41,37550,023,02
41,37650,005,05
41,37850,045,02
41,37900,063,02
41,38000,039,04
41,38150,045,02
41,38500,047,05
41,38900,033,04
41,39150,067,01
