PENNSYLVANIA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
42,00100,027,05
42,00104,125,09
42,00116,001,04
42,00244,095,17
42,00332,129,18
42,00364,011,16
42,00364,071,16
42,00372,039,03
42,00396,111,09
42,00540,071,16
42,00572,015,10
42,00628,049,03
42,00652,025,11
42,00660,077,15
42,00676,045,07
42,00756,061,05
42,00764,087,10
42,00820,007,12
42,00924,011,07
42,00980,061,05
42,00988,125,09
42,01004,087,10
42,02000,077,15
42,02016,119,10
42,02040,051,09
42,02056,003,12
42,02072,033,05
42,02088,037,11
42,02128,011,06
42,02144,107,17
42,02184,013,09
42,02264,091,13
42,02288,007,12
42,02349,011,07
42,02416,077,15
42,02608,075,15
42,02720,005,03
42,02752,005,03
42,02826,091,13
42,02832,069,10
42,02832,069,17
42,02896,045,07
42,02896,091,02
42,02928,001,04
42,02968,037,11
42,03008,089,10
42,03008,089,17
42,03032,063,09
42,03088,129,14
42,03096,051,09
42,03104,117,10
42,03120,129,18
42,03264,037,11
42,03264,107,17
42,03272,079,11
42,03296,021,09
42,03312,001,04
42,03320,003,12
42,03384,029,07
42,03392,015,10
42,03424,087,10
42,03440,039,03
42,03464,097,11
42,03472,125,18
42,03480,005,03
42,03488,107,17
42,03544,091,06
42,03576,105,05
42,03608,003,14
42,03616,125,18
42,03632,035,05
42,03640,079,17
42,03648,075,06
42,03648,075,15
42,03656,029,16
42,03676,049,03
42,03688,129,12
42,03736,007,12
42,03768,125,09
42,03792,027,05
42,03800,071,16
42,03816,003,12
42,03864,003,12
42,03928,003,14
42,03984,011,06
42,04032,095,17
42,04136,121,05
42,04344,087,10
42,04432,095,15
42,04488,011,06
42,04568,125,18
42,04599,079,11
42,04608,123,05
42,04616,051,09
42,04688,007,12
42,04768,021,12
42,04792,007,12
42,04816,025,11
42,04824,109,10
42,04848,109,10
42,04896,011,06
42,04944,009,09
42,04984,035,05
42,05028,079,11
42,05152,095,15
42,05216,003,12
42,05256,027,05
42,05288,051,09
42,05304,087,10
42,05312,003,14
42,05384,013,09
42,05400,021,12
42,05504,003,14
42,05520,003,14
42,05536,001,04
42,05648,111,12
42,05672,125,09
42,05680,037,11
42,05776,111,09
42,05848,011,06
42,05856,043,11
42,05888,037,11
42,05904,029,06
42,05936,073,03
42,05976,127,10
42,06000,011,15
42,06064,003,18
42,06088,077,15
42,06088,095,15
42,06088,095,17
42,06171,107,17
42,06236,069,10
42,06236,127,10
42,06240,007,12
42,06280,033,05
42,06296,001,04
42,06344,065,05
42,06490,103,10
42,06496,071,16
42,06504,011,06
42,06560,061,05
42,06744,063,09
42,06824,099,10
42,06904,063,09
42,06928,069,17
42,06960,027,05
42,06976,021,09
42,06984,011,06
42,07000,003,14
42,07040,099,10
42,07120,039,03
42,07128,037,11
42,07160,117,10
42,07208,071,16
42,07224,091,07
42,07224,091,13
42,07312,055,09
42,07368,027,05
42,07384,059,09
42,07472,041,11
42,07480,129,12
42,07560,001,04
42,07616,045,07
42,07688,003,18
42,07712,111,12
42,07800,011,15
42,07880,025,17
42,07896,071,16
42,07960,011,06
42,07976,003,14
42,07992,003,14
42,08008,003,14
42,08024,129,12
42,08040,083,05
42,08064,003,12
42,08208,107,17
42,08240,107,17
42,08312,059,18
42,08392,077,15
42,08416,003,14
42,08432,043,11
42,08472,037,11
42,08504,071,16
42,08568,091,13
42,08624,003,18
42,08632,007,12
42,08744,033,05
42,08760,017,08
42,08819,017,08
42,08896,061,09
42,08960,065,05
42,09000,089,17
42,09080,045,07
42,09224,065,05
42,09248,045,07
42,09400,021,12
42,09416,071,16
42,09432,051,09
42,09496,079,17
42,09528,019,03
42,09696,091,13
42,09728,091,02
42,09792,037,11
42,09896,107,17
42,10096,051,09
42,10128,125,18
42,10224,125,18
42,10240,015,10
42,10256,087,10
42,10280,033,05
42,10464,019,03
42,10600,047,05
42,10720,111,12
42,10768,125,09
42,10792,031,03
42,10800,019,03
42,10808,111,09
42,10816,029,07
42,10816,029,16
42,10832,129,18
42,10912,039,03
42,10960,075,15
42,11000,041,04
42,11072,039,03
42,11152,125,18
42,11160,015,10
42,11232,069,17
42,11272,041,11
42,11328,059,09
42,11336,003,18
42,11348,003,18
42,11456,021,12
42,11472,001,04
42,11576,001,04
42,11616,021,12
42,11624,111,12
42,11632,061,09
42,11648,035,05
42,11680,003,18
42,11720,077,15
42,11736,037,11
42,11804,125,18
42,11836,087,10
42,11976,077,15
42,12104,011,15
42,12184,039,03
42,12224,125,09
42,12296,111,12
42,12312,037,11
42,12376,027,05
42,12396,077,15
42,12496,003,14
42,12504,017,08
42,12512,051,09
42,12536,055,09
42,12656,095,15
42,12704,125,09
42,12864,079,11
42,13120,063,09
42,13152,019,03
42,13168,095,15
42,13208,045,01
42,13208,045,07
42,13216,029,06
42,13232,045,07
42,13240,033,05
42,13384,021,09
42,13392,003,14
42,13400,063,09
42,13408,073,12
42,13418,029,06
42,13418,045,07
42,13440,019,03
42,13480,069,10
42,13512,071,07
42,13596,087,10
42,13608,003,14
42,13632,071,16
42,13648,017,08
42,13704,003,14
42,13768,027,05
42,13776,123,05
42,13800,031,05
42,13832,085,03
42,13864,069,10
42,13880,069,10
42,13896,059,09
42,13952,071,16
42,13992,013,09
42,14000,125,18
42,14064,033,05
42,14160,075,15
42,14264,045,07
42,14296,003,18
42,14376,121,05
42,14520,063,09
42,14568,125,09
42,14584,009,09
42,14600,107,17
42,14640,061,09
42,14656,033,05
42,14712,029,16
42,14760,027,05
42,14800,039,03
42,14808,029,07
42,14896,125,18
42,15192,091,06
42,15232,045,01
42,15248,129,18
42,15328,043,11
42,15368,011,06
42,15384,071,16
42,15400,123,05
42,15416,021,12
42,15432,045,01
42,15464,063,09
42,15479,103,10
42,15584,071,16
42,15680,111,09
42,15744,039,03
42,15755,039,03
42,15760,039,03
42,15776,051,09
42,15808,019,03
42,15848,091,13
42,15872,007,12
42,15888,079,11
42,16056,077,15
42,16080,121,05
42,16128,077,15
42,16136,063,09
42,16144,003,14
42,16256,075,06
42,16272,017,08
42,16296,049,05
42,16304,065,05
42,16448,105,05
42,16568,079,11
42,16816,129,12
42,16816,129,18
42,16848,003,14
42,16960,049,03
42,17024,063,09
42,17040,065,05
42,17136,021,09
42,17152,107,17
42,17320,125,18
42,17416,133,04
42,17440,031,05
42,17448,017,08
42,17528,059,09
42,17680,107,17
42,17832,003,12
42,17840,033,05
42,17976,021,12
42,18000,021,12
42,18048,079,11
42,18072,133,04
42,18080,097,11
42,18088,069,10
42,18136,093,11
42,18152,045,01
42,18192,007,12
42,18256,011,15
42,18272,043,11
42,18312,111,12
42,18360,051,09
42,18400,005,03
42,18496,125,18
42,18568,051,09
42,18576,107,17
42,18608,009,09
42,18664,107,17
42,18736,089,17
42,18768,129,12
42,18800,133,04
42,18888,071,16
42,18960,129,12
42,18998,077,15
42,19040,029,06
42,19048,097,10
42,19160,069,17
42,19161,063,09
42,19208,133,04
42,19432,107,17
42,19472,129,18
42,19536,125,09
42,19576,003,14
42,19584,077,15
42,19680,011,07
42,19696,133,04
42,19752,029,06
42,19784,017,08
42,19856,003,14
42,19920,045,07
42,19976,023,05
42,20080,059,09
42,20096,011,06
42,20104,017,08
42,20136,033,05
42,20144,081,10
42,20152,061,09
42,20216,051,09
42,20240,099,11
42,20248,013,09
42,20328,125,09
42,20336,021,12
42,20352,069,17
42,20416,035,05
42,20424,079,17
42,20432,003,14
42,20512,079,17
42,20528,113,10
42,20634,069,10
42,20648,113,10
42,20662,029,06
42,20664,027,05
42,20672,091,06
42,20704,009,09
42,20776,095,17
42,20792,001,04
42,20800,079,11
42,20840,031,03
42,20904,019,03
42,20992,021,12
42,21064,071,16
42,21176,013,09
42,21200,091,06
42,21384,045,01
42,21400,095,17
42,21444,003,14
42,21648,095,17
42,21688,071,16
42,21712,003,14
42,21728,133,04
42,21752,007,12
42,21786,067,10
42,21792,067,10
42,21816,025,11
42,21872,089,10
42,21960,051,09
42,21968,007,12
42,21976,129,12
42,22016,125,18
42,22104,133,04
42,22128,019,03
42,22144,021,12
42,22264,007,12
42,22280,017,08
42,22296,045,01
42,22344,051,09
42,22352,011,15
42,22520,003,14
42,22528,097,11
42,22576,003,18
42,22600,111,12
42,22608,049,05
42,22672,079,11
42,22680,089,17
42,22696,077,15
42,22712,021,12
42,22736,125,18
42,22800,125,09
42,22832,005,03
42,22888,083,05
42,22960,049,05
42,22976,021,12
42,22992,003,18
42,23016,071,16
42,23024,043,11
42,23152,117,10
42,23280,073,12
42,23296,125,18
42,23304,007,12
42,23304,073,12
42,23392,125,18
42,23440,029,07
42,23472,097,11
42,23540,089,17
42,23560,133,04
42,23568,031,05
42,23568,121,05
42,23584,077,15
42,23600,023,05
42,23616,003,14
42,23688,107,17
42,23704,043,11
42,23720,003,18
42,23744,041,04
42,23768,073,12
42,23832,071,16
42,24000,049,03
42,24040,063,09
42,24088,037,11
42,24160,003,14
42,24240,091,06
42,24240,091,07
42,24248,019,03
42,24304,009,09
42,24336,051,09
42,24392,079,17
42,24432,129,12
42,24440,029,06
42,24448,037,11
42,24488,131,11
42,24536,051,09
42,24544,059,09
42,24560,001,04
42,24664,051,09
42,24712,017,08
42,24832,019,03
42,24856,049,03
42,24948,097,11
42,25136,033,05
42,25136,065,05
42,25152,007,12
42,25168,071,16
42,25248,071,16
42,25280,051,09
42,25360,085,03
42,25416,133,04
42,25420,103,10
42,25424,081,10
42,25456,051,09
42,25464,055,09
42,25496,017,08
42,25568,129,18
42,25584,133,04
42,25680,021,12
42,25744,037,11
42,25752,019,03
42,25944,125,18
42,26232,071,16
42,26280,011,06
42,26296,035,05
42,26328,001,04
42,26376,091,07
42,26376,091,13
42,26397,011,06
42,26408,045,01
42,26432,045,07
42,26488,013,09
42,26504,047,05
42,26512,005,03
42,26520,005,03
42,26560,115,10
42,26592,003,14
42,26704,107,17
42,26760,113,10
42,26812,075,15
42,26824,055,09
42,26872,091,07
42,26872,091,13
42,26880,079,11
42,26960,083,05
42,26984,037,11
42,27008,077,15
42,27024,107,17
42,27112,031,05
42,27120,003,12
42,27130,011,06
42,27207,019,03
42,27232,107,17
42,27312,007,12
42,27360,021,12
42,27456,121,05
42,27552,003,12
42,27576,133,04
42,27648,039,03
42,27656,075,15
42,27672,125,09
42,27688,085,03
42,27696,109,10
42,27712,007,12
42,27744,079,11
42,27760,095,17
42,27784,005,03
42,27928,111,12
42,27936,107,17
42,27968,115,10
42,28014,073,03
42,28128,011,15
42,28144,077,15
42,28280,105,05
42,28328,021,09
42,28376,071,07
42,28456,081,10
42,28488,001,04
42,28520,111,09
42,28600,125,18
42,28720,021,12
42,28768,039,03
42,28824,007,12
42,28828,071,07
42,28832,079,17
42,28960,001,04
42,29000,011,07
42,29040,003,12
42,29088,107,17
42,29096,091,06
42,29232,049,03
42,29264,107,17
42,29392,007,12
42,29432,003,14
42,29496,069,10
42,29512,063,09
42,29568,095,17
42,29592,003,14
42,29632,033,05
42,29680,079,11
42,29720,045,01
42,29720,045,07
42,29732,003,12
42,29760,133,04
42,29800,003,12
42,29808,091,13
42,30013,103,10
42,30016,133,04
42,30096,071,16
42,30128,107,17
42,30136,071,07
42,30192,011,07
42,30192,011,16
42,30200,089,17
42,30200,127,10
42,30224,063,09
42,30280,033,05
42,30435,133,04
42,30472,087,10
42,30512,129,18
42,30528,033,05
42,30600,043,11
42,30704,013,09
42,30728,115,10
42,30896,055,09
42,31038,011,06
42,31082,125,18
42,31088,091,08
42,31120,003,18
42,31192,059,09
42,31200,129,18
42,31208,015,10
42,31256,003,14
42,31328,085,03
42,31368,013,09
42,31536,107,17
42,31568,011,06
42,31592,051,09
42,31656,085,03
42,31716,055,09
42,31840,039,03
42,32024,091,06
42,32032,043,11
42,32056,133,04
42,32080,115,10
42,32120,011,15
42,32320,001,04
42,32384,121,05
42,32448,133,04
42,32600,079,11
42,32616,091,08
42,32656,039,03
42,32688,019,03
42,32800,043,04
42,32800,043,11
42,32864,129,18
42,32896,019,03
42,32936,119,10
42,32976,039,03
42,33000,079,11
42,33024,003,14
42,33072,121,05
42,33080,021,09
42,33088,091,13
42,33112,091,08
42,33154,045,07
42,33154,091,02
42,33184,033,05
42,33200,127,10
42,33216,031,03
42,33312,003,12
42,33408,079,11
42,33504,075,06
42,33528,107,17
42,33576,107,17
42,33592,003,18
42,33632,001,04
42,33672,063,09
42,33744,095,15
42,33772,103,10
42,33840,125,18
42,34008,011,06
42,34048,129,18
42,34064,085,03
42,34080,097,11
42,34144,043,15
42,34256,125,18
42,34308,079,11
42,34592,087,10
42,34664,043,11
42,34776,079,17
42,34784,051,09
42,35120,077,15
42,35172,025,11
42,35224,013,09
42,35364,019,03
42,35408,063,09
42,35424,003,14
42,35448,107,17
42,35488,007,12
42,35520,127,10
42,35528,029,07
42,35576,007,12
42,35608,111,12
42,35624,115,10
42,35632,071,16
42,35648,009,09
42,35728,051,09
42,35800,091,07
42,35800,091,13
42,35872,129,18
42,35888,027,05
42,35896,125,18
42,35928,033,05
42,35960,027,05
42,36064,027,05
42,36096,079,17
42,36152,079,17
42,36160,081,10
42,36192,017,08
42,36232,043,15
42,36240,109,10
42,36288,129,18
42,36352,001,04
42,36368,061,05
42,36568,033,05
42,36576,011,16
42,36592,129,12
42,36616,039,03
42,36640,009,09
42,36712,001,04
42,36768,003,18
42,36816,063,09
42,36888,111,09
42,36904,025,11
42,36904,089,17
42,36944,007,12
42,37000,003,14
42,37008,079,17
42,37016,071,07
42,37024,037,11
42,37192,033,05
42,37208,129,18
42,37304,017,08
42,37496,085,03
42,37545,027,05
42,37552,063,09
42,37584,011,06
42,37640,133,04
42,37656,047,05
42,37696,085,03
42,37728,037,11
42,37784,129,18
42,37792,079,11
42,37880,059,09
42,37944,133,04
42,37955,003,18
42,38000,091,13
42,38048,111,12
42,38096,069,17
42,38104,111,12
42,38128,081,10
42,38152,037,11
42,38160,069,17
42,38200,025,17
42,38240,125,18
42,38248,047,05
42,38288,021,12
42,38392,037,11
42,38400,075,15
42,38528,027,05
42,38640,087,10
