RHODE ISLAND CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
44,03520,009,02
44,08020,009,02
44,12340,009,02
44,14140,007,01
44,14860,007,02
44,15940,007,02
44,19180,007,02
44,20260,007,01
44,22960,007,01
44,27640,007,02
44,31240,003,02
44,31600,007,01
44,33040,007,02
44,33400,007,02
44,34660,009,02
44,38980,009,02
44,45010,005,01
44,46000,009,02
44,48700,009,02
44,49960,005,01
44,50140,005,01
44,54460,007,02
44,54640,007,01
44,59000,007,01
44,59000,007,02
44,60260,009,02
44,70700,005,01
44,72500,007,01
44,73130,009,02
44,74300,003,02
44,75200,009,02
44,75920,009,02
44,76820,009,02
44,80780,007,01
44,80960,009,02
