SOUTH CAROLINA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
45,00100,001,03
45,00550,003,02
45,00775,027,06
45,00955,005,06
45,01360,007,03
45,01450,043,07
45,01450,089,06
45,01810,001,03
45,02080,083,04
45,02125,079,02
45,02440,077,03
45,03205,051,07
45,03385,019,01
45,03430,051,07
45,03790,009,06
45,04060,011,02
45,04300,063,02
45,04300,081,03
45,04690,013,01
45,04690,013,06
45,05365,007,03
45,05410,003,02
45,05680,069,07
45,05770,045,04
45,06040,055,05
45,06310,061,05
45,06400,021,05
45,06490,011,02
45,06850,069,07
45,07210,013,01
45,07255,039,05
45,07255,079,02
45,07345,083,04
45,07525,015,01
45,07535,015,01
45,07840,075,06
45,08110,055,05
45,08155,047,03
45,08245,075,06
45,08830,051,07
45,09527,075,06
45,09865,049,06
45,10000,051,07
45,10090,087,05
45,10270,003,02
45,10360,013,01
45,10360,013,06
45,10720,001,03
45,10855,055,05
45,10900,017,06
45,11125,083,04
45,11350,085,05
45,11755,087,05
45,12430,091,05
45,12655,063,02
45,12655,079,06
45,12965,007,03
45,13015,077,03
45,13060,083,04
45,13150,063,02
45,13330,015,01
45,13330,015,06
45,13330,019,01
45,13330,019,06
45,13600,025,07
45,14018,085,05
45,14050,021,05
45,14050,083,05
45,14095,023,05
45,14140,025,07
45,14455,045,04
45,14590,065,03
45,14860,003,02
45,14950,007,03
45,14950,077,03
45,15220,083,04
45,15295,059,03
45,15310,069,07
45,15355,091,05
45,15625,047,03
45,16000,063,02
45,16000,079,02
45,16000,079,06
45,16360,083,04
45,16405,051,07
45,16720,075,02
45,16855,075,02
45,16945,047,03
45,16990,029,06
45,17215,041,07
45,17260,083,04
45,17845,083,04
45,17890,059,03
45,18430,085,05
45,18565,031,07
45,19105,009,06
45,19285,079,02
45,19285,079,06
45,19420,033,07
45,19870,001,03
45,21040,001,03
45,21265,083,04
45,21310,045,04
45,21985,007,03
45,21985,077,03
45,22075,021,05
45,22390,079,06
45,22547,085,05
45,22547,085,06
45,22795,037,03
45,22997,075,06
45,23020,029,01
45,23200,009,06
45,23245,055,05
45,23290,057,05
45,23335,011,02
45,23470,075,06
45,23605,083,04
45,23830,049,06
45,24020,023,05
45,24100,075,06
45,24370,005,06
45,24505,083,04
45,24730,007,03
45,24730,073,03
45,25360,083,05
45,25540,045,04
45,25810,041,07
45,26035,019,01
45,26305,079,02
45,26305,079,06
45,26372,051,07
45,26845,023,05
45,26890,091,05
45,27070,045,03
45,27070,059,03
45,27835,049,06
45,27970,079,06
45,28060,021,05
45,28375,045,03
45,28375,045,04
45,28455,051,07
45,28780,063,02
45,28825,023,05
45,28870,043,07
45,29005,049,06
45,29050,063,02
45,29275,083,04
45,29410,003,02
45,29635,045,03
45,29815,015,01
45,29815,015,06
45,29815,019,01
45,29950,009,06
45,30220,083,04
45,30265,003,02
45,30355,059,03
45,30490,023,05
45,30535,089,06
45,30850,045,04
45,30895,047,03
45,30985,045,04
45,30985,083,04
45,31885,049,06
45,32065,015,01
45,32065,015,06
45,32245,053,06
45,32335,035,06
45,32560,031,07
45,32965,057,05
45,33145,089,06
45,33640,091,05
45,33820,011,02
45,34045,013,01
45,34225,047,03
45,34360,075,06
45,34495,019,01
45,34495,019,06
45,34720,007,03
45,34810,001,03
45,34810,007,03
45,34990,079,06
45,35635,091,05
45,35755,083,04
45,35800,083,04
45,35890,063,02
45,35890,079,02
45,35980,057,05
45,36070,029,06
45,36115,019,01
45,36160,007,03
45,36205,003,02
45,36250,029,06
45,36475,015,06
45,36610,025,07
45,36655,039,05
45,36790,059,03
45,37105,041,07
45,37150,037,03
45,37330,087,05
45,37465,045,04
45,38095,057,05
45,38162,019,01
45,38590,089,06
45,38950,011,02
45,39220,015,01
45,39220,019,01
45,39310,041,06
45,39475,079,02
45,39512,001,03
45,39715,033,07
45,39772,085,05
45,39785,091,05
45,39805,031,07
45,39895,057,05
45,40075,083,04
45,40210,089,06
45,40390,003,02
45,40480,033,07
45,40525,013,01
45,40525,013,06
45,40615,059,03
45,41065,091,05
45,41335,063,02
45,41380,077,03
45,41740,019,01
45,41740,035,01
45,41965,071,05
45,42010,051,07
45,42100,075,02
45,42190,087,05
45,42280,029,06
45,42730,051,07
45,42820,001,03
45,42865,023,05
45,43000,055,05
45,43090,049,06
45,43135,031,07
45,43315,083,04
45,43360,061,05
45,43495,025,07
45,43585,019,01
45,43630,069,07
45,43675,091,05
45,43720,065,03
45,44350,027,06
45,44575,067,07
45,45115,045,04
45,45295,085,06
45,45430,083,05
45,45790,019,06
45,47050,065,03
45,47200,087,05
45,47275,015,01
45,47320,003,02
45,47320,081,03
45,48310,065,03
45,48355,025,07
45,48535,019,01
45,48670,059,03
45,48737,085,05
45,48737,085,06
45,48805,067,07
45,48900,037,03
45,48985,043,07
45,49075,051,07
45,49390,075,02
45,49570,071,03
45,49570,071,05
45,49705,003,02
45,49885,091,05
45,49975,073,03
45,50110,067,07
45,50290,047,03
45,50515,077,03
45,50560,075,02
45,50695,003,02
45,50695,037,03
45,50875,015,01
45,50875,019,01
45,50875,019,06
45,50875,035,01
45,51145,031,07
45,51180,007,03
45,51280,051,07
45,51550,075,02
45,51720,063,02
45,51887,085,05
45,52540,041,06
45,52585,009,06
45,53080,075,06
45,53485,085,05
45,53845,083,04
45,54025,025,07
45,54340,041,07
45,54535,045,04
45,54700,065,03
45,54925,025,07
45,55015,043,07
45,55060,027,06
45,55150,071,05
45,55420,063,02
45,55465,007,03
45,55645,007,03
45,55960,003,02
45,56140,077,03
45,56365,007,03
45,56365,045,03
45,56950,063,02
45,57085,085,05
45,57175,015,01
45,57670,065,03
45,57850,071,05
45,58030,013,01
45,58165,007,03
45,58435,059,03
45,58570,085,05
45,58615,047,03
45,58705,071,05
45,58795,041,07
45,59020,019,06
45,59110,063,02
45,59190,051,07
45,59380,035,06
45,59425,083,04
45,59470,085,05
45,59920,023,05
45,60280,053,06
45,60325,081,03
45,60370,035,06
45,60415,039,05
45,61112,091,05
45,61405,091,05
45,61495,019,01
45,61720,083,04
45,62035,075,06
45,62080,025,07
45,62305,015,06
45,62395,079,02
45,62395,079,06
45,62530,035,06
45,62620,017,06
45,62755,015,06
45,62980,073,03
45,63115,003,02
45,63250,081,03
45,63665,015,01
45,63700,045,04
45,63790,075,06
45,64240,083,04
45,64465,049,06
45,64600,041,07
45,64712,019,01
45,65005,067,07
45,65095,073,03
45,65207,063,02
45,65410,091,05
45,65680,013,01
45,65950,085,06
45,66400,071,03
45,66580,045,04
45,66760,077,03
45,66917,045,04
45,67165,029,06
45,67210,021,05
45,67210,091,05
45,67255,011,02
45,67390,051,07
45,67435,031,07
45,67705,063,02
45,67750,083,04
45,68177,085,05
45,68177,085,06
45,68290,083,04
45,68380,057,05
45,68425,063,02
45,68470,075,02
45,68875,007,03
45,68920,083,04
45,69010,085,05
45,70045,089,06
45,70090,019,01
45,70225,027,06
45,70270,015,01
45,70270,019,01
45,70270,035,01
45,70315,063,02
45,70405,085,05
45,70405,085,06
45,70585,051,07
45,70675,063,02
45,70900,005,06
45,71305,069,07
45,71395,045,04
45,71417,091,05
45,71890,045,04
