TENNESSEE CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
47,00200,147,06
47,00240,071,07
47,00240,109,07
47,00440,033,08
47,00540,009,02
47,00620,041,06
47,00640,141,06
47,00660,049,06
47,00940,061,04
47,01220,001,03
47,01480,065,03
47,01640,055,07
47,01640,103,04
47,01740,157,08
47,02180,021,05
47,02320,107,03
47,02340,167,08
47,02380,017,08
47,02400,015,06
47,02780,059,01
47,03078,089,01
47,03120,171,01
47,03440,157,08
47,03680,141,06
47,03760,057,02
47,04240,061,04
47,04460,003,04
47,04620,037,05
47,04720,033,08
47,05040,139,03
47,05140,037,05
47,05380,109,07
47,05500,165,06
47,05860,005,07
47,06340,057,02
47,06640,163,01
47,06740,163,01
47,06960,163,01
47,07180,069,07
47,07280,081,07
47,07620,035,06
47,07840,047,08
47,07860,053,08
47,08080,165,06
47,08280,187,07
47,08500,167,08
47,08540,163,01
47,08920,075,08
47,08960,017,08
47,09560,073,01
47,09860,167,08
47,09880,043,05
47,10180,137,06
47,10440,107,03
47,10560,005,07
47,11280,159,06
47,11360,013,03
47,11440,165,06
47,11980,147,06
47,12100,027,06
47,12380,177,04
47,12420,081,07
47,12460,019,01
47,12880,117,04
47,13020,011,04
47,13080,043,05
47,14000,065,03
47,14220,077,07
47,14980,073,01
47,15120,049,06
47,15140,017,08
47,15160,125,07
47,15400,011,04
47,15480,181,07
47,15580,001,03
47,15880,129,03
47,15920,061,04
47,16300,065,03
47,16420,047,08
47,16420,157,08
47,16480,181,07
47,16500,163,01
47,16540,119,04
47,16540,119,07
47,16920,141,06
47,16980,147,06
47,17000,139,03
47,17180,117,04
47,17340,079,08
47,17420,165,06
47,17680,167,08
47,17700,051,04
47,17840,035,06
47,18420,147,06
47,18540,035,06
47,18620,071,07
47,18820,161,07
47,18880,025,02
47,19380,089,02
47,19500,077,07
47,19700,143,04
47,19880,121,04
47,19900,039,07
47,19920,051,04
47,20620,043,05
47,20930,087,06
47,21400,161,07
47,21420,041,06
47,21500,185,06
47,21540,183,08
47,21740,139,03
47,22000,153,04
47,22180,053,08
47,22200,045,08
47,22340,009,02
47,22360,149,04
47,22500,011,04
47,22720,065,03
47,22920,109,07
47,23440,151,03
47,23500,019,01
47,23660,055,07
47,24040,107,03
