TEXAS CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
48,00100,217,25
48,00160,189,19
48,00160,303,19
48,01000,253,19
48,01000,441,19
48,01060,215,28
48,01108,115,11
48,01108,317,11
48,01240,113,24
48,01324,359,13
48,01390,141,23
48,01396,355,27
48,01420,479,28
48,01500,427,28
48,01514,047,15
48,01576,215,15
48,01576,215,34
48,01600,029,21
48,01636,379,04
48,01636,499,05
48,01648,417,19
48,01696,201,18
48,01696,201,29
48,01744,367,12
48,01816,249,34
48,01852,249,34
48,01858,249,34
48,01924,085,03
48,02044,139,06
48,02104,043,23
48,02188,073,05
48,02194,427,28
48,02212,215,15
48,02260,251,25
48,02272,039,14
48,02272,039,22
48,02284,497,13
48,02286,427,28
48,02290,249,34
48,03000,375,13
48,03000,381,13
48,03008,507,23
48,03072,291,36
48,03084,279,19
48,03096,465,23
48,03126,427,28
48,03144,071,36
48,03192,185,08
48,03216,003,11
48,03264,039,14
48,03288,349,06
48,03300,085,03
48,03300,085,04
48,03336,367,12
48,03340,367,12
48,03342,367,12
48,03360,387,04
48,03372,253,19
48,03432,141,16
48,03540,219,19
48,03564,347,01
48,03588,217,25
48,03600,007,27
48,03600,355,27
48,03600,409,27
48,03696,009,13
48,03708,157,09
48,03708,157,22
48,03768,121,26
48,04000,439,06
48,04000,439,33
48,04156,423,01
48,04174,061,34
48,04176,061,34
48,04300,127,23
48,04408,433,19
48,04462,201,02
48,04504,213,05
48,04516,067,04
48,04600,121,26
48,04672,497,12
48,05000,209,25
48,05000,453,10
48,05000,453,17
48,05000,453,21
48,05000,453,25
48,05000,453,35
48,05000,491,31
48,05036,391,27
48,05072,387,04
48,05084,067,04
48,05168,367,12
48,05168,439,12
48,05180,167,14
48,05264,147,04
48,05288,039,14
48,05336,059,11
48,05372,113,05
48,05372,113,30
48,05384,029,20
48,05456,399,11
48,05468,389,23
48,05520,427,28
48,05528,019,21
48,05552,049,11
48,05576,355,27
48,05612,139,06
48,05690,427,28
48,05696,201,36
48,05708,349,06
48,05720,475,23
48,05732,027,31
48,05732,491,31
48,05750,453,21
48,05768,121,26
48,05864,021,10
48,05864,021,27
48,05924,507,23
48,05984,321,27
48,06060,167,14
48,06104,391,27
48,06128,071,36
48,06128,201,36
48,06140,061,34
48,06200,071,36
48,06242,209,25
48,06272,157,22
48,07000,245,14
48,07108,365,01
48,07132,439,24
48,07144,185,08
48,07156,453,21
48,07156,453,25
48,07192,025,34
48,07300,201,07
48,07396,077,13
48,07408,309,17
48,07420,181,04
48,07432,015,10
48,07492,027,31
48,07528,131,15
48,07552,439,12
48,07636,275,13
48,07642,427,28
48,07852,213,05
48,07864,053,25
48,08104,309,17
48,08128,245,14
