UTAH CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
49,00540,049,03
49,00650,035,03
49,00760,013,01
49,00870,025,02
49,01090,005,01
49,01310,049,03
49,01310,049,04
49,01530,037,03
49,01750,041,02
49,01860,017,02
49,01905,053,02
49,02740,041,02
49,02960,005,01
49,03345,047,01
49,03950,003,01
49,04060,001,02
49,04720,049,04
49,05050,005,01
49,05380,021,02
49,05490,055,02
49,05534,025,02
49,06370,037,03
49,06590,013,01
49,06700,037,03
49,06810,035,04
49,06920,047,01
49,07470,017,02
49,07690,011,02
49,08020,021,02
49,08460,003,01
49,08787,017,02
49,09725,005,01
49,10330,017,02
49,10440,007,03
49,10660,015,03
49,11000,019,03
49,11320,021,02
49,11430,049,04
49,11440,049,03
49,11870,039,02
49,11980,011,02
49,12200,053,02
49,12260,041,02
49,12420,051,03
49,12970,031,02
49,13190,005,01
49,13300,015,03
49,13740,007,03
49,13850,011,01
49,14070,015,03
49,14290,011,01
49,14840,043,01
49,15720,035,04
49,15830,003,01
49,15940,005,01
49,16270,035,03
49,16490,005,01
49,18090,053,02
49,18140,051,03
49,18910,027,02
49,19020,027,02
49,19680,003,01
49,20120,035,03
49,20120,035,04
49,20120,049,03
49,20340,013,01
49,20450,045,02
49,20780,009,01
49,20810,049,04
49,20890,007,03
49,21880,043,01
49,21990,057,01
49,22210,049,04
49,22370,049,03
49,22540,015,03
49,22650,041,02
49,22760,003,01
49,22870,015,03
49,22875,035,02
49,23200,021,02
49,23310,029,01
49,23420,053,02
49,23530,039,02
49,23640,045,02
49,23750,017,02
49,24080,023,02
49,24410,049,04
49,24630,039,04
49,24740,011,01
49,24740,011,02
49,24850,057,01
49,25070,039,02
49,25180,015,03
49,25290,003,01
49,25510,027,02
49,25910,009,01
49,26610,047,01
49,26720,039,04
49,26940,043,01
49,27270,055,02
49,27490,011,01
49,27490,011,02
49,27902,033,01
49,27930,033,01
49,28150,003,01
49,28810,049,04
49,29360,025,02
49,29580,041,02
49,30130,049,04
49,30900,035,03
49,31120,045,02
49,31670,015,03
49,32660,039,02
49,33002,037,03
49,33027,037,03
49,33100,055,02
49,33540,057,01
49,33760,017,02
49,34200,051,03
49,34530,007,03
49,34640,043,01
49,34750,017,02
49,34970,035,04
49,35120,051,03
49,35190,049,03
49,35300,053,02
49,35740,027,02
49,35960,027,02
49,36070,035,03
49,36290,003,01
49,36400,057,01
49,36620,003,01
49,36730,043,01
49,36950,015,03
49,37060,057,01
49,37170,053,02
49,37390,005,01
49,37500,005,01
49,37690,051,03
49,38710,053,02
49,39040,047,01
49,39370,041,02
49,39590,031,02
49,39810,043,01
49,39920,025,02
49,40030,021,02
49,40250,027,02
49,40360,011,01
49,40360,011,02
49,40470,035,02
49,40470,035,04
49,41020,007,03
49,41350,031,02
49,41680,041,02
49,42230,049,04
49,42560,033,01
49,43110,037,03
49,43440,053,02
49,43660,011,01
49,43880,027,02
49,44100,053,02
49,44320,049,03
49,44320,049,04
49,44650,023,04
49,44760,005,01
49,44870,057,01
49,45090,049,03
49,45530,055,02
49,45860,005,01
49,46410,055,02
49,46740,027,02
49,47180,047,01
49,47290,035,02
49,47620,009,01
49,47730,039,02
49,47840,003,01
49,47950,049,03
49,48170,043,01
49,48300,057,01
49,48610,031,02
49,48720,039,02
49,48830,027,02
49,49160,005,01
49,49380,037,03
49,49710,035,03
49,49710,035,04
49,49820,051,03
49,50040,001,02
49,50150,035,03
49,50150,035,04
49,50370,005,01
49,50590,001,02
49,50700,019,03
49,51140,023,04
49,51360,041,02
49,51470,037,03
49,51580,037,03
49,51910,029,01
49,52130,039,04
49,52460,029,01
49,53010,039,04
49,53230,035,03
49,53230,035,04
49,53340,013,01
49,53560,047,01
49,53890,037,03
49,54110,013,01
49,54220,023,04
49,54330,021,02
49,54440,053,02
49,54550,005,01
49,54660,005,01
49,54990,005,01
49,55100,057,01
49,55210,011,02
49,55430,027,02
49,55650,043,01
49,55760,027,02
49,55980,057,01
49,56440,037,03
49,56750,045,02
49,56860,015,03
49,57080,025,02
49,57300,049,03
49,57630,049,03
49,57630,049,04
49,57740,017,02
49,57850,005,01
49,57960,021,02
49,58070,043,01
49,58070,051,03
49,58510,021,02
49,58730,049,03
49,58730,049,04
49,59280,043,01
49,59390,003,01
49,59555,005,01
49,60270,053,02
49,60710,057,01
49,60930,049,03
49,61150,057,01
49,61260,003,01
49,61590,003,01
49,62030,007,03
49,62360,005,01
49,62470,049,03
49,62910,047,01
49,63020,033,01
49,63240,041,02
49,63570,041,02
49,63680,005,01
49,64010,057,01
49,64120,005,01
49,64230,003,01
49,64340,035,04
49,64560,053,02
49,64590,023,04
49,64670,013,01
49,65110,057,01
49,65240,045,02
49,65330,053,02
49,65770,049,03
49,65880,041,02
49,67000,035,02
49,67000,035,04
49,67400,043,01
49,67440,035,03
49,67440,035,04
49,67660,053,02
49,67770,023,04
49,67770,049,03
49,67770,049,04
49,67825,049,04
49,67880,027,02
49,67990,007,03
49,68650,041,02
49,69280,043,01
49,69640,005,01
49,69970,003,01
49,70190,043,01
49,70850,035,04
49,70960,057,01
49,71070,035,04
49,71180,011,01
49,71255,003,01
49,71290,049,03
49,71290,049,04
49,71455,037,03
49,71730,039,04
49,71840,053,02
49,72060,007,03
49,72170,049,03
49,72280,049,03
49,72280,049,04
49,72720,045,02
49,72940,039,02
49,73050,045,02
49,74040,021,02
49,74095,043,01
49,74370,007,03
49,74480,011,01
49,74590,027,02
49,74810,011,01
49,74920,013,01
49,75360,035,04
49,75470,055,02
49,75800,003,01
49,76180,019,03
49,76280,051,03
49,76680,045,02
49,76900,053,02
49,77010,055,02
49,77120,003,01
49,77230,005,01
49,77560,017,02
49,77697,037,03
49,77890,057,01
49,80090,047,01
49,80200,045,02
49,80310,053,02
49,80420,049,03
49,80530,053,02
49,80860,039,04
49,80970,051,03
49,81190,043,01
49,81960,053,02
49,82070,057,01
49,82510,007,03
49,82620,005,01
49,82730,045,02
49,82840,011,02
49,82930,057,01
49,82950,035,04
49,83252,049,04
49,83390,011,01
49,83470,035,02
49,83470,035,04
49,83730,007,03
49,84050,035,03
49,84095,037,03
49,84160,047,01
49,84710,003,01
49,84950,057,01
49,85040,043,01
49,85050,049,03
49,85260,033,01
49,85370,011,02
