VIRGINIA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
51,00148,191,09
51,00180,001,02
51,00468,173,09
51,00724,025,05
51,01000,510,08
51,01256,155,09
51,01528,031,05
51,01640,007,07
51,01672,009,06
51,01912,059,08
51,01912,059,11
51,02040,195,09
51,02064,187,06
51,02072,011,05
51,02112,179,01
51,02248,107,10
51,03000,013,08
51,03208,125,05
51,03320,107,10
51,03368,085,01
51,03512,173,09
51,03528,001,02
51,03608,015,06
51,04088,059,08
51,04088,059,11
51,04856,117,05
51,04872,089,09
51,04920,171,06
51,05200,001,02
51,05336,061,01
51,05544,515,05
51,05912,001,02
51,05912,131,02
51,05928,059,08
51,06216,041,04
51,06216,041,07
51,06275,107,10
51,06336,165,06
51,06424,155,09
51,06512,121,09
51,06712,093,03
51,06728,041,07
51,06968,043,10
51,07160,199,02
51,07400,019,06
51,07480,195,09
51,07784,121,09
51,07832,135,07
51,07944,143,05
51,07976,021,09
51,08120,001,02
51,08152,185,09
51,08200,023,06
51,08264,109,07
51,08320,001,02
51,08472,041,07
51,08584,067,05
51,08675,001,02
51,08708,179,01
51,08888,033,01
51,08984,043,10
51,09016,117,05
51,09032,175,04
51,09064,117,05
51,09188,107,10
51,09208,175,04
51,09248,041,07
51,09656,165,06
51,09752,113,05
51,09816,520,09
51,09952,107,10
51,10040,165,06
51,10072,025,05
51,10072,117,05
51,10296,031,05
51,10744,023,06
51,10776,153,01
51,10776,153,10
51,10856,029,05
51,11032,530,06
51,11230,153,01
51,11245,153,10
51,11464,059,10
51,11464,059,11
51,11470,059,11
51,11560,135,07
51,12136,005,09
51,12264,061,01
51,12264,061,05
51,12590,093,03
51,12600,035,09
51,12808,131,02
51,12904,175,04
51,12915,001,02
51,13160,093,03
51,13192,093,03
51,13403,107,10
51,13512,167,09
51,13624,061,01
51,13635,001,02
51,13720,161,06
51,13784,185,09
51,14312,101,01
51,14440,059,10
51,14440,059,11
51,14544,087,07
51,14744,059,10
51,14904,036,04
51,14952,037,05
51,14968,540,05
51,14984,117,05
51,14995,001,02
51,15000,143,05
51,15048,089,05
51,15112,131,02
51,15176,153,01
51,15176,153,11
51,16000,550,03
51,16000,550,04
51,16096,041,04
51,16240,157,05
51,16240,187,06
51,16480,173,09
51,16512,001,02
51,16608,121,09
51,16736,015,06
