WASHINGTON CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
53,00100,027,06
53,00135,027,06
53,00275,073,01
53,00380,065,05
53,00800,077,04
53,00905,063,05
53,01010,075,05
53,01045,053,08
53,01150,053,08
53,01150,053,10
53,01185,061,02
53,01255,057,02
53,01290,033,08
53,01430,045,06
53,01500,043,05
53,01745,069,03
53,01780,027,06
53,01850,011,03
53,01920,033,01
53,01990,057,02
53,02060,053,10
53,02585,061,02
53,02620,061,01
53,02910,053,06
53,03005,053,08
53,03075,003,05
53,03180,033,08
53,03180,053,08
53,03736,035,06
53,04100,035,06
53,04125,025,04
53,04195,011,03
53,04300,033,01
53,04347,019,05
53,04370,019,05
53,04405,021,04
53,04475,011,03
53,04615,049,03
53,04790,057,02
53,04895,033,09
53,05140,045,06
53,05210,033,09
53,05245,009,06
53,05280,073,02
53,05560,005,04
53,05735,035,06
53,05980,039,03
53,06050,057,01
53,06050,057,02
53,06085,039,03
53,06190,073,01
53,06330,033,08
53,06505,073,01
53,06855,009,06
53,07170,053,08
53,07380,033,01
53,07380,061,01
53,07390,061,01
53,07395,061,01
53,07395,061,02
53,07397,033,07
53,07397,033,09
53,07485,019,05
53,07590,027,06
53,07695,035,06
53,07835,047,04
53,07870,017,04
53,07940,061,02
53,08080,031,06
53,08335,053,09
53,08465,011,03
53,08500,061,01
53,08500,061,02
53,08552,033,09
53,08570,053,08
53,08605,067,03
53,08640,077,04
53,08770,061,01
53,08780,071,04
53,08850,033,07
53,08885,035,06
53,08920,057,02
53,09480,011,03
53,09810,053,06
53,09820,061,01
53,09970,053,08
53,10075,009,06
53,10215,033,01
53,10320,059,03
53,10455,025,04
53,10495,007,08
53,10565,015,03
53,10600,061,01
53,10635,069,03
53,10645,061,01
53,11090,039,03
53,11160,041,03
53,11195,027,06
53,11325,061,01
53,11475,041,03
53,11615,007,08
53,11685,007,08
53,11825,063,05
53,12015,011,03
53,12140,065,05
53,12175,035,06
53,12315,049,03
53,12525,009,06
53,12630,003,05
53,12680,003,05
53,12735,065,05
53,12820,053,08
53,12840,057,01
53,12875,061,01
53,12945,037,08
53,13015,077,04
53,13155,029,02
53,13215,053,10
53,13365,033,01
53,13595,027,06
53,13785,075,05
53,13855,071,05
53,13890,075,05
53,14170,065,05
53,14310,047,04
53,14380,057,01
53,14485,021,04
53,14520,057,02
53,14660,027,06
53,14870,027,06
53,14940,033,01
53,15080,025,04
53,15115,017,04
53,15115,025,04
53,15115,047,04
53,15150,063,05
53,15185,029,02
53,15290,033,08
53,15325,077,04
53,15710,043,05
53,15780,053,08
53,16165,019,05
53,16170,019,05
53,16340,051,05
53,16375,073,01
53,16550,039,03
53,16585,019,05
53,16690,061,01
53,16760,053,09
53,16795,043,05
53,16970,013,05
53,17215,069,03
53,17320,063,05
53,17495,073,01
53,17617,025,04
53,17635,033,09
53,17880,047,04
53,18055,071,05
53,18195,011,03
53,18265,077,04
53,18775,011,03
53,18965,053,10
53,19035,033,01
53,19290,069,03
53,19420,033,09
53,19515,033,08
53,19515,033,09
53,19630,061,01
53,19630,061,02
53,19700,037,08
53,19770,035,06
53,19857,033,08
53,19857,033,09
53,20155,017,08
53,20260,053,08
53,20645,053,10
53,20680,057,02
53,20750,061,07
53,20890,053,08
53,21030,025,04
53,21205,053,08
53,21205,053,10
53,21240,037,08
53,21450,027,06
53,21485,047,04
53,21730,075,05
53,21800,035,06
53,22010,007,08
53,22045,033,08
53,22045,053,08
53,22080,025,04
53,22118,035,06
53,22150,077,04
53,22255,061,07
