WEST VIRGINIA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
54,00196,045,03
54,00364,101,03
54,00748,077,01
54,00772,025,03
54,00772,063,03
54,01396,039,02
54,01396,043,03
54,01660,045,03
54,01780,047,03
54,01900,033,01
54,01996,019,03
54,02188,053,03
54,03292,055,03
54,03364,085,01
54,03460,077,01
54,04204,079,02
54,04276,011,03
54,04612,049,01
54,04732,047,03
54,04780,075,03
54,04876,065,02
54,04924,023,01
54,05068,019,03
54,05260,081,03
54,05332,081,03
54,05452,009,01
54,05788,001,01
54,05836,039,02
54,06004,073,01
54,06052,067,03
54,06340,051,01
54,06436,101,03
54,06748,047,03
54,06844,009,01
54,06940,069,01
54,06988,083,02
54,07204,039,02
54,07228,045,03
54,07516,047,03
54,07756,067,03
54,08092,061,01
54,08308,107,01
54,08524,055,03
54,08764,055,03
54,08836,107,01
54,08932,037,02
54,08956,081,03
54,09100,019,03
54,09364,083,02
54,09676,081,03
54,09700,047,03
54,09796,055,03
54,09844,077,01
54,09868,071,02
54,09964,109,03
54,10180,033,01
54,10420,061,01
54,10852,077,01
54,10876,045,03
54,10948,055,03
54,11188,097,02
54,11212,109,03
54,11284,079,02
54,11620,057,01
54,11716,007,02
54,12124,085,01
54,12436,101,03
54,12484,051,01
54,13108,027,02
54,13468,049,01
54,13525,057,01
54,13684,075,03
54,13756,061,01
54,13924,039,02
54,14212,001,01
54,14308,099,03
54,14524,045,03
54,14600,039,02
54,14610,037,02
54,14630,019,03
54,14692,059,03
54,14716,045,03
54,14775,061,01
54,14812,039,02
54,15028,039,02
54,15076,029,01
54,15628,033,01
54,15676,015,02
54,15916,069,01
54,16012,039,02
54,16516,081,03
54,16612,039,02
54,17380,005,03
54,17836,109,03
54,18388,109,03
54,18412,101,03
54,18508,081,03
54,18604,067,03
54,19108,039,02
54,19300,099,03
54,19324,047,03
54,19492,047,03
54,19516,011,03
54,19516,079,02
54,19948,083,02
54,20164,081,03
54,20212,005,03
54,20428,093,01
54,20500,047,03
54,20764,019,03
54,20980,059,03
54,21316,033,01
54,21628,019,03
54,21628,067,03
54,22564,039,02
54,22852,075,03
54,23092,039,02
54,23140,083,02
54,23644,081,03
54,24292,079,02
54,24364,105,02
54,24484,057,01
54,24580,083,02
54,24748,039,02
54,24844,085,01
54,25516,033,01
54,26428,025,03
54,26452,049,01
54,26524,049,01
54,26692,025,03
54,26716,003,02
54,26812,019,03
