WISCONSIN CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County,CongressionalDistrict
55,00100,019,07
55,00100,073,07
55,00150,083,08
55,00275,001,03
55,00450,117,06
55,00750,045,02
55,01000,061,08
55,01100,131,05
55,01150,009,08
55,01225,011,03
55,01300,053,03
55,01325,005,07
55,01400,097,03
55,01550,035,03
55,01650,075,08
55,01725,095,07
55,01750,097,03
55,01800,097,03
55,01950,115,08
55,02075,115,08
55,02250,067,07
55,02375,015,08
55,02375,087,08
55,02375,139,06
55,02500,121,03
55,02550,049,02
55,02600,041,07
55,02650,065,02
55,02700,091,03
55,02725,001,03
55,02800,021,06
55,03025,141,07
55,03175,027,05
55,03225,003,07
55,03225,007,07
55,03425,009,08
55,03550,073,07
55,03775,141,07
55,03825,035,03
55,04025,049,02
55,04150,141,07
55,04250,043,03
55,04300,029,08
55,04400,109,07
55,04475,095,07
55,04525,097,03
55,04550,063,03
55,04625,111,02
55,04775,049,02
55,04875,005,07
55,04925,005,07
55,05325,093,03
55,05350,007,07
55,05450,079,04
55,05450,079,06
55,05450,089,06
55,05575,087,08
55,05900,027,06
55,06150,089,06
55,06225,023,03
55,06300,025,02
55,06300,045,02
55,06350,009,08
55,06425,065,02
55,06500,105,01
55,06500,105,02
55,06825,065,02
55,06925,047,06
55,06925,137,06
55,07200,133,01
55,07250,135,08
55,07532,003,07
55,07550,129,07
55,07600,073,07
55,07600,115,08
55,07650,141,03
55,07725,087,08
55,07800,025,02
55,07900,053,03
55,08075,121,03
55,08125,049,02
55,08125,065,02
55,08225,017,07
55,08375,043,03
55,08475,025,02
55,08525,043,03
55,08560,111,02
55,08600,103,03
55,08625,101,01
55,08725,115,08
55,08850,043,03
55,08925,125,07
55,09025,115,08
55,09050,033,03
55,09075,017,03
55,09300,039,06
55,09465,063,03
55,09725,015,08
55,09800,059,01
55,09925,045,02
55,09925,105,02
55,09975,073,07
55,10025,133,05
55,10075,025,02
55,10075,045,02
55,10375,079,04
55,10425,101,01
55,10450,027,06
55,10475,045,02
55,10500,107,07
55,10550,031,07
55,11062,011,03
55,11200,101,01
55,11200,127,01
55,11250,027,06
55,11475,133,04
55,11475,133,05
55,11500,139,08
55,11525,003,07
55,11650,007,07
55,11750,017,03
55,11950,101,01
55,12200,021,06
55,12225,025,02
55,12225,055,05
55,12250,005,07
55,12325,039,06
55,12350,057,03
55,12400,059,01
55,12675,115,08
55,12825,117,06
55,12850,061,08
55,12950,081,03
55,13050,043,03
55,13150,081,03
55,13175,099,07
55,13300,103,02
55,13300,111,02
55,13325,115,08
55,13375,089,06
55,13475,117,06
55,13850,095,07
55,13880,135,08
55,14150,123,03
